observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fr(CO_321:1000271),fr(CO_321:1000271).date
CF05161,2827436,BTH_Chaux_des_Prés_2008_SetA1,BTH_Chaux_des_Prés_2008_SetA1,26974,https://doi.org/10.15454/BQTYVO,CF05161,VIRTUAL_TRIAL,,,,,,,,2008,2,
EM05230,2827462,BTH_Chaux_des_Prés_2008_SetA1,BTH_Chaux_des_Prés_2008_SetA1,26988,https://doi.org/10.15454/FV0GUM,EM05230,VIRTUAL_TRIAL,,,,,,,,2008,6,
Karillon,2827459,BTH_Chaux_des_Prés_2008_SetA1,BTH_Chaux_des_Prés_2008_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,2008,"6,5",
Crousty,2827448,BTH_Chaux_des_Prés_2008_SetA1,BTH_Chaux_des_Prés_2008_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,2008,"4,5",
Caphorn,2827443,BTH_Chaux_des_Prés_2008_SetA1,BTH_Chaux_des_Prés_2008_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2008,5,
AO07102,2827437,BTH_Chaux_des_Prés_2008_SetA1,BTH_Chaux_des_Prés_2008_SetA1,27754,https://doi.org/10.15454/7MX1DM,AO07102,VIRTUAL_TRIAL,,,,,,,,2008,"5,5",
AO07116,2827461,BTH_Chaux_des_Prés_2008_SetA1,BTH_Chaux_des_Prés_2008_SetA1,27755,https://doi.org/10.15454/IF7X64,AO07116,VIRTUAL_TRIAL,,,,,,,,2008,"6,5",
CF03287,2827449,BTH_Chaux_des_Prés_2008_SetA1,BTH_Chaux_des_Prés_2008_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,2008,2,
RE05108,2827452,BTH_Chaux_des_Prés_2008_SetA1,BTH_Chaux_des_Prés_2008_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,2008,6,
RE05005,2827427,BTH_Chaux_des_Prés_2008_SetA1,BTH_Chaux_des_Prés_2008_SetA1,26898,https://doi.org/10.15454/JQW74U,RE05005,VIRTUAL_TRIAL,,,,,,,,2008,"5,5",
RE05047,2827431,BTH_Chaux_des_Prés_2008_SetA1,BTH_Chaux_des_Prés_2008_SetA1,26903,https://doi.org/10.15454/QRI3MM,RE05047,VIRTUAL_TRIAL,,,,,,,,2008,"1,5",
Soissons,2827460,BTH_Chaux_des_Prés_2008_SetA1,BTH_Chaux_des_Prés_2008_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,2008,7,
Mendel,2827441,BTH_Chaux_des_Prés_2008_SetA1,BTH_Chaux_des_Prés_2008_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,2008,2,
Gorecki,2827453,BTH_Chaux_des_Prés_2008_SetA1,BTH_Chaux_des_Prés_2008_SetA1,48843,gnpis_pui:holding-921_taxon-4898_accession-48843,Gorecki,VIRTUAL_TRIAL,,,,,,,,2008,"6,5",
AO07127,2827438,BTH_Chaux_des_Prés_2008_SetA1,BTH_Chaux_des_Prés_2008_SetA1,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,2008,"2,5",
AO08004,2827465,BTH_Chaux_des_Prés_2008_SetA1,BTH_Chaux_des_Prés_2008_SetA1,27766,https://doi.org/10.15454/FP9VJX,AO08004,VIRTUAL_TRIAL,,,,,,,,2008,1,
RE05039,2827439,BTH_Chaux_des_Prés_2008_SetA1,BTH_Chaux_des_Prés_2008_SetA1,27825,https://doi.org/10.15454/FYAJT8,RE05039,VIRTUAL_TRIAL,,,,,,,,2008,"5,5",
RE05074,2827450,BTH_Chaux_des_Prés_2008_SetA1,BTH_Chaux_des_Prés_2008_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,VIRTUAL_TRIAL,,,,,,,,2008,"7,5",
