observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
CF07261itkfi,2841995,BTH_Estrées-Mons_2009_SetB2,BTH_Estrées-Mons_2009_SetB2,61122,https://doi.org/10.15454/BSBAJR,CF07261,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"13,11",,"93,7",,"80,6",
CF08088itkt,2841970,BTH_Estrées-Mons_2009_SetB2,BTH_Estrées-Mons_2009_SetB2,61288,https://doi.org/10.15454/SGFBVV,CF08088,VIRTUAL_TRIAL,,,,,,,,treated,2009,"11,73",,"104,5",,"122,6",
Premioitkfi,2841945,BTH_Estrées-Mons_2009_SetB2,BTH_Estrées-Mons_2009_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"12,11",,"109,6",,"94,2",
CF07261itkt,2841996,BTH_Estrées-Mons_2009_SetB2,BTH_Estrées-Mons_2009_SetB2,61122,https://doi.org/10.15454/BSBAJR,CF07261,VIRTUAL_TRIAL,,,,,,,,treated,2009,"14,54",,96,,"112,6",
CF08109itkfi,2841989,BTH_Estrées-Mons_2009_SetB2,BTH_Estrées-Mons_2009_SetB2,27799,https://doi.org/10.15454/G9QV0Y,CF08109,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"13,08",,104,,"89,4",
CF08084itkfi,2841979,BTH_Estrées-Mons_2009_SetB2,BTH_Estrées-Mons_2009_SetB2,27798,https://doi.org/10.15454/XZ94CU,CF08084,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"11,39",,"113,1",,"97,2",
EM08221itkfi,2841943,BTH_Estrées-Mons_2009_SetB2,BTH_Estrées-Mons_2009_SetB2,27823,https://doi.org/10.15454/PMYYDQ,EM08221,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"10,55",,120,,"103,2",
RE08029itkt,2841994,BTH_Estrées-Mons_2009_SetB2,BTH_Estrées-Mons_2009_SetB2,61199,https://doi.org/10.15454/FKXNNO,RE08029,VIRTUAL_TRIAL,,,,,,,,treated,2009,"14,98",,"82,5",,"96,8",
RE08038itkfi,2841959,BTH_Estrées-Mons_2009_SetB2,BTH_Estrées-Mons_2009_SetB2,61373,https://doi.org/10.15454/EQRWYJ,RE08038,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"11,84",,"104,4",,"89,7",
RE08029itkfi,2841993,BTH_Estrées-Mons_2009_SetB2,BTH_Estrées-Mons_2009_SetB2,61199,https://doi.org/10.15454/FKXNNO,RE08029,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"14,02",,"96,2",,"82,6",
RE08038itkt,2841960,BTH_Estrées-Mons_2009_SetB2,BTH_Estrées-Mons_2009_SetB2,61373,https://doi.org/10.15454/EQRWYJ,RE08038,VIRTUAL_TRIAL,,,,,,,,treated,2009,"12,7",,"100,4",,"117,7",
