observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
1,2834718,BTH_Lusignan_2008_SetB3,BTH_Lusignan_2008_SetB3,48483,gnpis_pui:holding-921_taxon-4898_accession-48483,RE07096,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"44,79",,"3,5",
1,2834698,BTH_Lusignan_2008_SetB3,BTH_Lusignan_2008_SetB3,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"56,08",,"2,5",
2,2834699,BTH_Lusignan_2008_SetB3,BTH_Lusignan_2008_SetB3,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"52,03",,3,
2,2834685,BTH_Lusignan_2008_SetB3,BTH_Lusignan_2008_SetB3,27270,https://doi.org/10.15454/JKW4SM,RE07114,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"50,46",,4,
1,2834684,BTH_Lusignan_2008_SetB3,BTH_Lusignan_2008_SetB3,27270,https://doi.org/10.15454/JKW4SM,RE07114,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"54,46",,3,
1,2834716,BTH_Lusignan_2008_SetB3,BTH_Lusignan_2008_SetB3,27266,https://doi.org/10.15454/PYG05B,RE07095,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"45,03",,3,
1,2834726,BTH_Lusignan_2008_SetB3,BTH_Lusignan_2008_SetB3,48761,gnpis_pui:holding-921_taxon-4898_accession-48761,CF06199,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"40,06",,4,
2,2834727,BTH_Lusignan_2008_SetB3,BTH_Lusignan_2008_SetB3,48761,gnpis_pui:holding-921_taxon-4898_accession-48761,CF06199,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"37,17",,5,
2,2834743,BTH_Lusignan_2008_SetB3,BTH_Lusignan_2008_SetB3,48646,https://doi.org/10.15454/TXCHAY,RE07089,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"43,76",,5,
1,2834742,BTH_Lusignan_2008_SetB3,BTH_Lusignan_2008_SetB3,48646,https://doi.org/10.15454/TXCHAY,RE07089,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"38,86",,"3,5",
