observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2763537,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,48987,gnpis_pui:holding-921_taxon-4898_accession-48987,HA1070.50,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,"77,84",
2,2763678,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,49154,https://doi.org/10.15454/X4XFZS,Ressor,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2000,"34,25",
2,2763760,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26873,https://doi.org/10.15454/NVM4UC,RE99014,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,"61,27",
1,2763595,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26874,https://doi.org/10.15454/M7F6IJ,RE99016,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"96,85",
2,2763596,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26874,https://doi.org/10.15454/M7F6IJ,RE99016,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"103,74",
1,2763593,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26874,https://doi.org/10.15454/M7F6IJ,RE99016,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2000,"66,44",
2,2763592,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26874,https://doi.org/10.15454/M7F6IJ,RE99016,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,68,
1,2763591,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26874,https://doi.org/10.15454/M7F6IJ,RE99016,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,"72,07",
2,2763594,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26874,https://doi.org/10.15454/M7F6IJ,RE99016,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2000,"69,47",
1,2763645,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28763,https://doi.org/10.15454/HUTRYE,EM99002,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,"50,26",
2,2763650,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28763,https://doi.org/10.15454/HUTRYE,EM99002,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"92,07",
2,2763648,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28763,https://doi.org/10.15454/HUTRYE,EM99002,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2000,"71,26",
1,2763649,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28763,https://doi.org/10.15454/HUTRYE,EM99002,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"104,91",
1,2763647,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28763,https://doi.org/10.15454/HUTRYE,EM99002,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2000,"73,97",
2,2763646,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28763,https://doi.org/10.15454/HUTRYE,EM99002,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,"73,64",
2,2763552,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28761,https://doi.org/10.15454/PFN7OE,CF9825,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2000,"50,08",
1,2763551,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28761,https://doi.org/10.15454/PFN7OE,CF9825,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2000,"59,81",
2,2763550,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28761,https://doi.org/10.15454/PFN7OE,CF9825,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,"57,87",
1,2763549,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28761,https://doi.org/10.15454/PFN7OE,CF9825,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,"61,07",
2,2763554,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28761,https://doi.org/10.15454/PFN7OE,CF9825,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"93,11",
1,2763553,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28761,https://doi.org/10.15454/PFN7OE,CF9825,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"102,23",
