observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI02008,2794466,BTH_Rennes_2004_SetA1_PIETIN-VERSE,BTH_Rennes_2004_SetA1_PIETIN-VERSE,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,2004,"6,5",,1,,NA,,1,,3,
Koreli,2794453,BTH_Rennes_2004_SetA1_PIETIN-VERSE,BTH_Rennes_2004_SetA1_PIETIN-VERSE,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,2004,"7,5",,1,,NA,,1,,3,
RE01047,2794467,BTH_Rennes_2004_SetA1_PIETIN-VERSE,BTH_Rennes_2004_SetA1_PIETIN-VERSE,26097,https://doi.org/10.15454/3W80FR,RE01047,VIRTUAL_TRIAL,,,,,,,,2004,"7,5",,1,,4949,,1,,5,
RE02080,2794450,BTH_Rennes_2004_SetA1_PIETIN-VERSE,BTH_Rennes_2004_SetA1_PIETIN-VERSE,26100,https://doi.org/10.15454/AM3GAN,RE02080,VIRTUAL_TRIAL,,,,,,,,2004,"8,5",,1,,"0,9",,5,,7,
CF00193,2794476,BTH_Rennes_2004_SetA1_PIETIN-VERSE,BTH_Rennes_2004_SetA1_PIETIN-VERSE,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,2004,9,,1,,NA,,1,,7,
RE01015,2794447,BTH_Rennes_2004_SetA1_PIETIN-VERSE,BTH_Rennes_2004_SetA1_PIETIN-VERSE,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,2004,"7,5",,1,,NA,,1,,5,
Stru991490.1,2794454,BTH_Rennes_2004_SetA1_PIETIN-VERSE,BTH_Rennes_2004_SetA1_PIETIN-VERSE,49470,gnpis_pui:holding-921_taxon-4898_accession-49470,Stru991490.1,VIRTUAL_TRIAL,,,,,,,,2004,"4,5",,1,,4636,,5,,1,
DI02006,2794449,BTH_Rennes_2004_SetA1_PIETIN-VERSE,BTH_Rennes_2004_SetA1_PIETIN-VERSE,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,2004,6,,1,,NA,,2,,1,
DI01022,2794458,BTH_Rennes_2004_SetA1_PIETIN-VERSE,BTH_Rennes_2004_SetA1_PIETIN-VERSE,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,2004,"5,5",,1,,NA,,2,,1,
EM00264,2794472,BTH_Rennes_2004_SetA1_PIETIN-VERSE,BTH_Rennes_2004_SetA1_PIETIN-VERSE,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,2004,6,,1,,NA,,1,,6,
Apache,2794456,BTH_Rennes_2004_SetA1_PIETIN-VERSE,BTH_Rennes_2004_SetA1_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2004,NA,,NA,,NA,,NA,,NA,
EM01214,2794461,BTH_Rennes_2004_SetA1_PIETIN-VERSE,BTH_Rennes_2004_SetA1_PIETIN-VERSE,26408,https://doi.org/10.15454/41FB67,EM01214,VIRTUAL_TRIAL,,,,,,,,2004,8,,1,,NA,,5,,1,
EM01271,2794455,BTH_Rennes_2004_SetA1_PIETIN-VERSE,BTH_Rennes_2004_SetA1_PIETIN-VERSE,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,2004,8,,1,,NA,,2,,3,
Skerzzo,2794475,BTH_Rennes_2004_SetA1_PIETIN-VERSE,BTH_Rennes_2004_SetA1_PIETIN-VERSE,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,2004,6,,1,,NA,,2,,1,
