observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2971624,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,49120,https://doi.org/10.15454/P3TGLP,RE13084,REPLICATION,1,,,,,,REPLICATION:1,faible intrant,2015,11.05,,104.09,
1,2971726,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61527,https://doi.org/10.15454/JN5VML,RE13007,REPLICATION,1,,,,,,REPLICATION:1,faible intrant,2015,9.34,,101.02,
1,2971626,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,49120,https://doi.org/10.15454/P3TGLP,RE13084,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,99.9,
1,2971568,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61065,https://doi.org/10.15454/IEJHD9,CF13057,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,10.78,,119.29,
1,2971646,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,49433,https://doi.org/10.15454/XA7QW4,RE13086,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,10.87,,120.65,
2,2971645,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,49433,https://doi.org/10.15454/XA7QW4,RE13086,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,109.48,
1,2971644,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,49433,https://doi.org/10.15454/XA7QW4,RE13086,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,108.37,
1,2971642,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,49433,https://doi.org/10.15454/XA7QW4,RE13086,REPLICATION,1,,,,,,REPLICATION:1,faible intrant,2015,10.46,,97.47,
1,2971532,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61136,https://doi.org/10.15454/JQLJOT,CF13131,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,10.52,,128.69,
1,2971580,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61664,https://doi.org/10.15454/OYADUC,RE13093,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,10.32,,130.61,
2,2971647,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,49433,https://doi.org/10.15454/XA7QW4,RE13086,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,10.46,,119.7,
2,2971643,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,49433,https://doi.org/10.15454/XA7QW4,RE13086,REPLICATION,2,,,,,,REPLICATION:2,faible intrant,2015,10.98,,109.74,
2,2971579,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61664,https://doi.org/10.15454/OYADUC,RE13093,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,111.97,
2,2971695,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,49524,https://doi.org/10.15454/FSEIOR,RE13106,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,9.67,,128.32,
2,2971693,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,49524,https://doi.org/10.15454/FSEIOR,RE13106,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,106.8,
1,2971692,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,49524,https://doi.org/10.15454/FSEIOR,RE13106,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,112.95,
1,2971578,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61664,https://doi.org/10.15454/OYADUC,RE13093,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,116.2,
2,2971679,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61181,https://doi.org/10.15454/RVUPRG,CF13187,REPLICATION,2,,,,,,REPLICATION:2,faible intrant,2015,10.53,,104.97,
1,2971694,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,49524,https://doi.org/10.15454/FSEIOR,RE13106,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,9.85,,126.85,
2,2971691,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,49524,https://doi.org/10.15454/FSEIOR,RE13106,REPLICATION,2,,,,,,REPLICATION:2,faible intrant,2015,10.06,,100.86,
1,2971690,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,49524,https://doi.org/10.15454/FSEIOR,RE13106,REPLICATION,1,,,,,,REPLICATION:1,faible intrant,2015,9.16,,103.49,
2,2971581,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61664,https://doi.org/10.15454/OYADUC,RE13093,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,10.13,,129.83,
1,2971742,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,48484,https://doi.org/10.15454/L7ZWCU,RE13005,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,10.59,,124.64,
2,2971741,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,48484,https://doi.org/10.15454/L7ZWCU,RE13005,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,107.14,
1,2971740,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,48484,https://doi.org/10.15454/L7ZWCU,RE13005,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,110.04,
2,2971577,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61664,https://doi.org/10.15454/OYADUC,RE13093,REPLICATION,2,,,,,,REPLICATION:2,faible intrant,2015,9.96,,113.56,
1,2971576,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61664,https://doi.org/10.15454/OYADUC,RE13093,REPLICATION,1,,,,,,REPLICATION:1,faible intrant,2015,9.95,,104.58,
2,2971743,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,48484,https://doi.org/10.15454/L7ZWCU,RE13005,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,10.06,,126.85,
2,2971739,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,48484,https://doi.org/10.15454/L7ZWCU,RE13005,REPLICATION,2,,,,,,REPLICATION:2,faible intrant,2015,10.37,,107.91,
1,2971738,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,48484,https://doi.org/10.15454/L7ZWCU,RE13005,REPLICATION,1,,,,,,REPLICATION:1,faible intrant,2015,9.85,,103.81,
1,2971678,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61181,https://doi.org/10.15454/RVUPRG,CF13187,REPLICATION,1,,,,,,REPLICATION:1,faible intrant,2015,9.36,,102.39,
2,2971737,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,49568,https://doi.org/10.15454/LO7ZR2,RE13004,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,10.67,,117.2,
1,2971736,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,49568,https://doi.org/10.15454/LO7ZR2,RE13004,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,11.1,,115.65,
2,2971735,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,49568,https://doi.org/10.15454/LO7ZR2,RE13004,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,101.83,
1,2971734,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,49568,https://doi.org/10.15454/LO7ZR2,RE13004,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,100.41,
1,2971732,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,49568,https://doi.org/10.15454/LO7ZR2,RE13004,REPLICATION,1,,,,,,REPLICATION:1,faible intrant,2015,9.18,,85.99,
1,2971528,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61136,https://doi.org/10.15454/JQLJOT,CF13131,REPLICATION,1,,,,,,REPLICATION:1,faible intrant,2015,8.48,,97.21,
1,2971592,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61678,https://doi.org/10.15454/GQP9HA,RE13094,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,10.59,,128.85,
2,2971733,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,49568,https://doi.org/10.15454/LO7ZR2,RE13004,REPLICATION,2,,,,,,REPLICATION:2,faible intrant,2015,10.05,,95.27,
2,2971591,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61678,https://doi.org/10.15454/GQP9HA,RE13094,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,109.76,
2,2971551,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,75270,https://doi.org/10.15454/AIOH4U,Bermude,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,10.65,,120.79,
2,2971549,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,75270,https://doi.org/10.15454/AIOH4U,Bermude,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,98.93,
1,2971548,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,75270,https://doi.org/10.15454/AIOH4U,Bermude,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,97.75,
1,2971590,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61678,https://doi.org/10.15454/GQP9HA,RE13094,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,115.22,
2,2971683,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61181,https://doi.org/10.15454/RVUPRG,CF13187,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,10.19,,124.88,
1,2971550,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,75270,https://doi.org/10.15454/AIOH4U,Bermude,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,10.48,,120.08,
2,2971547,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,75270,https://doi.org/10.15454/AIOH4U,Bermude,REPLICATION,2,,,,,,REPLICATION:2,faible intrant,2015,10.05,,98.46,
1,2971546,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,75270,https://doi.org/10.15454/AIOH4U,Bermude,REPLICATION,1,,,,,,REPLICATION:1,faible intrant,2015,10.18,,103.04,
2,2971593,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61678,https://doi.org/10.15454/GQP9HA,RE13094,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,10.11,,126.82,
1,2971660,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,REPLICATION,1,,,,,,REPLICATION:1,faible intrant,2015,9.77,,100.57,
2,2971589,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61678,https://doi.org/10.15454/GQP9HA,RE13094,REPLICATION,2,,,,,,REPLICATION:2,faible intrant,2015,10.44,,107.63,
1,2971588,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61678,https://doi.org/10.15454/GQP9HA,RE13094,REPLICATION,1,,,,,,REPLICATION:1,faible intrant,2015,9.44,,100.7,
2,2971665,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,10.9,,129.27,
1,2971664,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,10.5,,127.2,
2,2971663,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,110.26,
1,2971662,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,109.47,
2,2971661,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,REPLICATION,2,,,,,,REPLICATION:2,faible intrant,2015,9.68,,111.16,
1,2971682,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61181,https://doi.org/10.15454/RVUPRG,CF13187,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,10.56,,121.43,
2,2971681,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61181,https://doi.org/10.15454/RVUPRG,CF13187,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,110.41,
2,2971639,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,27736,https://doi.org/10.15454/5V5PUX,CELLULE,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,101.61,
1,2971638,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,27736,https://doi.org/10.15454/5V5PUX,CELLULE,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,102.33,
