observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI10015,2852488,BTH_Rennes_2010_SetB3_PIETIN-VERSE,BTH_Rennes_2010_SetB3_PIETIN-VERSE,48814,https://doi.org/10.15454/QM62JM,DI10015,VIRTUAL_TRIAL,,,,,,,,2010,"6,5",,5,,4,,1,
Koreli,2852493,BTH_Rennes_2010_SetB3_PIETIN-VERSE,BTH_Rennes_2010_SetB3_PIETIN-VERSE,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,2010,8,,5,,1,,4,
Barok,2852477,BTH_Rennes_2010_SetB3_PIETIN-VERSE,BTH_Rennes_2010_SetB3_PIETIN-VERSE,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,2010,5,,5,,3,,3,
CF09225,2852513,BTH_Rennes_2010_SetB3_PIETIN-VERSE,BTH_Rennes_2010_SetB3_PIETIN-VERSE,48451,https://doi.org/10.15454/L5GF1L,CF09225,VIRTUAL_TRIAL,,,,,,,,2010,3,,3,,3,,1,
CF09227,2852515,BTH_Rennes_2010_SetB3_PIETIN-VERSE,BTH_Rennes_2010_SetB3_PIETIN-VERSE,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,2010,4,,5,,1,,3,
CF09276,2852492,BTH_Rennes_2010_SetB3_PIETIN-VERSE,BTH_Rennes_2010_SetB3_PIETIN-VERSE,48805,https://doi.org/10.15454/XQX8MF,CF09276,VIRTUAL_TRIAL,,,,,,,,2010,7,,2,,1,,4,
EM08231,2852509,BTH_Rennes_2010_SetB3_PIETIN-VERSE,BTH_Rennes_2010_SetB3_PIETIN-VERSE,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,2010,"6,5",,5,,1,,2,
RE09063,2852502,BTH_Rennes_2010_SetB3_PIETIN-VERSE,BTH_Rennes_2010_SetB3_PIETIN-VERSE,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,2010,"8,5",,5,,1,,1,
RE09079,2852485,BTH_Rennes_2010_SetB3_PIETIN-VERSE,BTH_Rennes_2010_SetB3_PIETIN-VERSE,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,2010,8,,2,,1,,1,
Premio,2852483,BTH_Rennes_2010_SetB3_PIETIN-VERSE,BTH_Rennes_2010_SetB3_PIETIN-VERSE,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,2010,"7,5",,5,,1,,1,
RE09073,2852500,BTH_Rennes_2010_SetB3_PIETIN-VERSE,BTH_Rennes_2010_SetB3_PIETIN-VERSE,49428,https://doi.org/10.15454/MX3ENS,RE09073,VIRTUAL_TRIAL,,,,,,,,2010,8,,5,,4,,1,
AO10027,2852508,BTH_Rennes_2010_SetB3_PIETIN-VERSE,BTH_Rennes_2010_SetB3_PIETIN-VERSE,49344,gnpis_pui:holding-921_taxon-4898_accession-49344,AO10027,VIRTUAL_TRIAL,,,,,,,,2010,"4,5",,5,,1,,6,
DI10013,2852482,BTH_Rennes_2010_SetB3_PIETIN-VERSE,BTH_Rennes_2010_SetB3_PIETIN-VERSE,49728,gnpis_pui:holding-921_taxon-4898_accession-49728,DI10013,VIRTUAL_TRIAL,,,,,,,,2010,6,,2,,NA,,8,
AO10025,2852506,BTH_Rennes_2010_SetB3_PIETIN-VERSE,BTH_Rennes_2010_SetB3_PIETIN-VERSE,49420,gnpis_pui:holding-921_taxon-4898_accession-49420,AO10025,VIRTUAL_TRIAL,,,,,,,,2010,"5,5",,5,,NA,,8,
EM08147,2852491,BTH_Rennes_2010_SetB3_PIETIN-VERSE,BTH_Rennes_2010_SetB3_PIETIN-VERSE,49183,gnpis_pui:holding-921_taxon-4898_accession-49183,EM08147,VIRTUAL_TRIAL,,,,,,,,2010,"6,5",,5,,1,,1,
EM08012,2852504,BTH_Rennes_2010_SetB3_PIETIN-VERSE,BTH_Rennes_2010_SetB3_PIETIN-VERSE,49328,gnpis_pui:holding-921_taxon-4898_accession-49328,EM08012,VIRTUAL_TRIAL,,,,,,,,2010,"5,5",,5,,1,,1,
DI10012,2852481,BTH_Rennes_2010_SetB3_PIETIN-VERSE,BTH_Rennes_2010_SetB3_PIETIN-VERSE,48684,gnpis_pui:holding-921_taxon-4898_accession-48684,DI10012,VIRTUAL_TRIAL,,,,,,,,2010,"7,5",,3,,NA,,8,
EM08222,2852490,BTH_Rennes_2010_SetB3_PIETIN-VERSE,BTH_Rennes_2010_SetB3_PIETIN-VERSE,49122,gnpis_pui:holding-921_taxon-4898_accession-49122,EM08222,VIRTUAL_TRIAL,,,,,,,,2010,9,,2,,1,,1,
HadmF11340,2852499,BTH_Rennes_2010_SetB3_PIETIN-VERSE,BTH_Rennes_2010_SetB3_PIETIN-VERSE,49601,gnpis_pui:holding-921_taxon-4898_accession-49601,HadmF11340,VIRTUAL_TRIAL,,,,,,,,2010,5,,2,,1,,1,
CF09226,2852516,BTH_Rennes_2010_SetB3_PIETIN-VERSE,BTH_Rennes_2010_SetB3_PIETIN-VERSE,48589,gnpis_pui:holding-921_taxon-4898_accession-48589,CF09226,VIRTUAL_TRIAL,,,,,,,,2010,"4,5",,3,,NA,,6,
