observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
DI12011itkt,2874195,BTH_Dijon_2013_SetA2,BTH_Dijon_2013_SetA2,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,152,,12,,"72,9",,"94,9",,,,"77,3",,,
Grapeliitkfi,2874182,BTH_Dijon_2013_SetA2,BTH_Dijon_2013_SetA2,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,154,,,,"74,9",,"102,1",,"2,5",,"67,4",,2,
AO13010itkt,2874179,BTH_Dijon_2013_SetA2,BTH_Dijon_2013_SetA2,60751,https://doi.org/10.15454/JYOJ35,AO13010,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,154,,"11,4",,"77,5",,"92,9",,,,"75,7",,,
DI12011itkfi,2874194,BTH_Dijon_2013_SetA2,BTH_Dijon_2013_SetA2,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,84,,150,,,,"73,6",,"101,6",,"3,5",,67,,"2,5",
CF11029itkt,2874165,BTH_Dijon_2013_SetA2,BTH_Dijon_2013_SetA2,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,treated,2013,89,,156,,"11,2",,74,,"95,6",,,,"77,8",,,
EM11537itkt,2874129,BTH_Dijon_2013_SetA2,BTH_Dijon_2013_SetA2,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,treated,2013,77,,157,,"11,3",,76,,"90,8",,,,74,,,
EM11537itkfi,2874128,BTH_Dijon_2013_SetA2,BTH_Dijon_2013_SetA2,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,81,,156,,,,"75,8",,"92,7",,3,,"61,1",,5,
DI12004itkt,2874157,BTH_Dijon_2013_SetA2,BTH_Dijon_2013_SetA2,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,156,,"11,1",,"74,8",,"102,7",,,,"83,7",,,
DI12004itkfi,2874156,BTH_Dijon_2013_SetA2,BTH_Dijon_2013_SetA2,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,87,,156,,,,"75,8",,"104,8",,2,,"69,1",,"3,5",
EM11579itkt,2874201,BTH_Dijon_2013_SetA2,BTH_Dijon_2013_SetA2,48950,https://doi.org/10.15454/YMQEBZ,EM11579,VIRTUAL_TRIAL,,,,,,,,treated,2013,81,,152,,"11,6",,"76,6",,"98,2",,,,80,,,
EM11579itkfi,2874200,BTH_Dijon_2013_SetA2,BTH_Dijon_2013_SetA2,48950,https://doi.org/10.15454/YMQEBZ,EM11579,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,84,,152,,,,76,,"96,7",,"2,5",,"63,8",,"3,5",
Koreliitkt,2874161,BTH_Dijon_2013_SetA2,BTH_Dijon_2013_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2013,96,,155,,"12,1",,"76,9",,"96,1",,,,"78,3",,,
CF11029itkfi,2874164,BTH_Dijon_2013_SetA2,BTH_Dijon_2013_SetA2,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,89,,156,,,,74,,"103,7",,"5,5",,"68,4",,"2,5",
CF11051itkt,2874133,BTH_Dijon_2013_SetA2,BTH_Dijon_2013_SetA2,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,treated,2013,91,,154,,"11,6",,"77,9",,103,,,,"83,9",,,
Koreliitkfi,2874160,BTH_Dijon_2013_SetA2,BTH_Dijon_2013_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,96,,154,,,,"77,8",,"90,7",,4,,"59,8",,"2,5",
RE11087itkfi,2874186,BTH_Dijon_2013_SetA2,BTH_Dijon_2013_SetA2,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,94,,154,,,,76,,"94,1",,3,,"62,1",,3,
Barokitkt,2874171,BTH_Dijon_2013_SetA2,BTH_Dijon_2013_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2013,83,,152,,"10,9",,"76,9",,"99,2",,,,"80,8",,,
Barokitkfi,2874170,BTH_Dijon_2013_SetA2,BTH_Dijon_2013_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,86,,152,,,,"76,3",,"105,9",,4,,"69,8",,"2,5",
AO13010itkfi,2874178,BTH_Dijon_2013_SetA2,BTH_Dijon_2013_SetA2,60751,https://doi.org/10.15454/JYOJ35,AO13010,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,84,,154,,,,"76,9",,"103,8",,"4,5",,"68,5",,"2,5",
CF11051itkfi,2874132,BTH_Dijon_2013_SetA2,BTH_Dijon_2013_SetA2,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,93,,154,,,,"77,5",,"99,9",,"3,5",,"65,9",,"2,5",
RE11113itkt,2874185,BTH_Dijon_2013_SetA2,BTH_Dijon_2013_SetA2,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,treated,2013,92,,158,,"11,6",,"76,4",,"87,9",,,,"71,6",,,
EM11400itkfi,2874176,BTH_Dijon_2013_SetA2,BTH_Dijon_2013_SetA2,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,86,,150,,,,"73,4",,"96,2",,"3,5",,"63,4",,"5,5",
RE11035itkfi,2874152,BTH_Dijon_2013_SetA2,BTH_Dijon_2013_SetA2,49509,https://doi.org/10.15454/GGHC1S,RE11035,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,86,,155,,,,76,,"97,7",,3,,"64,4",,4,
CF11177itkt,2874199,BTH_Dijon_2013_SetA2,BTH_Dijon_2013_SetA2,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,156,,"12,5",,"74,7",,"104,7",,,,"85,3",,,
