observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Barokitkfi,2805319,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,"56,3",,"142,5",,"8,85",,"68,4",,"120,2",,"97,9",,1,
Caphornitknt,2805371,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"82,5",,,,,,,,75,,107,,"89,5",,1,
Barokitkt,2805321,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,"47,6",,"143,5",,"9,91",,"70,4",,"104,3",,"107,9",,"1,5",
DI04017itkfi,2805343,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"82,5",,"62,3",,"141,5",,"9,43",,72,,"110,4",,"89,9",,1,
EM00107itknt,2805341,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,90,,,,,,,,"74,6",,"109,9",,"91,9",,1,
DI04017itkt,2805345,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"59,4",,141,,"10,18",,"72,8",,"100,4",,"103,9",,1,
Orvantisitknt,2805407,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,85,,,,,,,,"71,2",,"95,6",,80,,"1,5",
DI04018itkfi,2805358,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,80,,"56,5",,"144,5",,"8,78",,63,,"104,6",,"85,2",,1,
LM03014itkt,2805399,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,49463,https://doi.org/10.15454/8NQXWN,LM03014,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"64,2",,"141,5",,"9,99",,67,,95,,"98,3",,"2,5",
LM03014itkfi,2805397,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,49463,https://doi.org/10.15454/8NQXWN,LM03014,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,"67,5",,142,,"10,3",,"62,8",,"103,3",,"84,2",,1,
