,biological_material_id,organism,genus,species,subsp,cvar,var,accession_number,accession_name,organization,material_source_id,material_source_doi
0,Alberic,,Triticum,aestivum,aestivum,,,13712,ALBERIC,INRAE,13712:INRAE,https://doi.org/10.15454/HZTT8F
1,Altigo,,Triticum,aestivum,aestivum,,,29843,ALTIGO,INRAE,29843:INRAE,https://doi.org/10.15454/6CYBGM
2,AO00001,,Triticum,aestivum,aestivum,,,37771,AO00001,INRAE,37771:INRAE,https://doi.org/10.15454/8LYCUU
3,AO01001,,Triticum,aestivum,aestivum,,,AO01001,AO01001,INRAE,AO01001:INRAE,gnpis_pui:holding-921_taxon-4898_accession-48414
4,AO03001,,Triticum,aestivum,aestivum,,,AO03001,AO03001,INRAE,AO03001:INRAE,gnpis_pui:holding-921_taxon-4898_accession-48650
5,AO03002,,Triticum,aestivum,aestivum,,,AO03002,AO03002,INRAE,AO03002:INRAE,gnpis_pui:holding-921_taxon-4898_accession-48579
6,AO03003,,Triticum,aestivum,aestivum,,,AO03003,AO03003,INRAE,AO03003:INRAE,gnpis_pui:holding-921_taxon-4898_accession-48378
7,AO03004,,Triticum,aestivum,aestivum,,,AO03004,AO03004,INRAE,AO03004:INRAE,gnpis_pui:holding-921_taxon-4898_accession-48916
8,AO04001,,Triticum,aestivum,aestivum,,,AO04001,AO04001,INRAE,AO04001:INRAE,gnpis_pui:holding-921_taxon-4898_accession-48667
9,AO05001,,Triticum,aestivum,aestivum,,,36733,AO05001,INRAE,36733:INRAE,https://doi.org/10.15454/YUL8X7
10,AO05002,,Triticum,aestivum,aestivum,,,32083,AO05002,INRAE,32083:INRAE,https://doi.org/10.15454/DWZO1B
11,AO05003,,Triticum,aestivum,aestivum,,,AO05003,AO05003,INRAE,AO05003:INRAE,gnpis_pui:holding-921_taxon-4898_accession-49730
12,AO05004,,Triticum,aestivum,aestivum,,,36786,AO05004,INRAE,36786:INRAE,https://doi.org/10.15454/YPYOQJ
13,AO05006,,Triticum,aestivum,aestivum,,,AO05006,AO05006,INRAE,AO05006:INRAE,gnpis_pui:holding-921_taxon-4898_accession-49156
14,AO05009,,Triticum,aestivum,aestivum,,,32081,AO05009,INRAE,32081:INRAE,https://doi.org/10.15454/UU4VCF
15,AO06313,,Triticum,aestivum,aestivum,,,32084,AO06313,INRAE,32084:INRAE,https://doi.org/10.15454/GRNHCW
16,AO06407,,Triticum,aestivum,aestivum,,,32107,AO06407,INRAE,32107:INRAE,https://doi.org/10.15454/FCNCUR
17,AO06801,,Triticum,aestivum,aestivum,,,AO06801,AO06801,INRAE,AO06801:INRAE,gnpis_pui:holding-921_taxon-4898_accession-49266
18,AO06803,,Triticum,aestivum,aestivum,,,32082,AO06803,INRAE,32082:INRAE,https://doi.org/10.15454/SUCAXZ
19,AO07001,,Triticum,aestivum,aestivum,,,AO07001,AO07001,INRAE,AO07001:INRAE,gnpis_pui:holding-921_taxon-4898_accession-48615
20,AO07102,,Triticum,aestivum,aestivum,,,36731,AO07102,INRAE,36731:INRAE,https://doi.org/10.15454/7MX1DM
21,AO07116,,Triticum,aestivum,aestivum,,,36732,AO07116,INRAE,36732:INRAE,https://doi.org/10.15454/IF7X64
22,AO07127,,Triticum,aestivum,aestivum,,,36734,AO07127,INRAE,36734:INRAE,https://doi.org/10.15454/PILE9C
23,AO07210,,Triticum,aestivum,aestivum,,,36735,AO07210,INRAE,36735:INRAE,https://doi.org/10.15454/YPTSA5
24,AO07218,,Triticum,aestivum,aestivum,,,36736,AO07218,INRAE,36736:INRAE,https://doi.org/10.15454/HQFX9Y
25,AO07301,,Triticum,aestivum,aestivum,,,AO07301,AO07301,INRAE,AO07301:INRAE,gnpis_pui:holding-921_taxon-4898_accession-48857
26,AO07302,,Triticum,aestivum,aestivum,,,36737,AO07302,INRAE,36737:INRAE,https://doi.org/10.15454/VOAXIV
27,AO07311,,Triticum,aestivum,aestivum,,,36738,AO07311,INRAE,36738:INRAE,https://doi.org/10.15454/RMDMGI
28,AO07319,,Triticum,aestivum,aestivum,,,AO07319,AO07319,INRAE,AO07319:INRAE,gnpis_pui:holding-921_taxon-4898_accession-49264
29,AO07403,,Triticum,aestivum,aestivum,,,36739,AO07403,INRAE,36739:INRAE,https://doi.org/10.15454/KYXZFC
30,AO07438,,Triticum,aestivum,aestivum,,,36740,AO07438,INRAE,36740:INRAE,https://doi.org/10.15454/XHRZAO
31,AO07803,,Triticum,aestivum,aestivum,,,36742,AO07803,INRAE,36742:INRAE,https://doi.org/10.15454/NMXDOZ
32,AO08001,,Triticum,aestivum,aestivum,,,36743,AO08001,INRAE,36743:INRAE,https://doi.org/10.15454/ROTVXP
33,AO08004,,Triticum,aestivum,aestivum,,,36744,AO08004,INRAE,36744:INRAE,https://doi.org/10.15454/FP9VJX
34,AO08107,,Triticum,aestivum,aestivum,,,36746,AO08107,INRAE,36746:INRAE,https://doi.org/10.15454/BQBT4V
35,AO08112,,Triticum,aestivum,aestivum,,,36747,AO08112,INRAE,36747:INRAE,https://doi.org/10.15454/IR0FDN
36,AO08202,,Triticum,aestivum,aestivum,,,AO08202,AO08202,INRAE,AO08202:INRAE,gnpis_pui:holding-921_taxon-4898_accession-49578
37,AO08337,,Triticum,aestivum,aestivum,,,AO08337,AO08337,INRAE,AO08337:INRAE,gnpis_pui:holding-921_taxon-4898_accession-49535
38,AO08511,,Triticum,aestivum,aestivum,,,AO08511,AO08511,INRAE,AO08511:INRAE,gnpis_pui:holding-921_taxon-4898_accession-48515
39,AO08514,,Triticum,aestivum,aestivum,,,AO08514,AO08514,INRAE,AO08514:INRAE,gnpis_pui:holding-921_taxon-4898_accession-49416
40,AO08515,,Triticum,aestivum,aestivum,,,AO08515,AO08515,INRAE,AO08515:INRAE,gnpis_pui:holding-921_taxon-4898_accession-49033
41,AO08813,,Triticum,aestivum,aestivum,,,AO08813,AO08813,INRAE,AO08813:INRAE,gnpis_pui:holding-921_taxon-4898_accession-48777
42,AO08817,,Triticum,aestivum,aestivum,,,AO08817,AO08817,INRAE,AO08817:INRAE,gnpis_pui:holding-921_taxon-4898_accession-48597
