observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Apacheitkfi,2839358,BTH_Le_Moulon_2009_SetA2,BTH_Le_Moulon_2009_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,45,,140,,"8,64",,73,,"94,9",,"57,5",
DI08011itkfi,2839397,BTH_Le_Moulon_2009_SetA2,BTH_Le_Moulon_2009_SetA2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,72,,45,,140,,"8,78",,"72,4",,"105,7",,64,
DI08011itkt,2839399,BTH_Le_Moulon_2009_SetA2,BTH_Le_Moulon_2009_SetA2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,treated,2009,75,,"46,3",,140,,"9,28",,"75,8",,"102,4",,"95,7",
DI08011itknt,2839398,BTH_Le_Moulon_2009_SetA2,BTH_Le_Moulon_2009_SetA2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,76,,,,140,,,,"71,4",,"106,2",,"80,4",
RE07004itkfi,2839388,BTH_Le_Moulon_2009_SetA2,BTH_Le_Moulon_2009_SetA2,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,78,,"51,2",,139,,"11,06",,"72,3",,"102,8",,"62,2",
RE07004itkt,2839390,BTH_Le_Moulon_2009_SetA2,BTH_Le_Moulon_2009_SetA2,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,treated,2009,85,,"51,1",,138,,"11,08",,76,,"88,9",,83,
RE07004itknt,2839389,BTH_Le_Moulon_2009_SetA2,BTH_Le_Moulon_2009_SetA2,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,88,,,,138,,,,"72,8",,"97,6",,"73,8",
RE07083itkt,2839417,BTH_Le_Moulon_2009_SetA2,BTH_Le_Moulon_2009_SetA2,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,treated,2009,92,,"52,6",,138,,"9,26",,"76,4",,102,,"95,3",
RE07083itknt,2839416,BTH_Le_Moulon_2009_SetA2,BTH_Le_Moulon_2009_SetA2,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,95,,,,138,,,,"74,2",,"118,3",,"89,5",
RE07083itkfi,2839415,BTH_Le_Moulon_2009_SetA2,BTH_Le_Moulon_2009_SetA2,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,85,,"54,2",,139,,"9,6",,"74,7",,"108,3",,"65,5",
RE07025itkt,2839393,BTH_Le_Moulon_2009_SetA2,BTH_Le_Moulon_2009_SetA2,27835,https://doi.org/10.15454/GZMJBE,RE07025,VIRTUAL_TRIAL,,,,,,,,treated,2009,88,,"50,9",,142,,"10,71",,"76,2",,"96,7",,"90,3",
RE07025itkfi,2839391,BTH_Le_Moulon_2009_SetA2,BTH_Le_Moulon_2009_SetA2,27835,https://doi.org/10.15454/GZMJBE,RE07025,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,82,,"51,3",,142,,"10,28",,"71,2",,"99,4",,"60,1",
RE07025itknt,2839392,BTH_Le_Moulon_2009_SetA2,BTH_Le_Moulon_2009_SetA2,27835,https://doi.org/10.15454/GZMJBE,RE07025,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,90,,,,141,,,,"78,4",,"105,2",,"79,6",
AO09009itknt,2839305,BTH_Le_Moulon_2009_SetA2,BTH_Le_Moulon_2009_SetA2,27778,https://doi.org/10.15454/H1V79U,AO09009,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,82,,,,138,,,,"72,6",,"73,8",,"55,8",
AO09009itkt,2839306,BTH_Le_Moulon_2009_SetA2,BTH_Le_Moulon_2009_SetA2,27778,https://doi.org/10.15454/H1V79U,AO09009,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,"45,7",,138,,"10,12",,"76,1",,"89,1",,"83,2",
AO09009itkfi,2839304,BTH_Le_Moulon_2009_SetA2,BTH_Le_Moulon_2009_SetA2,27778,https://doi.org/10.15454/H1V79U,AO09009,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,75,,"44,6",,138,,"9,68",,"68,6",,"94,9",,"57,4",
