observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2823047,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49455,gnpis_pui:holding-921_taxon-4898_accession-49455,DI07005,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"10,88",,"73,8",,"91,33",
2,2823125,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48404,gnpis_pui:holding-921_taxon-4898_accession-48404,EM06064,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"9,8",,"71,7",,"73,14",
1,2823126,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48404,gnpis_pui:holding-921_taxon-4898_accession-48404,EM06064,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,17",,"75,3",,"105,8",
1,2823124,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48404,gnpis_pui:holding-921_taxon-4898_accession-48404,EM06064,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"9,2",,73,,"73,23",
1,2823016,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48529,gnpis_pui:holding-921_taxon-4898_accession-48529,EM06010,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"10,95",,"69,6",,"74,66",
2,2823063,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48964,gnpis_pui:holding-921_taxon-4898_accession-48964,RE06057,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,64",,"68,8",,"99,53",
1,2823062,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48964,gnpis_pui:holding-921_taxon-4898_accession-48964,RE06057,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,63",,"68,3",,"103,71",
1,2823060,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48964,gnpis_pui:holding-921_taxon-4898_accession-48964,RE06057,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"9,41",,"67,1",,"78,51",
2,2823061,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48964,gnpis_pui:holding-921_taxon-4898_accession-48964,RE06057,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"9,44",,"66,2",,"82,26",
1,2823070,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27828,https://doi.org/10.15454/PRTXZC,RE06050,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,99",,"70,7",,"106,74",
2,2823143,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48727,gnpis_pui:holding-921_taxon-4898_accession-48727,RE06008,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"10,61",,"67,7",,"95,92",
1,2823142,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48727,gnpis_pui:holding-921_taxon-4898_accession-48727,RE06008,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"10,19",,"72,3",,"106,85",
1,2823140,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48727,gnpis_pui:holding-921_taxon-4898_accession-48727,RE06008,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"9,81",,71,,"75,71",
2,2823019,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48529,gnpis_pui:holding-921_taxon-4898_accession-48529,EM06010,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,23",,"72,6",,"102,45",
2,2823141,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48727,gnpis_pui:holding-921_taxon-4898_accession-48727,RE06008,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"9,35",,"70,4",,"78,37",
1,2823018,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48529,gnpis_pui:holding-921_taxon-4898_accession-48529,EM06010,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,89",,"70,8",,99,
2,2823071,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27828,https://doi.org/10.15454/PRTXZC,RE06050,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"10,94",,"71,6",,"102,34",
1,2823094,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27756,https://doi.org/10.15454/PILE9C,AO07127,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"10,49",,"71,7",,"111,81",
2,2823095,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27756,https://doi.org/10.15454/PILE9C,AO07127,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,3",,"72,4",,"106,2",
2,2823017,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48529,gnpis_pui:holding-921_taxon-4898_accession-48529,EM06010,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"10,65",,"70,6",,"75,37",
2,2823093,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27756,https://doi.org/10.15454/PILE9C,AO07127,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"9,09",,73,,"80,74",
1,2823092,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27756,https://doi.org/10.15454/PILE9C,AO07127,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"8,64",,"71,8",,"82,47",
2,2823139,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48830,gnpis_pui:holding-921_taxon-4898_accession-48830,RE06025,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,4",,"71,9",,"101,6",
1,2823138,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48830,gnpis_pui:holding-921_taxon-4898_accession-48830,RE06025,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,58",,"72,3",,"101,54",
1,2823068,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27828,https://doi.org/10.15454/PRTXZC,RE06050,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"9,97",,69,,"83,29",
2,2823031,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49126,gnpis_pui:holding-921_taxon-4898_accession-49126,RE06007,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,05",,"72,3",,"90,19",
2,2823137,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48830,gnpis_pui:holding-921_taxon-4898_accession-48830,RE06025,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"10,29",,"71,6",,"77,36",
1,2823136,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48830,gnpis_pui:holding-921_taxon-4898_accession-48830,RE06025,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"10,83",,69,,"76,93",
2,2823035,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27802,https://doi.org/10.15454/5XXKDL,DI07001,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"9,81",,"70,7",,"111,88",
1,2823034,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27802,https://doi.org/10.15454/5XXKDL,DI07001,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"10,48",,"71,9",,"112,84",
2,2823033,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27802,https://doi.org/10.15454/5XXKDL,DI07001,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"9,26",,"64,9",,"85,93",
1,2823028,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49126,gnpis_pui:holding-921_taxon-4898_accession-49126,RE06007,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"10,69",,"70,7",,"70,46",
1,2823032,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27802,https://doi.org/10.15454/5XXKDL,DI07001,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"9,16",,"69,3",,"86,6",
2,2823069,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27828,https://doi.org/10.15454/PRTXZC,RE06050,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"9,52",,"68,8",,"83,35",
1,2823030,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49126,gnpis_pui:holding-921_taxon-4898_accession-49126,RE06007,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,31",,"70,7",,"80,99",
2,2823027,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"10,52",,"74,3",,"107,74",
1,2823026,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"10,92",,"74,6",,"109,95",
2,2823025,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"9,98",,"72,2",,"79,26",
2,2823029,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49126,gnpis_pui:holding-921_taxon-4898_accession-49126,RE06007,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"10,53",,"71,5",,"66,42",
1,2823024,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"9,7",,70,,"88,92",
2,2823177,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49009,gnpis_pui:holding-921_taxon-4898_accession-49009,EM06035,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"8,86",,"71,3",,"67,47",
1,2823176,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49009,gnpis_pui:holding-921_taxon-4898_accession-49009,EM06035,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"8,71",,"72,6",,"69,53",
2,2823075,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49460,gnpis_pui:holding-921_taxon-4898_accession-49460,CF06001,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"10,5",,"70,3",,"103,59",
