observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
1,2831682,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27269,https://doi.org/10.15454/N0JGJL,RE07012,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"67,17",,2,
2,2831677,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49257,gnpis_pui:holding-921_taxon-4898_accession-49257,DI08007,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"73,95",,7,
1,2831676,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49257,gnpis_pui:holding-921_taxon-4898_accession-49257,DI08007,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"73,87",,2,
1,2831702,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"88,93",,1,
2,2831703,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"89,3",,"2,5",
2,2831741,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27790,https://doi.org/10.15454/CEUVSR,CF07022,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"89,56",,5,
1,2831740,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27790,https://doi.org/10.15454/CEUVSR,CF07022,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"87,86",,1,
2,2831715,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49581,gnpis_pui:holding-921_taxon-4898_accession-49581,DI08001,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"69,12",,4,
1,2831714,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49581,gnpis_pui:holding-921_taxon-4898_accession-49581,DI08001,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"71,91",,"1,5",
2,2831709,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48970,gnpis_pui:holding-921_taxon-4898_accession-48970,CF07057,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"74,2",,2,
1,2831708,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48970,gnpis_pui:holding-921_taxon-4898_accession-48970,CF07057,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"83,54",,1,
1,2831710,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"80,33",,1,
2,2831711,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"81,22",,4,
2,2831697,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"93,97",,1,
1,2831696,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"84,39",,1,
2,2831695,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"95,23",,"4,5",
1,2831694,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"96,98",,1,
2,2831713,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"81,55",,"1,5",
1,2831712,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"83,53",,1,
2,2831719,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48341,gnpis_pui:holding-921_taxon-4898_accession-48341,DI08003,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"82,01",,"2,5",
1,2831718,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48341,gnpis_pui:holding-921_taxon-4898_accession-48341,DI08003,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"81,71",,1,
1,2831686,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48361,gnpis_pui:holding-921_taxon-4898_accession-48361,RE07015,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"52,26",,1,
2,2831687,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48361,gnpis_pui:holding-921_taxon-4898_accession-48361,RE07015,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"58,83",,1,
2,2831681,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48617,gnpis_pui:holding-921_taxon-4898_accession-48617,RE07011,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"83,58",,2,
1,2831680,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48617,gnpis_pui:holding-921_taxon-4898_accession-48617,RE07011,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"75,7",,1,
2,2831735,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48879,gnpis_pui:holding-921_taxon-4898_accession-48879,RE07002,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"77,39",,3,
1,2831734,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48879,gnpis_pui:holding-921_taxon-4898_accession-48879,RE07002,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"82,13",,1,
1,2831726,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"84,39",,1,
2,2831727,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"80,46",,"1,5",
1,2831720,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48504,gnpis_pui:holding-921_taxon-4898_accession-48504,DI08004,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"82,43",,2,
2,2831721,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48504,gnpis_pui:holding-921_taxon-4898_accession-48504,DI08004,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"82,9",,"2,5",
2,2831723,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49067,gnpis_pui:holding-921_taxon-4898_accession-49067,DI08005,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"76,54",,4,
1,2831722,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49067,gnpis_pui:holding-921_taxon-4898_accession-49067,DI08005,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"88,47",,1,
1,2831730,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48418,gnpis_pui:holding-921_taxon-4898_accession-48418,RE07006,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"71,05",,1,
2,2831731,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48418,gnpis_pui:holding-921_taxon-4898_accession-48418,RE07006,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"78,56",,5,
2,2831705,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49370,gnpis_pui:holding-921_taxon-4898_accession-49370,CF07037,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"88,77",,1,
1,2831704,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49370,gnpis_pui:holding-921_taxon-4898_accession-49370,CF07037,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"90,04",,1,
2,2831679,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49461,gnpis_pui:holding-921_taxon-4898_accession-49461,EM07085,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"70,98",,1,
1,2831678,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49461,gnpis_pui:holding-921_taxon-4898_accession-49461,EM07085,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"72,08",,1,
1,2831688,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27843,https://doi.org/10.15454/KB5WU7,RE07004,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"77,9",,1,
1,2831728,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27835,https://doi.org/10.15454/GZMJBE,RE07025,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"74,83",,1,
2,2831729,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27835,https://doi.org/10.15454/GZMJBE,RE07025,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"72,01",,"2,5",
2,2831745,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27787,https://doi.org/10.15454/SLLTW8,CF07008,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"81,02",,1,
1,2831744,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27787,https://doi.org/10.15454/SLLTW8,CF07008,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"83,9",,1,
2,2831699,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27769,https://doi.org/10.15454/IR0FDN,AO08112,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"88,38",,4,
1,2831698,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27769,https://doi.org/10.15454/IR0FDN,AO08112,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"85,64",,1,
1,2831742,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27786,https://doi.org/10.15454/I30U5V,CF07002,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"75,16",,1,
2,2831743,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27786,https://doi.org/10.15454/I30U5V,CF07002,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"94,68",,3,
1,2831738,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27789,https://doi.org/10.15454/BTYEVM,CF07021,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"84,1",,1,
2,2831739,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27789,https://doi.org/10.15454/BTYEVM,CF07021,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"80,94",,"1,5",
2,2831733,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27768,https://doi.org/10.15454/BQBT4V,AO08107,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"89,91",,"1,5",
1,2831732,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27768,https://doi.org/10.15454/BQBT4V,AO08107,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"86,17",,1,
1,2831706,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27788,https://doi.org/10.15454/72PHHY,CF07018,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"93,61",,1,
2,2831707,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27788,https://doi.org/10.15454/72PHHY,CF07018,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"92,89",,4,
1,2831692,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27305,https://doi.org/10.15454/OPZZGX,RE07019,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"83,7",,"1,5",
2,2831693,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27305,https://doi.org/10.15454/OPZZGX,RE07019,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"86,19",,5,
2,2831683,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27269,https://doi.org/10.15454/N0JGJL,RE07012,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"69,78",,8,
2,2831689,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27843,https://doi.org/10.15454/KB5WU7,RE07004,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"73,72",,"2,5",
2,2831673,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,26914,https://doi.org/10.15454/5YB44K,PREMIO,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"93,12",,"1,5",
1,2831672,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,26914,https://doi.org/10.15454/5YB44K,PREMIO,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"94,11",,1,
1,2831684,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48745,gnpis_pui:holding-921_taxon-4898_accession-48745,RE07013,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"65,18",,2,
2,2831685,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48745,gnpis_pui:holding-921_taxon-4898_accession-48745,RE07013,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"70,01",,7,
1,2831700,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49448,gnpis_pui:holding-921_taxon-4898_accession-49448,EM07118,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"89,23",,1,
2,2831701,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49448,gnpis_pui:holding-921_taxon-4898_accession-49448,EM07118,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"94,3",,"1,5",
1,2831724,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49329,gnpis_pui:holding-921_taxon-4898_accession-49329,DI08006,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"86,91",,1,
2,2831725,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49329,gnpis_pui:holding-921_taxon-4898_accession-49329,DI08006,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"85,79",,6,
2,2831737,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49578,gnpis_pui:holding-921_taxon-4898_accession-49578,AO08202,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"87,72",,1,
1,2831736,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49578,gnpis_pui:holding-921_taxon-4898_accession-49578,AO08202,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"85,64",,1,
2,2831675,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48691,gnpis_pui:holding-921_taxon-4898_accession-48691,EM07186,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"77,95",,"1,5",
1,2831674,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48691,gnpis_pui:holding-921_taxon-4898_accession-48691,EM07186,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"77,96",,1,
2,2831671,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48692,gnpis_pui:holding-921_taxon-4898_accession-48692,RE07005,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"78,49",,"3,5",
1,2831670,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48692,gnpis_pui:holding-921_taxon-4898_accession-48692,RE07005,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"75,53",,1,
2,2831717,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49435,gnpis_pui:holding-921_taxon-4898_accession-49435,DI08002,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"88,59",,5,
1,2831716,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49435,gnpis_pui:holding-921_taxon-4898_accession-49435,DI08002,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"84,41",,1,
