observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI08019-2,2855381,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,2011,"3,5",,4,,NA,,3,,4,,1,
HadmF11383,2855385,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,2011,"4,5",,6,,NA,,2,,4,,1,
Hadm01221-04,2855412,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,2011,"5,5",,1,,NA,,5,,3,,7,
HadmF276,2855409,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,2011,"4,5",,6,,NA,,3,,6,,3,
Koreli,2855393,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,2011,3,,3,,NA,,5,,3,,3,
DI09006,2855397,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,2011,3,,4,,NA,,5,,6,,1,
RE07019,2855383,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,2011,4,,1,,NA,,2,,4,,2,
Folklor,2855380,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,2011,"2,5",,1,,NA,,3,,3,,1,
Premio,2855379,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,2011,"2,5",,4,,NA,,5,,3,,1,
EM08019,2855407,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,49300,https://doi.org/10.15454/TFJQEJ,EM08019,VIRTUAL_TRIAL,,,,,,,,2011,8,,6,,NA,,5,,3,,2,
Apache,2855395,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2011,2,,6,,NA,,5,,5,,1,
Lyrik,2855416,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2011,"2,5",,6,,NA,,2,,4,,2,
Ghayta,2855410,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,2011,"3,5",,4,,NA,,3,,4,,3,
Grapeli,2855386,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,2011,3,,4,,NA,,2,,3,,1,
CF08027,2855417,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,2011,"2,5",,4,,NA,,2,,4,,1,
Granamax,2855396,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,2011,"3,5",,6,,NA,,5,,4,,1,
JDBF80,2855411,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,49395,https://doi.org/10.15454/C10CEB,JDBF80,VIRTUAL_TRIAL,,,,,,,,2011,2,,1,,NA,,5,,NA,,8,
AO10013,2855388,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,2011,"6,5",,1,,2,,3,,6,,4,
EM08024,2855392,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,27822,https://doi.org/10.15454/KNNDVP,EM08024,VIRTUAL_TRIAL,,,,,,,,2011,4,,4,,NA,,2,,3,,1,
Hadm01601-07,2855391,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,60770,https://doi.org/10.15454/PT31GV,Hadm01601-07,VIRTUAL_TRIAL,,,,,,,,2011,"5,5",,1,,NA,,5,,6,,1,
