observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI06007,2822132,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,2007,4,,3,,4,,2,
Koreli,2822112,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,2007,3,,NA,,4,,1,
EM05055,2822123,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,26970,https://doi.org/10.15454/ASLJXK,EM05055,VIRTUAL_TRIAL,,,,,,,,2007,3,,2,,8,,1,
CF05173,2822128,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,2007,6,,3,,4,,1,
CF05079,2822127,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,2007,3,,3,,6,,1,
CF05091,2822121,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,26973,https://doi.org/10.15454/GWNEQR,CF05091,VIRTUAL_TRIAL,,,,,,,,2007,4,,2,,8,,1,
RE05007,2822101,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,26981,https://doi.org/10.15454/SU2MGF,RE05007,VIRTUAL_TRIAL,,,,,,,,2007,6,,5,,1,,1,
CF05162,2822111,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,2007,3,,3,,6,,1,
AO06407,2822106,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,26982,https://doi.org/10.15454/FCNCUR,AO06407,VIRTUAL_TRIAL,,,,,,,,2007,3,,3,,6,,1,
EM05162,2822102,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,26971,https://doi.org/10.15454/IAEYHC,EM05162,VIRTUAL_TRIAL,,,,,,,,2007,3,,3,,8,,NA,
Folklor,2822104,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,2007,4,,2,,4,,1,
RE05041,2822105,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,27042,https://doi.org/10.15454/1NUEUQ,RE05041,VIRTUAL_TRIAL,,,,,,,,2007,6,,3,,4,,1,
Apache,2822115,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2007,3,,NA,,5,,1,
Sankara,2822118,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,2007,4,,NA,,5,,2,
EM05312,2822103,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,48450,https://doi.org/10.15454/XWZ3V6,EM05312,VIRTUAL_TRIAL,,,,,,,,2007,4,,2,,6,,1,
CF05140,2822109,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,49523,https://doi.org/10.15454/MMQSM6,CF05140,VIRTUAL_TRIAL,,,,,,,,2007,6,,3,,5,,1,
CF05161,2822113,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,26974,https://doi.org/10.15454/BQTYVO,CF05161,VIRTUAL_TRIAL,,,,,,,,2007,6,,3,,6,,1,
EM05230,2822131,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,26988,https://doi.org/10.15454/FV0GUM,EM05230,VIRTUAL_TRIAL,,,,,,,,2007,6,,2,,4,,1,
EM05178,2822117,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,26987,https://doi.org/10.15454/KGPOGY,EM05178,VIRTUAL_TRIAL,,,,,,,,2007,4,,3,,4,,1,
