observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
RE04009itkt,2813490,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26830,https://doi.org/10.15454/6V5ULG,RE04009,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,"49,3",,146,,"12,38",,72,,"96,9",,98,,,
DI05020-2itknt,2813537,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,85,,,,"140,5",,,,"73,8",,"114,2",,"99,9",,5,
DI05020-2itkfi,2813536,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,"50,8",,"141,5",,"9,96",,"72,5",,"111,7",,"96,1",,4,
DI05022itkfi,2813566,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,88,,"51,6",,143,,"10,15",,"74,2",,"118,2",,"101,7",,3,
DI05022itkt,2813568,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,treated,2006,82,,"52,8",,144,,"12,44",,"74,2",,"106,4",,"107,6",,,
DI05022itknt,2813567,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,85,,,,142,,,,"72,6",,"117,5",,"102,8",,4,
DI05004itkfi,2813479,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,49451,https://doi.org/10.15454/HTYOGZ,DI05004,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,50,,148,,"10,5",,"70,4",,"98,8",,85,,1,
DI05004itkt,2813481,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,49451,https://doi.org/10.15454/HTYOGZ,DI05004,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,"49,2",,"147,5",,"11,54",,"72,2",,96,,"97,1",,,
DI05004itknt,2813480,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,49451,https://doi.org/10.15454/HTYOGZ,DI05004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,85,,,,"147,5",,,,71,,"101,7",,"88,9",,3,
DI05003-2itknt,2813519,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,49014,https://doi.org/10.15454/UKELLG,DI05003-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,78,,,,147,,,,"71,6",,"100,4",,"87,8",,5,
