observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fr(CO_321:1000271),fr(CO_321:1000271).date
DI02008,2802583,BTH_Chaux_des_Prés_2005_SetA1,BTH_Chaux_des_Prés_2005_SetA1,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",
Koreli,2802572,BTH_Chaux_des_Prés_2005_SetA1,BTH_Chaux_des_Prés_2005_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,2005,NA,
CF03201,2802573,BTH_Chaux_des_Prés_2005_SetA1,BTH_Chaux_des_Prés_2005_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,2005,2,
EM02224,2802594,BTH_Chaux_des_Prés_2005_SetA1,BTH_Chaux_des_Prés_2005_SetA1,26806,https://doi.org/10.15454/MJW2ZX,EM02224,VIRTUAL_TRIAL,,,,,,,,2005,2,
EM02054,2802571,BTH_Chaux_des_Prés_2005_SetA1,BTH_Chaux_des_Prés_2005_SetA1,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,2005,"2,5",
DI02006,2802569,BTH_Chaux_des_Prés_2005_SetA1,BTH_Chaux_des_Prés_2005_SetA1,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,2005,NA,
AO04001,2802567,BTH_Chaux_des_Prés_2005_SetA1,BTH_Chaux_des_Prés_2005_SetA1,48667,gnpis_pui:holding-921_taxon-4898_accession-48667,AO04001,VIRTUAL_TRIAL,,,,,,,,2005,NA,
DI01022,2802570,BTH_Chaux_des_Prés_2005_SetA1,BTH_Chaux_des_Prés_2005_SetA1,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,2005,NA,
LM03004,2802598,BTH_Chaux_des_Prés_2005_SetA1,BTH_Chaux_des_Prés_2005_SetA1,48678,gnpis_pui:holding-921_taxon-4898_accession-48678,LM03004,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",
Apache,2802575,BTH_Chaux_des_Prés_2005_SetA1,BTH_Chaux_des_Prés_2005_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2005,"2,5",
Charger,2802582,BTH_Chaux_des_Prés_2005_SetA1,BTH_Chaux_des_Prés_2005_SetA1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,2005,"2,5",
Crousty,2802586,BTH_Chaux_des_Prés_2005_SetA1,BTH_Chaux_des_Prés_2005_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",
Tamaro,2802597,BTH_Chaux_des_Prés_2005_SetA1,BTH_Chaux_des_Prés_2005_SetA1,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,2005,NA,
