observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Apacheitkt,2808298,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,"47,7",,139,,"9,59",,"76,6",,"97,5",,"101,3",,1,
DI05020itkt,2808326,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,62005,https://doi.org/10.15454/Q0EAS8,DI05020,VIRTUAL_TRIAL,,,,,,,,treated,2005,90,,"58,8",,"141,5",,"10,92",,"73,1",,"100,8",,"104,7",,"2,5",
DI05014itkfi,2808283,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,"45,2",,145,,"9,78",,"64,4",,"102,8",,87,,7,
DI05014itkt,2808284,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"39,4",,"145,5",,"10,6",,68,,"106,5",,"110,6",,"3,5",
Hendrixitkt,2808252,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,47,,"144,5",,12,,"76,7",,"93,8",,"97,5",,5,
Hendrixitkfi,2808251,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,95,,"56,8",,144,,"10,44",,"74,5",,99,,"83,8",,1,
RE04022itkfi,2808265,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,26831,https://doi.org/10.15454/CK12PW,RE04022,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"92,5",,"56,3",,144,,"8,98",,"70,6",,"107,4",,"90,8",,1,
RE04022itkt,2808266,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,26831,https://doi.org/10.15454/CK12PW,RE04022,VIRTUAL_TRIAL,,,,,,,,treated,2005,90,,"51,5",,"144,5",,"9,09",,"69,7",,105,,"109,1",,2,
CF04184itkt,2808324,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,26896,https://doi.org/10.15454/PBJIBN,CF04184,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,53,,142,,"11,76",,"70,8",,98,,"101,8",,6,
CF04184itkfi,2808323,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,26896,https://doi.org/10.15454/PBJIBN,CF04184,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"92,5",,"57,6",,"141,5",,"10,72",,"73,4",,"98,2",,83,,"4,5",
