observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
AO13044,2879315,BTH_Rennes_2013_SetB3_PIETIN-VERSE,BTH_Rennes_2013_SetB3_PIETIN-VERSE,61303,https://doi.org/10.15454/O5PDFN,AO13044,VIRTUAL_TRIAL,,,,,,,,2013,9,,5,,4,,3,
AO13029,2879304,BTH_Rennes_2013_SetB3_PIETIN-VERSE,BTH_Rennes_2013_SetB3_PIETIN-VERSE,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,2013,5,,5,,6,,1,
AO13031,2879331,BTH_Rennes_2013_SetB3_PIETIN-VERSE,BTH_Rennes_2013_SetB3_PIETIN-VERSE,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,2013,"6,5",,2,,3,,1,
AO13041,2879319,BTH_Rennes_2013_SetB3_PIETIN-VERSE,BTH_Rennes_2013_SetB3_PIETIN-VERSE,61254,https://doi.org/10.15454/TWWXEK,AO13041,VIRTUAL_TRIAL,,,,,,,,2013,8,,5,,5,,4,
AO13042,2879317,BTH_Rennes_2013_SetB3_PIETIN-VERSE,BTH_Rennes_2013_SetB3_PIETIN-VERSE,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,2013,5,,5,,4,,3,
AO13046,2879332,BTH_Rennes_2013_SetB3_PIETIN-VERSE,BTH_Rennes_2013_SetB3_PIETIN-VERSE,61333,https://doi.org/10.15454/JD3ICY,AO13046,VIRTUAL_TRIAL,,,,,,,,2013,8,,5,,3,,1,
RE12071,2879323,BTH_Rennes_2013_SetB3_PIETIN-VERSE,BTH_Rennes_2013_SetB3_PIETIN-VERSE,61543,https://doi.org/10.15454/8TKSMS,RE12071,VIRTUAL_TRIAL,,,,,,,,2013,4,,2,,3,,1,
RE12080,2879327,BTH_Rennes_2013_SetB3_PIETIN-VERSE,BTH_Rennes_2013_SetB3_PIETIN-VERSE,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,2013,6,,2,,3,,5,
RE12095,2879334,BTH_Rennes_2013_SetB3_PIETIN-VERSE,BTH_Rennes_2013_SetB3_PIETIN-VERSE,61619,https://doi.org/10.15454/JV6VFM,RE12095,VIRTUAL_TRIAL,,,,,,,,2013,2,,2,,4,,1,
CF12278,2879330,BTH_Rennes_2013_SetB3_PIETIN-VERSE,BTH_Rennes_2013_SetB3_PIETIN-VERSE,61646,https://doi.org/10.15454/XUD1JH,CF12278,VIRTUAL_TRIAL,,,,,,,,2013,5,,5,,4,,6,
