observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI08019-2itkfi,2836836,BTH_Estrées-Mons_2009_SetA1,BTH_Estrées-Mons_2009_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"12,18",,140,,"107,9",
Toisondoritkt,2836826,BTH_Estrées-Mons_2009_SetA1,BTH_Estrées-Mons_2009_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2009,"12,48",,"99,7",,"115,6",
Toisondoritkfi,2836824,BTH_Estrées-Mons_2009_SetA1,BTH_Estrées-Mons_2009_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"10,98",,"96,9",,"74,7",
DI08019-2itknt,2836837,BTH_Estrées-Mons_2009_SetA1,BTH_Estrées-Mons_2009_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,,,"121,8",,"111,2",
DI08019-2itkt,2836838,BTH_Estrées-Mons_2009_SetA1,BTH_Estrées-Mons_2009_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2009,"12,16",,"116,8",,"135,4",
Folkloritkt,2836829,BTH_Estrées-Mons_2009_SetA1,BTH_Estrées-Mons_2009_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2009,"12,59",,"103,8",,"120,3",
Folkloritkfi,2836827,BTH_Estrées-Mons_2009_SetA1,BTH_Estrées-Mons_2009_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"11,34",,"125,7",,"96,9",
EM06017itkt,2836832,BTH_Estrées-Mons_2009_SetA1,BTH_Estrées-Mons_2009_SetA1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,treated,2009,"14,96",,"96,1",,"111,4",
Caphornitkfi,2836878,BTH_Estrées-Mons_2009_SetA1,BTH_Estrées-Mons_2009_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"12,68",,"98,1",,"75,6",
HadmF276itkfi,2836869,BTH_Estrées-Mons_2009_SetA1,BTH_Estrées-Mons_2009_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"12,62",,"116,6",,"89,8",
