observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,ht(CO_321:1000218),ht(CO_321:1000218).date,itk,oid(CO_321:1000145),oid(CO_321:1000145).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CELLULEitk15,2970618,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,27736,https://doi.org/10.15454/5V5PUX,CELLULE,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,,,5,,,,,,,,,
CELLULEitkt,2970621,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,27736,https://doi.org/10.15454/5V5PUX,CELLULE,VIRTUAL_TRIAL,,,,,,,,2015,98,,traite,,,49.3,,130,,11.4,,85.8,,110.7,,,,132,,,,,,1,
CELLULEitknt,2970620,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,27736,https://doi.org/10.15454/5V5PUX,CELLULE,VIRTUAL_TRIAL,,,,,,,,2015,94,,non traite fongicides,1,,41.8,,129,,10.8,,84.1,,112,,2.5,,105,,1,,4,,1,
CELLULEitkfi,2970619,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,27736,https://doi.org/10.15454/5V5PUX,CELLULE,VIRTUAL_TRIAL,,,,,,,,2015,98,,faible intrant,1,,43.6,,129,,10.8,,84.1,,104.7,,3,,97.8,,2,,3.5,,1,
AO11011itk15,2970534,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,,,6,,,,,,,,,
AO11011itknt,2970536,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,2015,91,,non traite fongicides,1,,39.9,,140,,11.6,,81.3,,93.6,,2.5,,87.8,,1,,2.5,,1,
AO11011itkfi,2970535,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,2015,90,,faible intrant,1,,41.7,,138,,11,,81.8,,98,,2.5,,91.6,,1,,3,,1,
AO11011itkt,2970537,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,2015,91,,traite,,,48.8,,138,,11.2,,83.8,,105.7,,,,126.1,,,,,,1,
RE10042itk15,2970630,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,,,1,,,,,,,,,
RE10042itknt,2970632,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,2015,100,,non traite fongicides,1,,42.4,,141,,10.4,,81.6,,107.3,,2,,100.6,,2,,2.5,,1,
RE10042itkt,2970633,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,2015,101,,traite,,,48.4,,142,,10.7,,80.3,,95.9,,,,114.5,,,,,,1,
RE10042itkfi,2970631,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,2015,101,,faible intrant,1,,44.7,,140,,10.5,,81.5,,105.6,,2,,98.7,,3.5,,2.5,,1,
RE11058itk15,2970634,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,,,3,,,,,,,,,
RE11058itkt,2970637,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,2015,104,,traite,,,47.3,,134,,11.1,,82.3,,103.5,,,,123.5,,,,,,2,
RE11058itknt,2970636,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,2015,101,,non traite fongicides,1,,39,,134,,11.4,,79,,102.4,,2,,96,,2,,4.5,,2.5,
RE11058itkfi,2970635,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,2015,102,,faible intrant,1,,44.6,,133,,10.5,,81.5,,110.4,,2,,103.1,,2,,3.5,,1,
CROUSTYitk15,2970638,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,,,NA,,,,,,,,,
CROUSTYitkt,2970641,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,2015,114,,traite,,,49.3,,132,,11,,82.3,,89.7,,,,107,,,,,,1,
CROUSTYitknt,2970640,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,2015,108,,non traite fongicides,1,,40.4,,132,,11.5,,78.6,,81.1,,NA,,76,,7,,NA,,1,
CROUSTYitkfi,2970639,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,2015,108,,faible intrant,1,,41.3,,132,,11,,78.8,,80.1,,NA,,74.8,,7,,NA,,1,
