observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI08019-2itkt,2844121,BTH_Le_Moulon_2009_TECH,BTH_Le_Moulon_2009_TECH,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2009,"13,7",,38,,85,,56,,85,,226,,92,,"2,42",,149,,43,,409,,"9,2",,NA,,1570,,25,
DI08011itkt,2844120,BTH_Le_Moulon_2009_TECH,BTH_Le_Moulon_2009_TECH,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,treated,2009,"16,7",,57,,94,,54,,92,,240,,99,,"1,77",,208,,43,,403,,"10,1",,NA,,1730,,31,
HadmF276itkt,2844137,BTH_Le_Moulon_2009_TECH,BTH_Le_Moulon_2009_TECH,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2009,"15,7",,50,,79,,53,,59,,191,,85,,"1,7",,157,,55,,262,,"9,3",,NA,,1500,,24,
CF08127itkt,2844151,BTH_Le_Moulon_2009_TECH,BTH_Le_Moulon_2009_TECH,27800,https://doi.org/10.15454/WQU9II,CF08127,VIRTUAL_TRIAL,,,,,,,,treated,2009,"22,7",,105,,88,,60,,92,,240,,45,,"0,43",,156,,25,,NA,,10,,"77,7",,1623,,NA,
CF07097itkt,2844132,BTH_Le_Moulon_2009_TECH,BTH_Le_Moulon_2009_TECH,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,treated,2009,"13,9",,39,,91,,30,,89,,210,,92,,"2,36",,155,,17,,380,,"10,4",,NA,,1440,,20,
CF08139itkt,2844135,BTH_Le_Moulon_2009_TECH,BTH_Le_Moulon_2009_TECH,27801,https://doi.org/10.15454/1DEONX,CF08139,VIRTUAL_TRIAL,,,,,,,,treated,2009,"15,9",,52,,100,,35,,87,,222,,114,,"2,2",,227,,65,,NA,,"9,9",,"76,7",,1403,,NA,
AO09007itkt,2844122,BTH_Le_Moulon_2009_TECH,BTH_Le_Moulon_2009_TECH,27776,https://doi.org/10.15454/4JXOGF,AO09007,VIRTUAL_TRIAL,,,,,,,,treated,2009,19,,73,,88,,59,,85,,232,,83,,"1,14",,189,,58,,414,,"11,1",,NA,,1775,,28,
DI09015itkt,2844124,BTH_Le_Moulon_2009_TECH,BTH_Le_Moulon_2009_TECH,27811,https://doi.org/10.15454/N3NIWD,DI09015,VIRTUAL_TRIAL,,,,,,,,treated,2009,"14,9",,45,,100,,23,,64,,187,,105,,"2,35",,180,,58,,NA,,"9,7",,"77,5",,1118,,NA,
DI09017itkt,2844164,BTH_Le_Moulon_2009_TECH,BTH_Le_Moulon_2009_TECH,27812,https://doi.org/10.15454/BEWTVM,DI09017,VIRTUAL_TRIAL,,,,,,,,treated,2009,"16,3",,54,,88,,60,,80,,228,,104,,"1,94",,206,,60,,NA,,10,,"77,4",,1295,,NA,
DI09004itkt,2844141,BTH_Le_Moulon_2009_TECH,BTH_Le_Moulon_2009_TECH,27808,https://doi.org/10.15454/GGTVHF,DI09004,VIRTUAL_TRIAL,,,,,,,,treated,2009,"21,8",,96,,88,,59,,80,,227,,59,,"0,61",,153,,52,,NA,,"9,7",,"75,5",,1553,,NA,
