observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI08019-2itkfi,2835991,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,144,,"9,72",,78,,"104,2",,1,,103,
Hendrixitkfi,2835981,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,142,,"10,72",,"80,2",,"89,9",,1,,"88,9",
EM06110itkt,2836054,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27817,https://doi.org/10.15454/KG1VPB,EM06110,VIRTUAL_TRIAL,,,,,,,,treated,2009,140,,"9,93",,76,,93,,,,"92,5",
Soissonsitkfi,2836051,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,140,,"11,04",,"79,2",,"89,9",,5,,"88,9",
DI08019-2itkt,2835992,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2009,145,,"9,2",,"78,4",,"110,7",,,,"110,2",
Folkloritkt,2835986,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2009,146,,"9,5",,"75,2",,106,,,,"105,5",
Toisondoritkt,2835984,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2009,146,,"10,56",,"76,3",,"93,5",,,,"93,1",
Caphornitkt,2836020,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2009,143,,"11,6",,"75,7",,"99,5",,,,"99,1",
Folkloritkfi,2835985,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,145,,"10,13",,"75,3",,"105,4",,1,,"104,3",
HadmF276itkfi,2836013,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,141,,"10,58",,"74,7",,"101,5",,1,,"100,4",
