observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI05020-2,2820318,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,2007,6,,NA,,4,,1,
DI05022,2820328,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,2007,6,,NA,,4,,1,
Koreli,2820306,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,2007,3,,NA,,4,,1,
Barok,2820298,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,2007,4,,NA,,6,,1,
EM03332,2820329,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,2007,4,,NA,,4,,1,
DI05014,2820305,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,2007,3,,NA,,6,,2,
CF03201,2820316,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,2007,3,,NA,,4,,2,
AO06313,2820302,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,26967,https://doi.org/10.15454/GRNHCW,AO06313,VIRTUAL_TRIAL,,,,,,,,2007,6,,NA,,7,,1,
CF04043,2820317,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,2007,6,,NA,,4,,3,
Hendrix,2820299,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,2007,4,,NA,,3,,1,
RE05091,2820309,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,27043,https://doi.org/10.15454/QCLAYU,RE05091,VIRTUAL_TRIAL,,,,,,,,2007,4,,5,,6,,1,
Apache,2820311,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2007,3,,NA,,5,,1,
Sankara,2820314,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,2007,4,,NA,,5,,2,
Toisondor,2820301,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,2007,6,,NA,,2,,7,
Flamenko,2820319,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,2007,6,,3,,6,,1,
AO05004,2820303,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,48941,https://doi.org/10.15454/YPYOQJ,AO05004,VIRTUAL_TRIAL,,,,,,,,2007,3,,NA,,3,,6,
Crousty,2820320,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,2007,3,,NA,,4,,3,
Caphorn,2820315,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2007,4,,NA,,4,,6,
DI04018,2820307,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,2007,4,,NA,,4,,2,
CF03287,2820322,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,2007,3,,NA,,6,,2,
CF04214,2820331,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,49393,https://doi.org/10.15454/RBB8O2,CF04214,VIRTUAL_TRIAL,,,,,,,,2007,3,,3,,8,,2,
