observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
AO12001itkt,2870775,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,61241,https://doi.org/10.15454/TKI8XQ,AO12001,VIRTUAL_TRIAL,,,,,,,,treated,2012,"12,4",,31,,97,,NA,,67,,NA,,71,,NA,,235,,NA,,133,,"4,29",,177,,87,,371,,NA,,"11,7",,NA,,1443,,NA,,NA,,38,
AO12002itkt,2870776,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,treated,2012,"15,6",,49,,97,,NA,,24,,NA,,74,,NA,,195,,NA,,105,,"2,14",,213,,"73,5",,366,,NA,,"11,7",,NA,,1348,,NA,,NA,,"38,5",
EM10126itkt,2870782,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,treated,2012,"15,6",,49,,88,,NA,,45,,NA,,88,,NA,,221,,NA,,101,,"2,06",,196,,"71,5",,337,,NA,,11,,NA,,1468,,NA,,NA,,26,
CF10185itkt,2870811,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2012,"16,7",,57,,100,,NA,,76,,NA,,73,,NA,,249,,NA,,114,,"2,04",,259,,68,,385,,NA,,"11,8",,NA,,1645,,NA,,NA,,35,
DI12011itkt,2870761,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,treated,2012,"23,6",,113,,NA,,94,,NA,,"34,85",,NA,,"65,76",,NA,,"194,61",,58,,"0,51",,165,,78,,442,,"39,56",,12,,"76,7",,NA,,1520,,"1,92",,NA,
CF10064itkt,2870764,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,treated,2012,"18,1",,66,,97,,NA,,36,,NA,,70,,NA,,203,,NA,,98,,"1,48",,265,,38,,341,,NA,,"12,6",,NA,,1393,,NA,,NA,,"36,5",
AO12006itkt,2870778,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,treated,2012,"18,8",,72,,94,,NA,,62,,NA,,83,,NA,,239,,NA,,77,,"1,08",,176,,82,,353,,NA,,"11,7",,NA,,1603,,NA,,NA,,"31,5",
EM11537itkt,2870757,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,treated,2012,"18,4",,68,,NA,,100,,NA,,"50,25",,NA,,97,,NA,,"247,25",,108,,"1,58",,248,,75,,477,,"39,68",,11,,81,,NA,,1350,,"1,88",,NA,
AO12016itkt,2870800,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,treated,2012,12,,29,,88,,NA,,7,,NA,,66,,NA,,161,,NA,,115,,"3,97",,150,,"89,5",,327,,NA,,"10,9",,NA,,1133,,NA,,NA,,"32,5",
CF09117itkt,2870802,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2012,"20,3",,84,,85,,NA,,9,,NA,,69,,NA,,163,,NA,,134,,"1,61",,408,,"69,5",,405,,NA,,"13,7",,NA,,1250,,NA,,NA,,54,
EM08231itkt,2870795,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2012,"21,6",,95,,82,,NA,,21,,NA,,40,,NA,,142,,NA,,41,,"0,44",,104,,"37,5",,111,,NA,,"10,9",,NA,,1400,,NA,,NA,,"15,5",
RE10039itkt,2870771,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,treated,2012,"18,9",,72,,91,,NA,,55,,NA,,72,,NA,,218,,NA,,86,,"1,19",,224,,38,,246,,NA,,"12,1",,NA,,1543,,NA,,NA,,"30,5",
RE11035itkt,2870774,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,49509,https://doi.org/10.15454/GGHC1S,RE11035,VIRTUAL_TRIAL,,,,,,,,treated,2012,14,,40,,NA,,100,,NA,,"31,4",,NA,,"85,5",,NA,,"216,9",,163,,"4,12",,243,,92,,423,,"43,18",,11,,"83,8",,NA,,1280,,"2,71",,NA,
RE11059itkt,2870772,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,48495,https://doi.org/10.15454/TIEAR7,RE11059,VIRTUAL_TRIAL,,,,,,,,treated,2012,"15,5",,49,,NA,,100,,NA,,"70,3",,NA,,"85,5",,NA,,"255,8",,150,,"3,09",,259,,97,,371,,"43,18",,"11,2",,"84,6",,NA,,1410,,"2,9",,NA,
RE11091itkt,2870770,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,49027,https://doi.org/10.15454/HZ1HSQ,RE11091,VIRTUAL_TRIAL,,,,,,,,treated,2012,"21,1",,90,,NA,,100,,NA,,"12,85",,NA,,"79,25",,NA,,"192,1",,64,,"0,7",,213,,23,,321,,"42,23",,"10,8",,"80,5",,NA,,1320,,"1,85",,NA,
RE11094itkt,2870769,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,48366,https://doi.org/10.15454/ZSJORF,RE11094,VIRTUAL_TRIAL,,,,,,,,treated,2012,"21,1",,90,,NA,,91,,NA,,"23,15",,NA,,"74,63",,NA,,"188,78",,66,,"0,73",,217,,18,,286,,"44,33",,"10,7",,"78,8",,NA,,1280,,"1,79",,NA,
RE11095itkt,2870768,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,49685,https://doi.org/10.15454/NZBGQD,RE11095,VIRTUAL_TRIAL,,,,,,,,treated,2012,"20,1",,82,,NA,,100,,NA,,"9,25",,NA,,"85,88",,NA,,"195,13",,66,,"0,8",,204,,17,,318,,"47,26",,"11,1",,"80,2",,NA,,1100,,"1,74",,NA,
RE11096itkt,2870767,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,48664,https://doi.org/10.15454/ITWRUM,RE11096,VIRTUAL_TRIAL,,,,,,,,treated,2012,"18,2",,67,,NA,,100,,NA,,"27,5",,NA,,"85,5",,NA,,213,,109,,"1,62",,280,,71,,342,,"37,99",,"11,7",,"79,7",,NA,,1200,,"2,5",,NA,
RE11098itkt,2870766,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,49149,https://doi.org/10.15454/AXKGHH,RE11098,VIRTUAL_TRIAL,,,,,,,,treated,2012,"19,8",,79,,NA,,100,,NA,,"30,8",,NA,,"85,13",,NA,,"215,93",,105,,"1,33",,313,,67,,307,,"42,74",,"11,8",,"83,2",,NA,,1260,,"2,37",,NA,
Premioitkt,2870756,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2012,"16,7",,57,,88,,NA,,28,,NA,,75,,NA,,191,,NA,,93,,"1,66",,215,,88,,406,,NA,,"12,2",,NA,,1375,,NA,,NA,,35,
Apacheitkt,2870781,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2012,"22,5",,103,,94,,NA,,71,,NA,,93,,NA,,258,,NA,,87,,"0,85",,291,,74,,348,,NA,,14,,NA,,1830,,NA,,NA,,42,
Lyrikitkt,2870809,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2012,"17,7",,64,,94,,NA,,26,,NA,,80,,NA,,200,,NA,,103,,"1,63",,261,,75,,325,,NA,,12,,NA,,1388,,NA,,NA,,42,
Grapeliitkt,2870773,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2012,"14,3",,41,,82,,NA,,19,,NA,,69,,NA,,170,,NA,,76,,"1,85",,125,,"40,5",,358,,NA,,"11,6",,NA,,1368,,NA,,NA,,21,
CF08027itkt,2870808,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2012,"19,9",,80,,91,,NA,,55,,NA,,85,,NA,,231,,NA,,78,,"0,98",,205,,77,,342,,NA,,"11,9",,NA,,1530,,NA,,NA,,31,
Granamaxitkt,2870783,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2012,"13,5",,37,,94,,NA,,67,,NA,,79,,NA,,240,,NA,,114,,"3,08",,176,,"74,5",,313,,NA,,"10,8",,NA,,1365,,NA,,NA,,"29,5",
AO11011itkt,2870759,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,treated,2012,"12,4",,31,,97,,NA,,64,,NA,,79,,NA,,240,,NA,,159,,"5,13",,206,,80,,293,,NA,,"11,6",,NA,,1510,,NA,,NA,,"34,5",
Gotikitkt,2870792,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,treated,2012,"19,7",,79,,82,,NA,,54,,NA,,84,,NA,,220,,NA,,77,,"0,99",,195,,76,,378,,NA,,"11,6",,NA,,1470,,NA,,NA,,33,
AO12011itkt,2870799,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,48909,https://doi.org/10.15454/JCAVKU,AO12011,VIRTUAL_TRIAL,,,,,,,,treated,2012,"19,1",,74,,100,,NA,,73,,NA,,91,,NA,,264,,NA,,92,,"1,24",,245,,"79,5",,271,,NA,,"11,6",,NA,,1583,,NA,,NA,,"35,5",
AO12013itkt,2870797,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,48425,https://doi.org/10.15454/9SFFFA,AO12013,VIRTUAL_TRIAL,,,,,,,,treated,2012,"16,2",,53,,82,,NA,,23,,NA,,68,,NA,,173,,NA,,100,,"1,89",,218,,83,,348,,NA,,"10,6",,NA,,1100,,NA,,NA,,"34,5",
CF11029itkt,2870780,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,treated,2012,22,,98,,NA,,100,,NA,,38,,NA,,"95,5",,NA,,"233,5",,73,,"0,74",,210,,67,,378,,"46,64",,"10,8",,"80,9",,NA,,1500,,"2,5",,NA,
CF11051itkt,2870760,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,treated,2012,"14,1",,41,,NA,,100,,NA,,13,,NA,,"88,13",,NA,,"201,13",,148,,"3,64",,238,,85,,379,,"43,94",,"10,1",,"84,7",,NA,,1300,,"2,88",,NA,
CF11177itkt,2870806,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,treated,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF11215itkt,2870753,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,49188,https://doi.org/10.15454/5IXUYK,CF11215,VIRTUAL_TRIAL,,,,,,,,treated,2012,17,,58,,NA,,97,,NA,,"33,2",,NA,,"78,5",,NA,,"208,7",,101,,"1,72",,243,,62,,250,,"39,68",,"10,5",,"82,3",,NA,,1290,,"2,09",,NA,
CF11291itkt,2870798,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,48959,https://doi.org/10.15454/VMWB4Q,CF11291,VIRTUAL_TRIAL,,,,,,,,treated,2012,"16,8",,58,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,120,,"2,08",,270,,84,,NA,,"37,65",,11,,"80,8",,NA,,NA,,"2,34",,NA,
DI11012itkt,2870804,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,treated,2012,"16,5",,55,,85,,NA,,9,,NA,,49,,NA,,143,,NA,,125,,"2,27",,188,,"69,5",,394,,NA,,"10,9",,NA,,985,,NA,,NA,,29,
DI11013itkt,2870803,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,treated,2012,"11,6",,27,,85,,NA,,21,,NA,,73,,NA,,179,,NA,,114,,"4,22",,136,,75,,390,,NA,,"10,9",,NA,,1228,,NA,,NA,,"30,5",
DI12005itkt,2870810,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,treated,2012,"21,1",,90,,NA,,91,,NA,,"45,38",,NA,,"95,5",,NA,,"231,88",,58,,"0,65",,175,,28,,339,,"48,08",,"10,4",,"81,4",,NA,,1450,,"2,13",,NA,
EM11389itkt,2870754,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,48373,https://doi.org/10.15454/QK5GLN,EM11389,VIRTUAL_TRIAL,,,,,,,,treated,2012,"25,4",,131,,NA,,100,,NA,,"52,88",,NA,,"84,38",,NA,,"237,26",,43,,"0,33",,142,,25,,311,,"44,4",,"11,1",,"81,4",,NA,,1550,,"2,08",,NA,
