observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2819783,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"34,88",,"9,42",,"68,6",,"58,46",
1,2819786,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"43,22",,"12,14",,75,,"108,98",
2,2819785,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,,,,,"63,8",,"45,7",
1,2819782,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"36,1",,"9,26",,"71,4",,"47,91",
2,2819787,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"46,87",,"11,28",,"75,2",,"97,92",
2,2819727,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"49,26",,"11,68",,"69,2",,"96,6",
2,2819723,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"41,55",,"9,9",,"68,2",,"73,74",
1,2819722,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"41,95",,"9,71",,"65,2",,"74,59",
1,2819726,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"46,87",,"11,27",,"66,3",,"97,48",
2,2819725,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,,,,,"59,2",,"62,46",
1,2819724,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,REPLICATION,1,,,,,,REPLICATION:1,non traité au fongicides,2007,,,,,"66,1",,"68,34",
2,2819751,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"44,7",,"11,29",,"72,6",,"107,12",
1,2819748,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,REPLICATION,1,,,,,,REPLICATION:1,non traité au fongicides,2007,,,,,"68,8",,"96,82",
1,2819746,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"40,76",,"10,09",,"71,7",,"84,39",
1,2819750,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"42,49",,"12,15",,"70,2",,"98,84",
2,2819749,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,,,,,"69,1",,"76,38",
2,2819747,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"41,03",,"9,58",,"70,3",,"84,18",
2,2819755,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26399,https://doi.org/10.15454/XCMLGZ,RE03111,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,,,,,"58,5",,"67,23",
1,2819756,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26399,https://doi.org/10.15454/XCMLGZ,RE03111,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"55,14",,"11,92",,"67,4",,"99,13",
1,2819754,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26399,https://doi.org/10.15454/XCMLGZ,RE03111,REPLICATION,1,,,,,,REPLICATION:1,non traité au fongicides,2007,,,,,"58,2",,"55,46",
2,2819753,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26399,https://doi.org/10.15454/XCMLGZ,RE03111,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,40,,"10,47",,"61,5",,"69,55",
2,2819757,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26399,https://doi.org/10.15454/XCMLGZ,RE03111,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"52,53",,"11,61",,"65,7",,"96,53",
1,2819752,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26399,https://doi.org/10.15454/XCMLGZ,RE03111,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"43,1",,"10,32",,"63,9",,"68,9",
2,2819777,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"38,8",,"9,62",,"70,4",,"70,59",
2,2819781,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"47,09",,"11,56",,"74,5",,"101,39",
1,2819778,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,1,,,,,,REPLICATION:1,non traité au fongicides,2007,,,,,"63,5",,"77,32",
2,2819779,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,,,,,69,,"72,48",
1,2819776,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"43,22",,"9,5",,"73,9",,"66,86",
1,2819780,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"45,73",,"10,78",,"75,1",,"103,09",
2,2819673,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"58,13",,"11,52",,"68,4",,"108,23",
1,2819670,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,non traité au fongicides,2007,,,,,"57,2",,"65,62",
2,2819669,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"47,02",,"10,47",,"63,2",,"75,23",
1,2819668,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"49,75",,"9,91",,"62,9",,"77,41",
1,2819672,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"59,28",,"11,46",,69,,"103,86",
2,2819671,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,,,,,"57,9",,"77,35",
1,2819676,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27036,https://doi.org/10.15454/PULIUX,DI04017,REPLICATION,1,,,,,,REPLICATION:1,non traité au fongicides,2007,,,,,"62,2",,"82,56",
2,2819679,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27036,https://doi.org/10.15454/PULIUX,DI04017,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"54,05",,"13,33",,"67,9",,"98,7",
1,2819678,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27036,https://doi.org/10.15454/PULIUX,DI04017,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"55,45",,"12,05",,"69,5",,"99,76",
