observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Orvantisitkfi,2806977,BTH_Le_Moulon_2005_SetB1,BTH_Le_Moulon_2005_SetB1,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,55,,142,,"8,95",,"68,1",,"102,4",,"80,8",,1,
DI05004itkfi,2806995,BTH_Le_Moulon_2005_SetB1,BTH_Le_Moulon_2005_SetB1,49451,https://doi.org/10.15454/HTYOGZ,DI05004,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,59,,146,,"9,3",,"65,2",,"102,2",,"80,6",,"1,5",
DI05002itkfi,2806999,BTH_Le_Moulon_2005_SetB1,BTH_Le_Moulon_2005_SetB1,48966,gnpis_pui:holding-921_taxon-4898_accession-48966,DI05002,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"82,5",,"52,9",,"141,5",,"9,24",,"71,1",,101,,"79,7",,1,
DI05002itkt,2807000,BTH_Le_Moulon_2005_SetB1,BTH_Le_Moulon_2005_SetB1,48966,gnpis_pui:holding-921_taxon-4898_accession-48966,DI05002,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"50,8",,"139,5",,"9,84",,"72,1",,"93,6",,"94,4",,2,
CF04215itkt,2806982,BTH_Le_Moulon_2005_SetB1,BTH_Le_Moulon_2005_SetB1,49236,gnpis_pui:holding-921_taxon-4898_accession-49236,CF04215,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"47,2",,147,,"10,6",,"68,8",,"89,7",,"90,5",,"2,5",
CF04215itkfi,2806981,BTH_Le_Moulon_2005_SetB1,BTH_Le_Moulon_2005_SetB1,49236,gnpis_pui:holding-921_taxon-4898_accession-49236,CF04215,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,"47,8",,147,,"9,04",,"66,4",,"91,5",,"72,1",,2,
LM04010itkt,2806942,BTH_Le_Moulon_2005_SetB1,BTH_Le_Moulon_2005_SetB1,48743,gnpis_pui:holding-921_taxon-4898_accession-48743,LM04010,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,"46,9",,"142,5",,"8,82",,72,,"103,7",,"104,6",,1,
LM04010itkfi,2806941,BTH_Le_Moulon_2005_SetB1,BTH_Le_Moulon_2005_SetB1,48743,gnpis_pui:holding-921_taxon-4898_accession-48743,LM04010,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,80,,"55,2",,"143,5",,"8,16",,"63,2",,"104,6",,"82,5",,1,
RE04004itkt,2806930,BTH_Le_Moulon_2005_SetB1,BTH_Le_Moulon_2005_SetB1,49332,gnpis_pui:holding-921_taxon-4898_accession-49332,RE04004,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"56,7",,145,,"10,18",,66,,"104,2",,"105,1",,1,
RE04004itkfi,2806929,BTH_Le_Moulon_2005_SetB1,BTH_Le_Moulon_2005_SetB1,49332,gnpis_pui:holding-921_taxon-4898_accession-49332,RE04004,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"82,5",,"58,6",,"146,5",,"9,49",,"62,8",,"102,7",,"80,9",,1,
RE03012itkt,2806940,BTH_Le_Moulon_2005_SetB1,BTH_Le_Moulon_2005_SetB1,49336,gnpis_pui:holding-921_taxon-4898_accession-49336,RE03012,VIRTUAL_TRIAL,,,,,,,,treated,2005,90,,"51,3",,146,,"10,72",,"68,2",,"96,6",,"97,4",,"1,5",
RE03012itkfi,2806939,BTH_Le_Moulon_2005_SetB1,BTH_Le_Moulon_2005_SetB1,49336,gnpis_pui:holding-921_taxon-4898_accession-49336,RE03012,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,"57,2",,"146,5",,"10,14",,"69,9",,"102,4",,"80,7",,"2,5",
DI05007itkfi,2806989,BTH_Le_Moulon_2005_SetB1,BTH_Le_Moulon_2005_SetB1,49452,gnpis_pui:holding-921_taxon-4898_accession-49452,DI05007,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"82,5",,"57,8",,"146,5",,"9,32",,"65,6",,"103,2",,"81,3",,1,
DI05007itkt,2806990,BTH_Le_Moulon_2005_SetB1,BTH_Le_Moulon_2005_SetB1,49452,gnpis_pui:holding-921_taxon-4898_accession-49452,DI05007,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"50,9",,147,,"10,04",,"70,4",,"91,3",,"92,1",,1,
LM04017itkfi,2806943,BTH_Le_Moulon_2005_SetB1,BTH_Le_Moulon_2005_SetB1,48520,gnpis_pui:holding-921_taxon-4898_accession-48520,LM04017,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,54,,"142,5",,"9,18",,"65,6",,"104,6",,"82,5",,"3,5",
LM04017itkt,2806944,BTH_Le_Moulon_2005_SetB1,BTH_Le_Moulon_2005_SetB1,48520,gnpis_pui:holding-921_taxon-4898_accession-48520,LM04017,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"54,2",,142,,"10,27",,"65,9",,"100,1",,101,,6,
DI05009itkfi,2806985,BTH_Le_Moulon_2005_SetB1,BTH_Le_Moulon_2005_SetB1,48521,gnpis_pui:holding-921_taxon-4898_accession-48521,DI05009,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"82,5",,"46,1",,144,,"9,86",,"69,2",,"101,3",,"79,9",,1,
DI05009itkt,2806986,BTH_Le_Moulon_2005_SetB1,BTH_Le_Moulon_2005_SetB1,48521,gnpis_pui:holding-921_taxon-4898_accession-48521,DI05009,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"42,5",,145,,"10,2",,"72,8",,"93,1",,"93,9",,1,
RE04008itkt,2806934,BTH_Le_Moulon_2005_SetB1,BTH_Le_Moulon_2005_SetB1,48687,gnpis_pui:holding-921_taxon-4898_accession-48687,RE04008,VIRTUAL_TRIAL,,,,,,,,treated,2005,90,,"57,9",,143,,"10,51",,67,,"100,8",,"101,6",,"2,5",
RE04008itkfi,2806933,BTH_Le_Moulon_2005_SetB1,BTH_Le_Moulon_2005_SetB1,48687,gnpis_pui:holding-921_taxon-4898_accession-48687,RE04008,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,95,,"59,6",,143,,"9,28",,"64,8",,"109,2",,"86,1",,"2,5",
LM04003itkfi,2806979,BTH_Le_Moulon_2005_SetB1,BTH_Le_Moulon_2005_SetB1,48824,gnpis_pui:holding-921_taxon-4898_accession-48824,LM04003,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,80,,"54,2",,141,,"10,38",,"70,9",,"104,9",,"82,7",,"1,5",
LM04003itkt,2806980,BTH_Le_Moulon_2005_SetB1,BTH_Le_Moulon_2005_SetB1,48824,gnpis_pui:holding-921_taxon-4898_accession-48824,LM04003,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"54,3",,"140,5",,"10,58",,"70,6",,"98,1",,"98,9",,"1,5",
