observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,ht(CO_321:1000218),ht(CO_321:1000218).date,itk,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Lyrikitk15,2972750,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,NA,,,,,,,,,
Lyrikitkt,2972753,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2015,102,,traite,,,138,,10.4,,82.1,,114,,,,132,,,,,,1,
Lyrikitknt,2972752,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2015,109,,non traite fongicides,1,,139,,,,79.8,,112.8,,1,,102.9,,5,,3,,1,
Lyrikitkfi,2972751,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2015,98,,faible intrant,1,,135,,9.9,,79.5,,120.2,,1,,101.2,,4.5,,2,,1,
Granamaxitk15,2972662,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,1,,,,,,,,,
Granamaxitkt,2972665,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,2015,99,,traite,,,134,,11.1,,82.2,,104,,,,120.4,,,,,,1,
Granamaxitkfi,2972663,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,2015,100,,faible intrant,1,,135,,10.6,,78.9,,117.8,,2.5,,99.2,,1,,3.5,,1,
Granamaxitknt,2972664,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,2015,101,,non traite fongicides,1,,135,,,,80.2,,119.9,,1,,109.3,,2,,3.5,,1,
RUBISKOitk15,2972726,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,3,,,,,,,,,
RUBISKOitkt,2972729,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,2015,88,,traite,,,132,,10.9,,81.1,,100.9,,,,116.8,,,,,,1,
RUBISKOitknt,2972728,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,2015,90,,non traite fongicides,1,,132,,,,79.3,,102.5,,1,,93.5,,1,,5.5,,1,
RUBISKOitkfi,2972727,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,2015,90,,faible intrant,1,,132,,11.3,,79,,101.8,,1,,85.7,,1,,6,,1,
AO14035itk15,2972642,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,60801,https://doi.org/10.15454/XJIDYV,AO14035,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,3,,,,,,,,,
AO14035itkt,2972645,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,60801,https://doi.org/10.15454/XJIDYV,AO14035,VIRTUAL_TRIAL,,,,,,,,2015,112,,traite,,,135,,10,,81.7,,104.6,,,,121.2,,,,,,1,
AO14035itknt,2972644,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,60801,https://doi.org/10.15454/XJIDYV,AO14035,VIRTUAL_TRIAL,,,,,,,,2015,112,,non traite fongicides,2,,135,,,,79.2,,107.8,,2.5,,98.3,,2.5,,3,,4.5,
AO14035itkfi,2972643,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,60801,https://doi.org/10.15454/XJIDYV,AO14035,VIRTUAL_TRIAL,,,,,,,,2015,110,,faible intrant,1,,135,,10.2,,81.1,,126.3,,2.5,,106.3,,1,,3,,1,
AO14022itk15,2972602,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61039,https://doi.org/10.15454/T1DLTW,AO14022,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,3,,,,,,,,,
AO14022itknt,2972604,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61039,https://doi.org/10.15454/T1DLTW,AO14022,VIRTUAL_TRIAL,,,,,,,,2015,102,,non traite fongicides,1,,142,,,,82,,125.3,,1,,114.2,,2,,3,,1,
AO14022itkt,2972605,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61039,https://doi.org/10.15454/T1DLTW,AO14022,VIRTUAL_TRIAL,,,,,,,,2015,105,,traite,,,142,,11,,82.1,,95.4,,,,110.4,,,,,,4.5,
AO14022itkfi,2972603,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,61039,https://doi.org/10.15454/T1DLTW,AO14022,VIRTUAL_TRIAL,,,,,,,,2015,102,,faible intrant,1,,141,,10.6,,81.3,,130,,2,,109.4,,1,,3,,1,
AREZZOitk15,2972758,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,2015,,,,,,,,,,,,,,6,,,,,,,,,
AREZZOitkt,2972761,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,2015,94,,traite,,,132,,11.5,,85.2,,93,,,,107.7,,,,,,1,
AREZZOitknt,2972760,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,2015,90,,non traite fongicides,1,,131,,,,83.2,,95.9,,4,,87.5,,1,,6,,1,
AREZZOitkfi,2972759,BTH_Rennes_2015_SetA2,BTH_Rennes_2015_SetA2,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,2015,91,,faible intrant,1,,131,,11,,82,,98.7,,5.5,,83,,1,,6,,1,
