observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
RE13014itkt,2971803,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,48609,https://doi.org/10.15454/QLBPQK,RE13014,VIRTUAL_TRIAL,,,,,,,,traite,2015,111,,138,,10.1,,100.9,,,,124,,,,,
CF13057itknt,2971784,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61065,https://doi.org/10.15454/IEJHD9,CF13057,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,95,,138,,,,107,,2.8,,108.1,,2,,3.2,
CF13057itkfi,2971783,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61065,https://doi.org/10.15454/IEJHD9,CF13057,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,137,,9.7,,110,,1.8,,105.8,,2,,3,
CF13131itkt,2971767,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61136,https://doi.org/10.15454/JQLJOT,CF13131,VIRTUAL_TRIAL,,,,,,,,traite,2015,96,,134,,10.4,,105.6,,,,129.9,,,,,
CF13131itknt,2971766,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61136,https://doi.org/10.15454/JQLJOT,CF13131,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,98,,134,,,,110.1,,3,,111.3,,2,,3.5,
CF13131itkfi,2971765,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61136,https://doi.org/10.15454/JQLJOT,CF13131,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,90,,134,,9.1,,103,,2,,99.2,,1,,3.5,
CF13085itkt,2971770,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61107,https://doi.org/10.15454/18C6AU,CF13085,VIRTUAL_TRIAL,,,,,,,,traite,2015,102,,134,,10.9,,106.8,,,,131.3,,,,,
CF13085itkfi,2971768,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61107,https://doi.org/10.15454/18C6AU,CF13085,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,100,,133,,10.2,,104.6,,1.8,,100.7,,1,,3.5,
CF13085itknt,2971769,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61107,https://doi.org/10.15454/18C6AU,CF13085,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,103,,134,,,,108.3,,2.2,,109.5,,1.5,,3.5,
CF13187itkt,2971842,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61181,https://doi.org/10.15454/RVUPRG,CF13187,VIRTUAL_TRIAL,,,,,,,,traite,2015,104,,138,,10.4,,100.2,,,,123.2,,,,,
CF13187itknt,2971841,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61181,https://doi.org/10.15454/RVUPRG,CF13187,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,104,,138,,,,109,,2.2,,110.2,,1.5,,3,
CF13187itkfi,2971840,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61181,https://doi.org/10.15454/RVUPRG,CF13187,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,97,,138,,9.9,,107.7,,2.2,,103.7,,2,,3.2,
EM13073itknt,2971829,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61398,https://doi.org/10.15454/HEUAIP,EM13073,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,94,,141,,,,101.3,,6.5,,102.4,,1.8,,2.5,
EM13073itkfi,2971828,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61398,https://doi.org/10.15454/HEUAIP,EM13073,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,89,,141,,9.6,,100.6,,4.5,,96.9,,1.8,,3,
EM13073itkt,2971830,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61398,https://doi.org/10.15454/HEUAIP,EM13073,VIRTUAL_TRIAL,,,,,,,,traite,2015,95,,141,,10.6,,97.9,,,,120.3,,,,,
EM13249itkt,2971845,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61447,https://doi.org/10.15454/NTKRK8,EM13249,VIRTUAL_TRIAL,,,,,,,,traite,2015,90,,142,,10.9,,102.7,,,,126.2,,,,,
EM13249itkfi,2971843,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61447,https://doi.org/10.15454/NTKRK8,EM13249,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,86,,140,,9.9,,108.8,,1,,104.7,,1,,3.8,
EM13249itknt,2971844,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61447,https://doi.org/10.15454/NTKRK8,EM13249,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,89,,142,,,,103.8,,1,,104.9,,2,,2.5,
EM13243itkt,2971779,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61431,https://doi.org/10.15454/QSZ1IX,EM13243,VIRTUAL_TRIAL,,,,,,,,traite,2015,93,,142,,11.1,,105.6,,,,129.7,,,,,
EM13243itknt,2971778,BTH_Le_Moulon_2015_SetA2,BTH_Le_Moulon_2015_SetA2,61431,https://doi.org/10.15454/QSZ1IX,EM13243,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,92,,139,,,,103.6,,4,,104.7,,2,,2.8,
