observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Koreliitkfi,2849652,BTH_Lusignan_2010_SetB1,BTH_Lusignan_2010_SetB1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,97,,145,,"81,8",,"105,1",,"61,9",
Bermudeitkfi,2849645,BTH_Lusignan_2010_SetB1,BTH_Lusignan_2010_SetB1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,144,,"78,6",,"99,7",,"58,7",
DI10002itkfi,2849664,BTH_Lusignan_2010_SetB1,BTH_Lusignan_2010_SetB1,48382,gnpis_pui:holding-921_taxon-4898_accession-48382,DI10002,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,94,,145,,"73,8",,"102,1",,"60,2",
CF09117itkfi,2849650,BTH_Lusignan_2010_SetB1,BTH_Lusignan_2010_SetB1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,97,,143,,"77,7",,"103,3",,"60,9",
DI10001itkfi,2849662,BTH_Lusignan_2010_SetB1,BTH_Lusignan_2010_SetB1,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,96,,144,,"77,6",,"101,4",,"59,8",
RE09002itkfi,2849657,BTH_Lusignan_2010_SetB1,BTH_Lusignan_2010_SetB1,49618,https://doi.org/10.15454/L6UK54,RE09002,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,96,,144,,"77,5",,"104,8",,"61,8",
AO10015itkfi,2849637,BTH_Lusignan_2010_SetB1,BTH_Lusignan_2010_SetB1,48383,https://doi.org/10.15454/IDYNPA,AO10015,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,102,,142,,"79,9",,"107,5",,"63,3",
AO10013itkfi,2849647,BTH_Lusignan_2010_SetB1,BTH_Lusignan_2010_SetB1,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,91,,142,,"74,4",,"91,2",,"53,8",
Apacheitkfi,2849654,BTH_Lusignan_2010_SetB1,BTH_Lusignan_2010_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,142,,"76,2",,"100,3",,"59,1",
RE09010itkfi,2849644,BTH_Lusignan_2010_SetB1,BTH_Lusignan_2010_SetB1,48540,https://doi.org/10.15454/82RKSJ,RE09010,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,100,,146,,"72,4",,"104,2",,"61,4",
AO10010itkfi,2849676,BTH_Lusignan_2010_SetB1,BTH_Lusignan_2010_SetB1,49024,gnpis_pui:holding-921_taxon-4898_accession-49024,AO10010,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,97,,145,,"76,7",,"97,6",,"57,6",
CF09093itkfi,2849653,BTH_Lusignan_2010_SetB1,BTH_Lusignan_2010_SetB1,49525,gnpis_pui:holding-921_taxon-4898_accession-49525,CF09093,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,140,,"77,2",,"96,5",,"56,8",
Premioitkfi,2849641,BTH_Lusignan_2010_SetB1,BTH_Lusignan_2010_SetB1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,142,,"77,2",,"96,1",,"56,6",
CF09030itkfi,2849649,BTH_Lusignan_2010_SetB1,BTH_Lusignan_2010_SetB1,48471,gnpis_pui:holding-921_taxon-4898_accession-48471,CF09030,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,140,,"74,8",,"105,7",,"62,3",
AO10014itkfi,2849638,BTH_Lusignan_2010_SetB1,BTH_Lusignan_2010_SetB1,49697,gnpis_pui:holding-921_taxon-4898_accession-49697,AO10014,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,97,,143,,"76,6",,"89,6",,"52,8",
RE09009itkfi,2849659,BTH_Lusignan_2010_SetB1,BTH_Lusignan_2010_SetB1,49096,https://doi.org/10.15454/PSFHWC,RE09009,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,98,,145,,"73,2",,"101,1",,"59,6",
CF09027itkfi,2849669,BTH_Lusignan_2010_SetB1,BTH_Lusignan_2010_SetB1,48507,https://doi.org/10.15454/YFD4LO,CF09027,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,143,,"79,2",,"102,9",,"60,6",
