observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI08019-2itkfi,2853584,BTH_Clermont-Ferrand_2011_SetA1,BTH_Clermont-Ferrand_2011_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,132,,"9,1",,"76,2",,"110,2",,,,"95,5",,1,
DI08019-2itkt,2853585,BTH_Clermont-Ferrand_2011_SetA1,BTH_Clermont-Ferrand_2011_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2011,131,,"9,5",,"76,8",,"104,1",,1,,"104,3",,1,
Grapeliitkt,2853595,BTH_Clermont-Ferrand_2011_SetA1,BTH_Clermont-Ferrand_2011_SetA1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2011,133,,"10,53",,"70,1",,"107,4",,1,,"107,6",,1,
AO10003itkt,2853621,BTH_Clermont-Ferrand_2011_SetA1,BTH_Clermont-Ferrand_2011_SetA1,48956,https://doi.org/10.15454/IJIMQX,AO10003,VIRTUAL_TRIAL,,,,,,,,treated,2011,136,,"9,4",,"73,7",,"100,8",,3,,"101,1",,1,
Fr759/08itkfi,2853626,BTH_Clermont-Ferrand_2011_SetA1,BTH_Clermont-Ferrand_2011_SetA1,48456,gnpis_pui:holding-921_taxon-4898_accession-48456,Fr759/08,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,139,,"8,3",,"74,4",,"107,1",,,,"92,8",,1,
HadmF11383itkfi,2853592,BTH_Clermont-Ferrand_2011_SetA1,BTH_Clermont-Ferrand_2011_SetA1,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,130,,"9,67",,"73,7",,"106,1",,,,92,,1,
Strub061859-1itkt,2853631,BTH_Clermont-Ferrand_2011_SetA1,BTH_Clermont-Ferrand_2011_SetA1,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,treated,2011,134,,"9,52",,"76,5",,"107,1",,2,,"107,4",,1,
CF08027itkt,2853657,BTH_Clermont-Ferrand_2011_SetA1,BTH_Clermont-Ferrand_2011_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2011,134,,"9,68",,"75,8",,"101,8",,1,,"102,1",,1,
CF08027itkfi,2853656,BTH_Clermont-Ferrand_2011_SetA1,BTH_Clermont-Ferrand_2011_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,135,,"9,61",,"75,7",,"113,6",,,,"98,4",,1,
JDBH22itkfi,2853628,BTH_Clermont-Ferrand_2011_SetA1,BTH_Clermont-Ferrand_2011_SetA1,48908,https://doi.org/10.15454/JJNR8O,JDBH22,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,128,,"10,37",,"77,7",,"94,2",,,,"81,6",,1,
HadmF11383itkt,2853593,BTH_Clermont-Ferrand_2011_SetA1,BTH_Clermont-Ferrand_2011_SetA1,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,treated,2011,130,,"10,12",,"73,8",,"96,5",,2,,"96,8",,1,
DI09018itkt,2853649,BTH_Clermont-Ferrand_2011_SetA1,BTH_Clermont-Ferrand_2011_SetA1,27813,https://doi.org/10.15454/G5QB1J,DI09018,VIRTUAL_TRIAL,,,,,,,,treated,2011,134,,"9,29",,"75,4",,"105,5",,2,,"105,7",,1,
DI09018itkfi,2853648,BTH_Clermont-Ferrand_2011_SetA1,BTH_Clermont-Ferrand_2011_SetA1,27813,https://doi.org/10.15454/G5QB1J,DI09018,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,136,,"9,25",,"75,5",,"112,3",,,,"97,3",,1,
Hadm01221-04itkfi,2853646,BTH_Clermont-Ferrand_2011_SetA1,BTH_Clermont-Ferrand_2011_SetA1,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,134,,"9,09",,"67,2",,"107,9",,,,"93,5",,1,
Soissonsitkfi,2853650,BTH_Clermont-Ferrand_2011_SetA1,BTH_Clermont-Ferrand_2011_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,128,,"10,26",,"76,4",,"87,8",,,,"76,1",,1,
CF07143itkt,2853639,BTH_Clermont-Ferrand_2011_SetA1,BTH_Clermont-Ferrand_2011_SetA1,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,treated,2011,134,,"10,2",,"76,2",,"106,6",,2,,"106,8",,1,
Hadm01221-04itkt,2853647,BTH_Clermont-Ferrand_2011_SetA1,BTH_Clermont-Ferrand_2011_SetA1,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,treated,2011,135,,"10,02",,"66,9",,"97,7",,4,,"97,9",,1,
