observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2819982,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"13,19",,"64,7",,"2,2",,"47,81",
2,2820001,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"11,61",,"72,2",,,,80,
2,2819999,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,53",,"73,2",,"2,5",,"64,97",
1,2819998,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,64",,"67,9",,2,,"59,22",
1,2820000,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"11,62",,"76,2",,,,"72,51",
1,2820002,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26399,https://doi.org/10.15454/XCMLGZ,RE03111,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"14,46",,"62,8",,"5,5",,"43,37",
2,2820003,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26399,https://doi.org/10.15454/XCMLGZ,RE03111,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"13,6",,"62,2",,"7,5",,"39,52",
2,2820005,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26399,https://doi.org/10.15454/XCMLGZ,RE03111,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"12,07",,72,,,,"75,71",
1,2820004,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26399,https://doi.org/10.15454/XCMLGZ,RE03111,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"12,73",,"71,8",,,,"73,78",
1,2820018,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,03",,"69,5",,6,,"45,09",
