observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI08019-2itkfi,2853146,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,
DI08019-2itkt,2853147,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
EM09015itkt,2853205,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,49594,https://doi.org/10.15454/UY7D21,EM09015,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
EM09015itkfi,2853204,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,49594,https://doi.org/10.15454/UY7D21,EM09015,VIRTUAL_TRIAL,,,,,,,,2010,"16,8",,57,,,,100,,,,"51,4",,,,"82,9",,,,"234,3",,100,,"1,75",,179,,80,,433,,"11,4",,"84,6",,,,,
HadmF11383itkfi,2853156,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,
HadmF11383itkt,2853157,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
DI10006itkt,2853187,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,48901,https://doi.org/10.15454/QECZYG,DI10006,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
DI10006itkfi,2853186,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,48901,https://doi.org/10.15454/QECZYG,DI10006,VIRTUAL_TRIAL,,,,,,,,2010,"22,1",,99,,,,100,,,,"54,4",,,,"85,9",,,,"240,3",,53,,"0,54",,128,,97,,367,,"10,5",,"84,3",,,,,
DI10007itkt,2853253,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,48917,https://doi.org/10.15454/SFOD7H,DI10007,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
DI10007itkfi,2853252,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,48917,https://doi.org/10.15454/SFOD7H,DI10007,VIRTUAL_TRIAL,,,,,,,,2010,12,,29,,,,100,,,,"70,6",,,,"82,5",,,,"253,1",,132,,"4,55",,167,,81,,360,,"11,2",,"85,5",,,,,
DI10015itkt,2853145,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,48814,https://doi.org/10.15454/QM62JM,DI10015,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
DI10015itkfi,2853144,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,48814,https://doi.org/10.15454/QM62JM,DI10015,VIRTUAL_TRIAL,,,,,,,,2010,"24,6",,122,,,,100,,,,"54,3",,,,77,,,,"231,3",,39,,"0,32",,110,,22,,370,,"10,6",,"81,6",,,,,
RE09055itkfi,2853198,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,2010,"24,3",,119,,,,100,,,,"60,3",,,,"79,2",,,,"239,6",,55,,"0,46",,176,,28,,360,,11,,"80,8",,,,,
RE09055itkt,2853199,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
Hadm01221-04itkfi,2853180,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,
Hadm01221-04itkt,2853181,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,
HadmF276itkt,2853129,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,2010,"16,8",,57,,88,,,,35,,,,99,,,,222,,,,110,,"1,93",,231,,85,,408,,"12,3",,,,1445,,47,
HadmF276itkfi,2853128,BTH_Rennes_2010_TECH,BTH_Rennes_2010_TECH,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,
