observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2826157,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49022,gnpis_pui:holding-921_taxon-4898_accession-49022,CF06250,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"6,5",,"46,9",
1,2826156,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49022,gnpis_pui:holding-921_taxon-4898_accession-49022,CF06250,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"4,2",,"49,05",
2,2826147,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49314,gnpis_pui:holding-921_taxon-4898_accession-49314,RE06109,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"5,5",,"47,89",
2,2826169,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27785,https://doi.org/10.15454/BZGBHW,CF06210,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,5,,"55,05",
1,2826168,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27785,https://doi.org/10.15454/BZGBHW,CF06210,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"3,8",,"58,6",
1,2826146,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49314,gnpis_pui:holding-921_taxon-4898_accession-49314,RE06109,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"3,8",,"47,88",
1,2826164,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48834,gnpis_pui:holding-921_taxon-4898_accession-48834,CF06294,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,8,,"40,56",
2,2826165,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48834,gnpis_pui:holding-921_taxon-4898_accession-48834,CF06294,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,9,,"39,99",
1,2826136,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27764,https://doi.org/10.15454/NMXDOZ,AO07803,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"4,2",,"61,38",
1,2826128,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49010,gnpis_pui:holding-921_taxon-4898_accession-49010,DI07017,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,3,,51,
2,2826129,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49010,gnpis_pui:holding-921_taxon-4898_accession-49010,DI07017,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,6,,"48,29",
2,2826155,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48374,gnpis_pui:holding-921_taxon-4898_accession-48374,RE06125,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,2,,"52,74",
2,2826179,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27819,https://doi.org/10.15454/SA4R8B,EM06233,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"6,5",,"50,68",
1,2826178,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27819,https://doi.org/10.15454/SA4R8B,EM06233,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,5,,"56,95",
2,2826119,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27818,https://doi.org/10.15454/VSKKHS,EM06229,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"7,5",,"54,18",
1,2826118,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27818,https://doi.org/10.15454/VSKKHS,EM06229,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"5,5",,"55,7",
1,2826126,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27804,https://doi.org/10.15454/0DEDAU,DI07016,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"1,5",,"52,33",
1,2826154,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48374,gnpis_pui:holding-921_taxon-4898_accession-48374,RE06125,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"1,5",,"51,02",
2,2826093,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27832,https://doi.org/10.15454/X0FSJ6,RE06097,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"2,5",,"52,37",
1,2826092,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27832,https://doi.org/10.15454/X0FSJ6,RE06097,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"2,2",,"52,57",
2,2826105,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27833,https://doi.org/10.15454/QCSBFW,RE06130,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"8,5",,"56,78",
2,2826109,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49569,gnpis_pui:holding-921_taxon-4898_accession-49569,CF06269,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,8,,"42,21",
1,2826104,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,27833,https://doi.org/10.15454/QCSBFW,RE06130,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"5,5",,"58,79",
1,2826114,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49095,gnpis_pui:holding-921_taxon-4898_accession-49095,CF06225,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"4,2",,"43,57",
1,2826108,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49569,gnpis_pui:holding-921_taxon-4898_accession-49569,CF06269,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"5,8",,"45,61",
2,2826115,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49095,gnpis_pui:holding-921_taxon-4898_accession-49095,CF06225,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"4,2",,"41,24",
2,2826113,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"5,8",,"50,18",
2,2826161,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48434,gnpis_pui:holding-921_taxon-4898_accession-48434,EM06195,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"6,5",,"49,66",
1,2826160,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48434,gnpis_pui:holding-921_taxon-4898_accession-48434,EM06195,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"4,8",,"49,29",
2,2826167,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48530,gnpis_pui:holding-921_taxon-4898_accession-48530,CF06296,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"5,2",,"51,44",
2,2826099,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48780,gnpis_pui:holding-921_taxon-4898_accession-48780,DI07020,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"1,5",,"54,67",
1,2826098,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48780,gnpis_pui:holding-921_taxon-4898_accession-48780,DI07020,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"1,5",,"55,44",
1,2826166,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,48530,gnpis_pui:holding-921_taxon-4898_accession-48530,CF06296,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"4,8",,"49,7",
1,2826106,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49088,gnpis_pui:holding-921_taxon-4898_accession-49088,EM06305,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,5,,"43,74",
2,2826107,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49088,gnpis_pui:holding-921_taxon-4898_accession-49088,EM06305,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"7,5",,"48,76",
1,2826140,BTH_Lusignan_2007_SetB3,BTH_Lusignan_2007_SetB3,49701,gnpis_pui:holding-921_taxon-4898_accession-49701,DI07018,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,1,,"54,5",
