observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
CF09169itkt,2862742,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,treated,2012,102,,140,,"10,12",,"79,5",,"96,7",,,,"93,4",,,
Grapeliitkt,2862738,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2012,101,,143,,"9,63",,"78,9",,"97,9",,,,"94,6",,,
AO11013itkfi,2862721,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,90,,142,,"7,34",,"75,7",,"107,9",,"3,5",,"77,3",,3,
Altigoitkfi,2862757,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,91,,138,,"7,62",,"76,6",,"105,3",,"2,5",,"75,5",,3,
CF09227itkt,2862790,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,treated,2012,104,,138,,"9,3",,"79,6",,"102,3",,,,"98,8",,,
CF09227itkfi,2862789,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,96,,140,,"8,07",,"78,9",,108,,2,,"77,4",,"3,5",
AO11013itkt,2862722,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,treated,2012,96,,140,,"8,91",,"77,5",,"108,5",,,,"104,8",,,
Grapeliitkfi,2862737,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,94,,143,,"7,63",,"77,5",,"102,6",,"2,5",,"73,5",,3,
EM08231itkfi,2862769,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,82,,141,,"8,32",,"71,5",,"109,7",,"2,5",,"78,6",,2,
DI08019-2itkfi,2862731,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,86,,142,,"7,12",,"77,4",,"100,2",,6,,"71,8",,"2,5",
EM08231itkt,2862770,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2012,87,,142,,"9,57",,"73,4",,"102,9",,,,"99,4",,,
AO11002itkt,2862762,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,48844,https://doi.org/10.15454/IYISPL,AO11002,VIRTUAL_TRIAL,,,,,,,,treated,2012,98,,142,,"9,73",,"78,1",,"96,3",,,,93,,,
AO11014itkfi,2862763,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,48888,https://doi.org/10.15454/2YKLGU,AO11014,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,94,,142,,"6,53",,"71,5",,"98,7",,6,,"70,7",,6,
DI10011itkt,2862718,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,49216,https://doi.org/10.15454/HTBFFE,DI10011,VIRTUAL_TRIAL,,,,,,,,treated,2012,104,,137,,"9,21",,78,,"111,3",,,,"107,5",,,
CF08027itkt,2862792,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2012,102,,144,,"9,62",,81,,"102,5",,,,99,,,
CF08027itkfi,2862791,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,94,,144,,"7,51",,"74,3",,"100,9",,"2,5",,"72,3",,3,
Folkloritkfi,2862729,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,94,,142,,"7,73",,"76,1",,"101,5",,"2,5",,"72,7",,"2,5",
AO11014itkt,2862764,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,48888,https://doi.org/10.15454/2YKLGU,AO11014,VIRTUAL_TRIAL,,,,,,,,treated,2012,102,,143,,"8,41",,"79,1",,113,,,,"109,2",,,
Folkloritkt,2862730,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2012,100,,142,,"9,54",,"77,8",,"102,1",,,,"98,6",,,
EM09222itkfi,2862771,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,95,,138,,"7,7",,"75,5",,111,,"4,5",,"79,6",,"4,5",
RE09055-2itkt,2862726,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,49670,https://doi.org/10.15454/FDCSIL,RE09055-2,VIRTUAL_TRIAL,,,,,,,,treated,2012,94,,143,,"9,29",,74,,"102,1",,,,"98,6",,,
RE09055-2itkfi,2862725,BTH_Dijon_2012_SetA1,BTH_Dijon_2012_SetA1,49670,https://doi.org/10.15454/FDCSIL,RE09055-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,90,,144,,"7,38",,72,,"108,7",,"1,5",,"77,9",,5,
