observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
DI05020itkfi,2808440,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,62005,https://doi.org/10.15454/Q0EAS8,DI05020,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,1,,136,,"74,9",,"118,3",,1,,"83,1",,3,
Orvantisitkfi,2808438,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,1,,133,,74,,"99,9",,1,,"70,2",,6,
DI05014itkfi,2808419,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,91,,1,,"139,5",,"72,8",,103,,1,,"72,3",,"2,2",
Farandoleitkfi,2808429,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,84,,1,,"135,5",,"68,2",,"105,2",,1,,"73,9",,4,
Chargeritkfi,2808430,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"78,5",,1,,"140,5",,"69,2",,"96,1",,"2,8",,"67,5",,4,
AO05001itkfi,2808437,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,48798,https://doi.org/10.15454/YUL8X7,AO05001,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"98,5",,1,,129,,76,,"118,4",,"3,5",,"83,2",,"3,5",
Hendrixitkfi,2808403,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"92,5",,1,,140,,"74,7",,"97,5",,1,,"68,5",,"2,5",
CF03058itkfi,2808412,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,48359,gnpis_pui:holding-921_taxon-4898_accession-48359,CF03058,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,89,,1,,"138,5",,65,,95,,2,,"66,8",,"3,8",
RE04022itkfi,2808410,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,26831,https://doi.org/10.15454/CK12PW,RE04022,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,89,,1,,141,,"73,8",,"97,7",,"1,5",,"68,7",,4,
RE04039itkfi,2808431,BTH_Lusignan_2005_SetB2,BTH_Lusignan_2005_SetB2,49389,gnpis_pui:holding-921_taxon-4898_accession-49389,RE04039,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"74,5",,1,,141,,"70,8",,"94,2",,1,,"66,1",,"3,8",
