observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
2,2868140,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61863,https://doi.org/10.15454/SSBKER,DI12009,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"92,14",,2,
1,2868139,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61863,https://doi.org/10.15454/SSBKER,DI12009,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"96,81",,1,
2,2868142,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61847,https://doi.org/10.15454/ERHVKW,DI12008,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"88,18",,7,
1,2868141,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61847,https://doi.org/10.15454/ERHVKW,DI12008,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"98,8",,5,
1,2868175,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61923,https://doi.org/10.15454/DNQAJZ,DI12012,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"80,24",,4,
2,2868176,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61923,https://doi.org/10.15454/DNQAJZ,DI12012,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"79,97",,1,
1,2868171,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61882,https://doi.org/10.15454/IS30KY,DI12010,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"95,28",,2,
2,2868172,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61882,https://doi.org/10.15454/IS30KY,DI12010,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"92,49",,1,
2,2868174,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61907,https://doi.org/10.15454/M9DOGT,DI12011,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"84,33",,1,
1,2868173,BTH_Clermont-Ferrand_2012_SetB2,BTH_Clermont-Ferrand_2012_SetB2,61907,https://doi.org/10.15454/M9DOGT,DI12011,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"83,95",,1,
