observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,vp(CO_321:1000225),vp(CO_321:1000225).date
DI05022itkt,2810214,BTH_Le_Moulon_2005_TECH,BTH_Le_Moulon_2005_TECH,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,treated,2005,"26,9",,147,,88,,73,,74,,235,,54,,"0,37",,266,,68,,NA,,"10,7",,"78,7",,2039,,"2,44",
DI05022itkfi,2810213,BTH_Le_Moulon_2005_TECH,BTH_Le_Moulon_2005_TECH,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"26,8",,146,,97,,51,,88,,236,,45,,"0,31",,183,,50,,,,"10,1",,"77,7",,1531,,,
DI05004itkfi,2810299,BTH_Le_Moulon_2005_TECH,BTH_Le_Moulon_2005_TECH,49451,https://doi.org/10.15454/HTYOGZ,DI05004,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"23,6",,113,,97,,29,,66,,192,,32,,"0,28",,108,,-15,,,,"8,9",,"72,7",,1464,,,
DI05004itkt,2810300,BTH_Le_Moulon_2005_TECH,BTH_Le_Moulon_2005_TECH,49451,https://doi.org/10.15454/HTYOGZ,DI05004,VIRTUAL_TRIAL,,,,,,,,treated,2005,"22,9",,106,,85,,42,,58,,185,,31,,"0,3",,113,,NA,,NA,,NA,,"75,6",,1374,,"2,6",
DI05021itkt,2810294,BTH_Le_Moulon_2005_TECH,BTH_Le_Moulon_2005_TECH,26919,https://doi.org/10.15454/6JPD2I,DI05021,VIRTUAL_TRIAL,,,,,,,,treated,2005,"28,7",,167,,94,,70,,88,,253,,35,,"0,21",,162,,70,,NA,,"10,5",,80,,1510,,"2,1",
DI05021itkfi,2810293,BTH_Le_Moulon_2005_TECH,BTH_Le_Moulon_2005_TECH,26919,https://doi.org/10.15454/6JPD2I,DI05021,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"28,6",,166,,97,,36,,61,,194,,39,,"0,23",,190,,57,,,,"9,9",,"78,3",,1525,,,
DI05020itkt,2810296,BTH_Le_Moulon_2005_TECH,BTH_Le_Moulon_2005_TECH,62005,https://doi.org/10.15454/Q0EAS8,DI05020,VIRTUAL_TRIAL,,,,,,,,treated,2005,"31,6",,203,,97,,56,,68,,221,,37,,"0,18",,189,,75,,NA,,"10,4",,"79,4",,1470,,"1,99",
DI05020itkfi,2810295,BTH_Le_Moulon_2005_TECH,BTH_Le_Moulon_2005_TECH,62005,https://doi.org/10.15454/Q0EAS8,DI05020,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"31,8",,205,,88,,57,,77,,222,,37,,"0,18",,199,,59,,,,"10,2",,"77,8",,1583,,,
Barokitkfi,2810211,BTH_Le_Moulon_2005_TECH,BTH_Le_Moulon_2005_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,
Barokitkt,2810212,BTH_Le_Moulon_2005_TECH,BTH_Le_Moulon_2005_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2005,"21,4",,93,,97,,"56,9",,49,,203,,53,,"0,58",,163,,47,,461,,"10,6",,NA,,"1857,5",,NA,
