observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
1,2819362,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,18",,"62,6",,"56,88",,1,
1,2819398,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,59",,"67,8",,"54,97",,1,
2,2819383,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,"11,92",,"72,4",,"67,01",,3,
1,2819382,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,non traité au fongicides,2007,"12,68",,"72,2",,"64,83",,3,
2,2819385,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"12,63",,"70,2",,"83,92",,"5,5",
1,2819384,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"12,62",,"71,8",,"86,49",,1,
1,2819380,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"13,3",,"66,5",,"72,05",,"2,5",
2,2819381,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,86",,"67,9",,"64,52",,4,
2,2819335,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,"12,62",,71,,"57,15",,"4,5",
2,2819333,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"13,25",,"64,5",,"47,3",,"6,5",
1,2819332,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"13,28",,"64,8",,"52,57",,1,
2,2819337,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"12,84",,"77,1",,"66,81",,"6,5",
1,2819336,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"13,36",,"67,5",,"63,85",,1,
1,2819334,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,REPLICATION,1,,,,,,REPLICATION:1,non traité au fongicides,2007,NA,,NA,,"58,48",,1,
2,2819427,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"13,94",,"72,9",,"76,2",,"6,5",
1,2819426,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"13,1",,"73,4",,"79,87",,"1,5",
2,2819425,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,"12,19",,"72,8",,"63,63",,6,
2,2819423,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,41",,"72,3",,"68,8",,"6,5",
1,2819422,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,43",,"70,9",,"57,55",,2,
1,2819424,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,REPLICATION,1,,,,,,REPLICATION:1,non traité au fongicides,2007,"11,98",,"75,9",,"64,23",,3,
2,2819479,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,"11,36",,"70,5",,"40,6",,"3,5",
1,2819476,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,49",,66,,"44,17",,"2,5",
2,2819481,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"11,07",,"71,5",,56,,"3,5",
2,2819477,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,91",,"66,6",,"40,64",,"3,5",
1,2819480,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"11,46",,73,,"56,2",,1,
1,2819478,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,REPLICATION,1,,,,,,REPLICATION:1,non traité au fongicides,2007,"11,07",,73,,"39,85",,2,
2,2819421,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"12,8",,"65,6",,"75,78",,6,
1,2819420,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"12,51",,"65,2",,"74,52",,1,
1,2819418,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,REPLICATION,1,,,,,,REPLICATION:1,non traité au fongicides,2007,"12,03",,"69,5",,"53,54",,1,
2,2819419,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,"10,93",,"70,4",,"53,92",,4,
1,2819416,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,23",,"64,5",,"58,87",,"1,5",
2,2819417,BTH_Estrées-Mons_2007_SetA1,BTH_Estrées-Mons_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,06",,65,,"59,72",,"5,5",
