observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI07019,2831141,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,61759,https://doi.org/10.15454/SFPRAV,DI07019,VIRTUAL_TRIAL,,,,,,,,2008,7,,3,,1,,1,
HadmF276,2831134,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,2008,"8,5",,3,,1,,1,
RE06061,2831152,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27831,https://doi.org/10.15454/BPSJCE,RE06061,VIRTUAL_TRIAL,,,,,,,,2008,"5,5",,2,,1,,1,
RE06055,2831140,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27829,https://doi.org/10.15454/NLT35T,RE06055,VIRTUAL_TRIAL,,,,,,,,2008,6,,2,,1,,1,
RE06023,2831142,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27827,https://doi.org/10.15454/B5PA3I,RE06023,VIRTUAL_TRIAL,,,,,,,,2008,"4,5",,2,,1,,1,
RE06050,2831149,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27828,https://doi.org/10.15454/PRTXZC,RE06050,VIRTUAL_TRIAL,,,,,,,,2008,9,,2,,1,,1,
RE06140,2831143,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27834,https://doi.org/10.15454/YQFE3M,RE06140,VIRTUAL_TRIAL,,,,,,,,2008,9,,2,,1,,1,
DI07016,2831135,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27804,https://doi.org/10.15454/0DEDAU,DI07016,VIRTUAL_TRIAL,,,,,,,,2008,5,,2,,1,,1,
DI07019-2,2831126,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27805,https://doi.org/10.15454/TBYVED,DI07019-2,VIRTUAL_TRIAL,,,,,,,,2008,"7,5",,3,,1,,1,
DI07021,2831123,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27806,https://doi.org/10.15454/HIUKXE,DI07021,VIRTUAL_TRIAL,,,,,,,,2008,7,,5,,1,,1,
CF06136,2831156,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,2008,2,,5,,2,,1,
CF06016,2831148,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27782,https://doi.org/10.15454/96DRU4,CF06016,VIRTUAL_TRIAL,,,,,,,,2008,5,,5,,1,,1,
RE06134,2831124,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,2008,"8,5",,3,,1,,1,
RE06060,2831151,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,2008,9,,2,,1,,1,
RE06127,2831145,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,2008,"8,5",,3,,1,,1,
Premio,2831119,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,2008,7,,NA,,1,,1,
Apache,2831132,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2008,"3,5",,NA,,1,,1,
Sankara,2831136,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,2008,7,,NA,,1,,1,
Ghayta,2831147,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,2008,"3,5",,3,,2,,1,
Caphorn,2831138,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2008,"8,5",,NA,,1,,2,
EM06307,2831127,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,2008,8,,2,,1,,1,
DI07015,2831137,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27842,https://doi.org/10.15454/CW6MPE,DI07015,VIRTUAL_TRIAL,,,,,,,,2008,6,,2,,1,,1,
RE06048,2831150,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,2008,4,,2,,1,,1,
CF06193,2831144,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27067,https://doi.org/10.15454/739FBM,CF06193,VIRTUAL_TRIAL,,,,,,,,2008,"4,5",,3,,1,,1,
CF06227,2831130,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27068,https://doi.org/10.15454/PIPBFU,CF06227,VIRTUAL_TRIAL,,,,,,,,2008,6,,3,,2,,1,
CF06230,2831155,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27069,https://doi.org/10.15454/PBD8PO,CF06230,VIRTUAL_TRIAL,,,,,,,,2008,"4,5",,5,,1,,1,
CF06107,2831125,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27066,https://doi.org/10.15454/PVLGW3,CF06107,VIRTUAL_TRIAL,,,,,,,,2008,"3,5",,5,,1,,1,
Mendel,2831133,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,2008,8,,NA,,1,,1,
CF06210,2831153,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27785,https://doi.org/10.15454/BZGBHW,CF06210,VIRTUAL_TRIAL,,,,,,,,2008,7,,3,,1,,2,
DI07001,2831122,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27802,https://doi.org/10.15454/5XXKDL,DI07001,VIRTUAL_TRIAL,,,,,,,,2008,8,,3,,1,,1,
DI07013,2831139,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27803,https://doi.org/10.15454/GVABT5,DI07013,VIRTUAL_TRIAL,,,,,,,,2008,"6,5",,3,,1,,1,
EM06017,2831120,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,2008,4,,2,,1,,1,
EM06089,2831128,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27815,https://doi.org/10.15454/UZYTX5,EM06089,VIRTUAL_TRIAL,,,,,,,,2008,"7,5",,2,,1,,1,
EM06233,2831157,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,2008,4,,2,,2,,1,
EM06229,2831131,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27818,https://doi.org/10.15454/VSKKHS,EM06229,VIRTUAL_TRIAL,,,,,,,,2008,4,,2,,1,,1,
EM06110,2831154,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27817,https://doi.org/10.15454/KG1VPB,EM06110,VIRTUAL_TRIAL,,,,,,,,2008,5,,3,,1,,1,
EM06094,2831146,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27816,https://doi.org/10.15454/ZMYTIN,EM06094,VIRTUAL_TRIAL,,,,,,,,2008,7,,2,,1,,1,
RE06058,2831129,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27830,https://doi.org/10.15454/V4CPNJ,RE06058,VIRTUAL_TRIAL,,,,,,,,2008,5,,2,,1,,1,
RE06097,2831118,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27832,https://doi.org/10.15454/X0FSJ6,RE06097,VIRTUAL_TRIAL,,,,,,,,2008,9,,2,,1,,1,
RE06130,2831121,BTH_Rennes_2008_SetA2_PIETIN-VERSE,BTH_Rennes_2008_SetA2_PIETIN-VERSE,27833,https://doi.org/10.15454/QCSBFW,RE06130,VIRTUAL_TRIAL,,,,,,,,2008,9,,3,,1,,1,
