observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
Ressor,2777091,BTH_Rennes_2002_SetA1_PIETIN-VERSE,BTH_Rennes_2002_SetA1_PIETIN-VERSE,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,2002,8,,1,,NA,,NA,,1,,4,
CF99005,2777092,BTH_Rennes_2002_SetA1_PIETIN-VERSE,BTH_Rennes_2002_SetA1_PIETIN-VERSE,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,2002,"7,5",,1,,NA,,NA,,1,,9,
RE99113,2777081,BTH_Rennes_2002_SetA1_PIETIN-VERSE,BTH_Rennes_2002_SetA1_PIETIN-VERSE,26003,https://doi.org/10.15454/6DEZEC,RE99113,VIRTUAL_TRIAL,,,,,,,,2002,6,,4,,NA,,NA,,1,,3,
RE99009,2777098,BTH_Rennes_2002_SetA1_PIETIN-VERSE,BTH_Rennes_2002_SetA1_PIETIN-VERSE,26000,https://doi.org/10.15454/VOIVEZ,RE99009,VIRTUAL_TRIAL,,,,,,,,2002,8,,1,,NA,,NA,,1,,8,
CF00193,2777069,BTH_Rennes_2002_SetA1_PIETIN-VERSE,BTH_Rennes_2002_SetA1_PIETIN-VERSE,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,2002,7,,6,,NA,,NA,,4,,6,
CF00189,2777079,BTH_Rennes_2002_SetA1_PIETIN-VERSE,BTH_Rennes_2002_SetA1_PIETIN-VERSE,25896,https://doi.org/10.15454/RWJVRH,CF00189,VIRTUAL_TRIAL,,,,,,,,2002,"6,5",,1,,NA,,NA,,1,,1,
CF99105,2777097,BTH_Rennes_2002_SetA1_PIETIN-VERSE,BTH_Rennes_2002_SetA1_PIETIN-VERSE,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,2002,4,,1,,NA,,NA,,1,,4,
RE99102,2777076,BTH_Rennes_2002_SetA1_PIETIN-VERSE,BTH_Rennes_2002_SetA1_PIETIN-VERSE,26002,https://doi.org/10.15454/4NCDUP,RE99102,VIRTUAL_TRIAL,,,,,,,,2002,5,,4,,"8,2",,5159,,1,,1,
DI9714,2777075,BTH_Rennes_2002_SetA1_PIETIN-VERSE,BTH_Rennes_2002_SetA1_PIETIN-VERSE,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,2002,"4,5",,6,,NA,,NA,,1,,6,
AO-STRU97/1370,2777072,BTH_Rennes_2002_SetA1_PIETIN-VERSE,BTH_Rennes_2002_SetA1_PIETIN-VERSE,48892,gnpis_pui:holding-921_taxon-4898_accession-48892,AO-STRU97/1370,VIRTUAL_TRIAL,,,,,,,,2002,5,,4,,"6,91",,4598,,1,,1,
