observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NmieS(CO_321:1000248),NmieS(CO_321:1000248).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpainS(CO_321:1000247),NpainS(CO_321:1000247).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NpateS(CO_321:1000246),NpateS(CO_321:1000246).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,NtotS(CO_321:1000249),NtotS(CO_321:1000249).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volS(CO_321:1000250),volS(CO_321:1000250).date
CF10299itkt,2862198,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,61198,https://doi.org/10.15454/BXUMII,CF10299,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
CF10299itkfi,2862197,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,61198,https://doi.org/10.15454/BXUMII,CF10299,VIRTUAL_TRIAL,,,,,,,,2011,"23,2",,109,,100,,,,"60,9",,,,"98,5",,,,"259,4",,,,65,,"0,6",,219,,23,,220,,"9,9",,"74,5",,,
EM10126itkt,2862168,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
EM10126itkfi,2862167,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,2011,15,,46,,100,,,,32,,,,"70,9",,,,"202,9",,,,114,,"2,5",,194,,66,,265,,"9,1",,"75,1",,,
DI08019-2itkfi,2862141,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
DI08019-2itkt,2862142,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,2011,"14,3",,41,,,,91,,,,72,,,,84,,,,247,,94,,"2,27",,155,,,,322,,"10,59",,"81,2",,1469,
CF10185itkt,2862226,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
CF10185itkfi,2862225,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,2011,"17,3",,60,,97,,,,"81,1",,,,"88,1",,,,"266,2",,,,95,,"1,56",,214,,57,,407,,"9,2",,"78,4",,,
CF10140itkfi,2862145,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,62004,https://doi.org/10.15454/WDXEQE,CF10140,VIRTUAL_TRIAL,,,,,,,,2011,"16,5",,56,,94,,,,"36,2",,,,"78,5",,,,"208,7",,,,123,,"2,21",,272,,56,,378,,"9,9",,"77,1",,,
CF10140itkt,2862146,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,62004,https://doi.org/10.15454/WDXEQE,CF10140,VIRTUAL_TRIAL,,,,,,,,2011,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,
