observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
AO13026,2885361,BTH_Rennes_2014_SetB1_PIETIN-VERSE,BTH_Rennes_2014_SetB1_PIETIN-VERSE,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,2014,"2,5",,NA,,5,,NA,,8,
AO13029,2885359,BTH_Rennes_2014_SetB1_PIETIN-VERSE,BTH_Rennes_2014_SetB1_PIETIN-VERSE,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,2014,"4,5",,"7,2",,5,,4,,1,
CF13131,2885356,BTH_Rennes_2014_SetB1_PIETIN-VERSE,BTH_Rennes_2014_SetB1_PIETIN-VERSE,61136,https://doi.org/10.15454/JQLJOT,CF13131,VIRTUAL_TRIAL,,,,,,,,2014,5,,NA,,5,,3,,6,
AO13031,2885380,BTH_Rennes_2014_SetB1_PIETIN-VERSE,BTH_Rennes_2014_SetB1_PIETIN-VERSE,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,2014,"4,5",,"1,6",,2,,3,,1,
CF13085,2885379,BTH_Rennes_2014_SetB1_PIETIN-VERSE,BTH_Rennes_2014_SetB1_PIETIN-VERSE,61107,https://doi.org/10.15454/18C6AU,CF13085,VIRTUAL_TRIAL,,,,,,,,2014,"4,5",,NA,,2,,3,,1,
DI14001,2885357,BTH_Rennes_2014_SetB1_PIETIN-VERSE,BTH_Rennes_2014_SetB1_PIETIN-VERSE,61257,https://doi.org/10.15454/VZKVRG,DI14001,VIRTUAL_TRIAL,,,,,,,,2014,7,,NA,,5,,4,,1,
DI14002,2885358,BTH_Rennes_2014_SetB1_PIETIN-VERSE,BTH_Rennes_2014_SetB1_PIETIN-VERSE,61270,https://doi.org/10.15454/3B26GW,DI14002,VIRTUAL_TRIAL,,,,,,,,2014,"4,5",,NA,,2,,5,,3,
AO13042,2885367,BTH_Rennes_2014_SetB1_PIETIN-VERSE,BTH_Rennes_2014_SetB1_PIETIN-VERSE,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,2014,5,,NA,,5,,3,,2,
EM12370,2885374,BTH_Rennes_2014_SetB1_PIETIN-VERSE,BTH_Rennes_2014_SetB1_PIETIN-VERSE,61336,https://doi.org/10.15454/CHLSIA,EM12370,VIRTUAL_TRIAL,,,,,,,,2014,"2,5",,NA,,5,,3,,4,
EM12088,2885375,BTH_Rennes_2014_SetB1_PIETIN-VERSE,BTH_Rennes_2014_SetB1_PIETIN-VERSE,61319,https://doi.org/10.15454/LLRB0D,EM12088,VIRTUAL_TRIAL,,,,,,,,2014,"3,5",,NA,,5,,2,,6,
