observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2825930,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,61759,https://doi.org/10.15454/SFPRAV,DI07019,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"10,38",,"69,7",,"103,43",
2,2825929,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,61759,https://doi.org/10.15454/SFPRAV,DI07019,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"9,45",,"71,9",,"84,03",
1,2825996,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49487,gnpis_pui:holding-921_taxon-4898_accession-49487,CF06277,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"9,79",,"72,9",,"69,86",
2,2825999,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49487,gnpis_pui:holding-921_taxon-4898_accession-49487,CF06277,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"10,87",,"74,2",,"103,43",
1,2825998,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49487,gnpis_pui:holding-921_taxon-4898_accession-49487,CF06277,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"10,86",,"76,2",,"105,32",
2,2825997,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49487,gnpis_pui:holding-921_taxon-4898_accession-49487,CF06277,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"9,6",,"70,3",,"63,86",
2,2825879,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27068,https://doi.org/10.15454/PIPBFU,CF06227,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"9,8",,"72,3",,"101,94",
2,2825877,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27068,https://doi.org/10.15454/PIPBFU,CF06227,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"9,96",,"70,4",,82,
1,2825876,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27068,https://doi.org/10.15454/PIPBFU,CF06227,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"10,52",,"76,1",,"78,09",
1,2825878,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27068,https://doi.org/10.15454/PIPBFU,CF06227,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"10,62",,"67,8",,"107,11",
2,2825991,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27069,https://doi.org/10.15454/PBD8PO,CF06230,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"9,46",,72,,"106,89",
1,2825990,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27069,https://doi.org/10.15454/PBD8PO,CF06230,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"10,33",,"71,1",,"102,61",
1,2825988,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27069,https://doi.org/10.15454/PBD8PO,CF06230,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"9,05",,"77,9",,"81,99",
2,2825989,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,27069,https://doi.org/10.15454/PBD8PO,CF06230,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"8,8",,"73,7",,"80,01",
2,2825867,BTH_Le_Moulon_2007_SetB3,BTH_Le_Moulon_2007_SetB3,49134,https://doi.org/10.15454/CCJCNN,RE06139,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"10,56",,"68,9",,"90,51",
