observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI12017itkfi,2870229,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,62001,https://doi.org/10.15454/5E5KSG,DI12017,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,90,,148,,"11,98",,"60,6",,"95,5",,"1,5",,"64,9",,1,,3,,"2,5",
CF11228itkfi,2870207,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,61645,https://doi.org/10.15454/IO4TVO,CF11228,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,90,,146,,"10,8",,"63,2",,"97,8",,1,,"66,5",,1,,"3,5",,1,
CF11227itkfi,2870217,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,61631,https://doi.org/10.15454/XHXQYM,CF11227,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,83,,146,,"11,97",,"66,8",,"87,5",,1,,"59,5",,1,,"3,5",,1,
CF11227itkt,2870218,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,61631,https://doi.org/10.15454/XHXQYM,CF11227,VIRTUAL_TRIAL,,,,,,,,treated,2012,88,,146,,"11,77",,"74,2",,"79,5",,,,"78,2",,,,,,"5,5",
CF11224itkfi,2870215,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,61615,https://doi.org/10.15454/RSLCQO,CF11224,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,80,,144,,"11,32",,"70,4",,"112,6",,1,,"76,5",,1,,2,,"1,5",
CF11224itkt,2870216,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,61615,https://doi.org/10.15454/RSLCQO,CF11224,VIRTUAL_TRIAL,,,,,,,,treated,2012,92,,144,,"12,57",,"66,5",,"88,6",,,,"87,1",,,,,,6,
CF11279itkfi,2870177,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,61660,https://doi.org/10.15454/I4EDVN,CF11279,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,84,,132,,"11,2",,"73,9",,"100,9",,1,,"68,6",,1,,"6,5",,"2,5",
CF11279itkt,2870178,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,61660,https://doi.org/10.15454/I4EDVN,CF11279,VIRTUAL_TRIAL,,,,,,,,treated,2012,91,,131,,"12,53",,"72,9",,"93,2",,,,"91,6",,,,,,7,
CF11289itkfi,2870187,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,61675,https://doi.org/10.15454/2RSAHH,CF11289,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,78,,135,,"11,85",,"68,4",,"98,7",,1,,"67,1",,1,,"4,5",,"2,5",
CF11289itkt,2870188,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,61675,https://doi.org/10.15454/2RSAHH,CF11289,VIRTUAL_TRIAL,,,,,,,,treated,2012,86,,132,,"12,37",,"64,8",,"84,1",,,,"82,7",,,,,,"6,5",
DI12014itkfi,2870223,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,61954,https://doi.org/10.15454/YP2UOF,DI12014,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,88,,146,,"10,51",,"66,9",,"99,6",,2,,"67,7",,1,,3,,1,
DI12014itkt,2870224,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,61954,https://doi.org/10.15454/YP2UOF,DI12014,VIRTUAL_TRIAL,,,,,,,,treated,2012,88,,144,,"11,43",,72,,"95,6",,,,"94,1",,,,,,"2,5",
DI12018itkt,2870220,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,62018,https://doi.org/10.15454/LSENI4,DI12018,VIRTUAL_TRIAL,,,,,,,,treated,2012,90,,149,,"12,32",,70,,86,,,,"84,6",,,,,,1,
DI12018itkfi,2870219,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,62018,https://doi.org/10.15454/LSENI4,DI12018,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,88,,148,,"11,46",,"66,6",,"98,8",,2,,"67,1",,1,,2,,1,
DI12019itkfi,2870221,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,62033,https://doi.org/10.15454/LXXI3T,DI12019,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,90,,144,,"12,3",,"62,4",,"88,9",,1,,"60,4",,1,,"3,5",,1,
DI12019itkt,2870222,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,62033,https://doi.org/10.15454/LXXI3T,DI12019,VIRTUAL_TRIAL,,,,,,,,treated,2012,90,,144,,"12,57",,"67,2",,"99,3",,,,"97,7",,,,,,"3,5",
DI12015itkt,2870226,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,61970,https://doi.org/10.15454/G4JD19,DI12015,VIRTUAL_TRIAL,,,,,,,,treated,2012,90,,144,,"13,52",,"65,4",,"76,8",,,,"75,6",,,,,,7,
DI12015itkfi,2870225,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,61970,https://doi.org/10.15454/G4JD19,DI12015,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,86,,146,,"12,3",,"60,7",,"90,5",,1,,"61,5",,1,,"3,5",,1,
Barokitkt,2870156,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2012,86,,142,,"12,03",,"68,3",,"90,6",,,,"89,1",,,,,,7,
Barokitkfi,2870155,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,82,,144,,"10,37",,"70,2",,"111,2",,"1,5",,"75,6",,1,,2,,"1,5",
RE11091itkfi,2870189,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,49027,https://doi.org/10.15454/HZ1HSQ,RE11091,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,145,,"10,77",,"74,6",,"119,9",,"3,5",,"81,5",,1,,1,,1,
RE11091itkt,2870190,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,49027,https://doi.org/10.15454/HZ1HSQ,RE11091,VIRTUAL_TRIAL,,,,,,,,treated,2012,100,,144,,"11,86",,"75,5",,"90,7",,,,"89,2",,,,,,"5,5",
RE11094itkt,2870176,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,48366,https://doi.org/10.15454/ZSJORF,RE11094,VIRTUAL_TRIAL,,,,,,,,treated,2012,108,,144,,"11,57",,"70,1",,83,,,,"81,6",,,,,,"7,5",
RE11094itkfi,2870175,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,48366,https://doi.org/10.15454/ZSJORF,RE11094,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,103,,145,,"10,9",,"71,2",,119,,"1,5",,"80,9",,1,,1,,4,
RE11095itkt,2870174,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,49685,https://doi.org/10.15454/NZBGQD,RE11095,VIRTUAL_TRIAL,,,,,,,,treated,2012,106,,143,,"11,99",,"69,6",,"94,9",,,,"93,3",,,,,,"7,5",
RE11095itkfi,2870173,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,49685,https://doi.org/10.15454/NZBGQD,RE11095,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,88,,144,,"10,68",,"74,5",,"120,1",,3,,"81,6",,1,,1,,2,
RE11096itkt,2870166,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,48664,https://doi.org/10.15454/ITWRUM,RE11096,VIRTUAL_TRIAL,,,,,,,,treated,2012,101,,144,,"12,79",,"61,8",,"76,6",,,,"75,4",,,,,,7,
RE11096itkfi,2870165,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,48664,https://doi.org/10.15454/ITWRUM,RE11096,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,100,,146,,"10,96",,72,,"113,9",,"3,5",,"77,4",,1,,1,,1,
RE11098itkfi,2870167,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,49149,https://doi.org/10.15454/AXKGHH,RE11098,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,100,,145,,"11,13",,"73,3",,"112,9",,2,,"76,7",,1,,1,,"2,5",
RE11098itkt,2870168,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,49149,https://doi.org/10.15454/AXKGHH,RE11098,VIRTUAL_TRIAL,,,,,,,,treated,2012,98,,146,,"12,55",,"71,6",,"86,8",,,,"85,4",,,,,,"5,5",
Premioitkfi,2870163,BTH_Le_Moulon_2012_SetB3,BTH_Le_Moulon_2012_SetB3,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,82,,142,,"10,81",,"72,6",,"112,7",,1,,"76,6",,1,,"3,5",,1,
