observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO14041itkt,2971131,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,60915,https://doi.org/10.15454/BHRDHY,AO14041,VIRTUAL_TRIAL,,,,,,,,traite,2015,79,,132,,10.5,,79,,104.3,,,,107.8,,,,,,1,
CF13057itkt,2971097,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61065,https://doi.org/10.15454/IEJHD9,CF13057,VIRTUAL_TRIAL,,,,,,,,traite,2015,94,,132,,10.6,,79.8,,106.5,,,,110.1,,,,,,1,
CF13131itkt,2971085,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61136,https://doi.org/10.15454/JQLJOT,CF13131,VIRTUAL_TRIAL,,,,,,,,traite,2015,95,,132,,10.8,,80.7,,91.5,,,,94.6,,,,,,1,
CF13131itkfi,2971084,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61136,https://doi.org/10.15454/JQLJOT,CF13131,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,85,,131,,,,79,,85.7,,4,,72.7,,1,,3,,,
CF13085itkfi,2971086,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61107,https://doi.org/10.15454/18C6AU,CF13085,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,95,,131,,,,81.3,,93.7,,4.5,,79.4,,1,,3,,,
CF13085itkt,2971087,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61107,https://doi.org/10.15454/18C6AU,CF13085,VIRTUAL_TRIAL,,,,,,,,traite,2015,102,,131,,11.8,,81.6,,94.5,,,,97.8,,,,,,5,
CF13187itkt,2971135,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61181,https://doi.org/10.15454/RVUPRG,CF13187,VIRTUAL_TRIAL,,,,,,,,traite,2015,99,,134,,10.1,,77.8,,102.4,,,,105.9,,,,,,1,
CF13187itkfi,2971134,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61181,https://doi.org/10.15454/RVUPRG,CF13187,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,134,,,,75.1,,112.4,,2.5,,95.2,,1,,3,,,
EM13073itkt,2971127,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61398,https://doi.org/10.15454/HEUAIP,EM13073,VIRTUAL_TRIAL,,,,,,,,traite,2015,89,,134,,11.3,,80,,89,,,,92,,,,,,1,
EM13073itkfi,2971126,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61398,https://doi.org/10.15454/HEUAIP,EM13073,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,84,,134,,,,78.2,,87.4,,4.5,,74,,1,,2.5,,,
EM13249itkt,2971137,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61447,https://doi.org/10.15454/NTKRK8,EM13249,VIRTUAL_TRIAL,,,,,,,,traite,2015,87,,135,,10.4,,78.1,,108.5,,,,112.2,,,,,,1,
EM13249itkfi,2971136,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61447,https://doi.org/10.15454/NTKRK8,EM13249,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,82,,134,,,,78.1,,119.9,,2.5,,101.5,,1,,2.5,,,
EM13243itkt,2971093,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61431,https://doi.org/10.15454/QSZ1IX,EM13243,VIRTUAL_TRIAL,,,,,,,,traite,2015,96,,135,,10.5,,82,,107.8,,,,111.4,,,,,,1,
EM13243itkfi,2971092,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61431,https://doi.org/10.15454/QSZ1IX,EM13243,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,86,,134,,,,81.4,,103.8,,4,,88,,1,,2.5,,,
RE13006itkt,2971149,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61514,https://doi.org/10.15454/KLQZHB,RE13006,VIRTUAL_TRIAL,,,,,,,,traite,2015,100,,132,,11.1,,80.2,,101.4,,,,104.9,,,,,,2.5,
RE13006itkfi,2971148,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61514,https://doi.org/10.15454/KLQZHB,RE13006,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,132,,,,78.9,,111.9,,1.5,,94.8,,1.5,,3,,,
RE13007itkfi,2971150,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61527,https://doi.org/10.15454/JN5VML,RE13007,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,87,,131,,,,79.2,,114.5,,2,,97.1,,1,,2.5,,,
RE13007itkt,2971151,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61527,https://doi.org/10.15454/JN5VML,RE13007,VIRTUAL_TRIAL,,,,,,,,traite,2015,94,,132,,11.1,,80.5,,104,,,,107.6,,,,,,2.5,
RE13093itkfi,2971100,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61664,https://doi.org/10.15454/OYADUC,RE13093,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,93,,134,,,,78.2,,109.6,,2.5,,92.8,,2,,2.5,,,
RE13093itkt,2971101,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61664,https://doi.org/10.15454/OYADUC,RE13093,VIRTUAL_TRIAL,,,,,,,,traite,2015,98,,134,,10.8,,80.9,,101.6,,,,105,,,,,,1,
RE13094itkt,2971105,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61678,https://doi.org/10.15454/GQP9HA,RE13094,VIRTUAL_TRIAL,,,,,,,,traite,2015,105,,131,,10.8,,80.6,,100.3,,,,103.7,,,,,,1,
RE13094itkfi,2971104,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61678,https://doi.org/10.15454/GQP9HA,RE13094,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,98,,130,,,,82.6,,96,,5,,81.3,,4,,2,,,
AO14026itkt,2971141,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61704,https://doi.org/10.15454/ZZZLIR,AO14026,VIRTUAL_TRIAL,,,,,,,,traite,2015,98,,138,,10.4,,76.3,,105.2,,,,108.8,,,,,,1,
AO14026itkfi,2971140,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61704,https://doi.org/10.15454/ZZZLIR,AO14026,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,93,,137,,,,75.9,,93.8,,2,,79.5,,1,,3,,,
AO14013itkt,2971099,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,62003,https://doi.org/10.15454/UIHLJL,AO14013,VIRTUAL_TRIAL,,,,,,,,traite,2015,96,,134,,10.7,,80.9,,94.1,,,,97.4,,,,,,1.5,
AO14013itkfi,2971098,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,62003,https://doi.org/10.15454/UIHLJL,AO14013,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,88,,134,,,,77.1,,91.6,,2,,77.7,,7,,2,,,
AO14014itkfi,2971114,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,62034,https://doi.org/10.15454/RWXBD7,AO14014,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,84,,134,,,,78.6,,95.2,,4,,80.7,,1,,2.5,,,
AO14014itkt,2971115,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,62034,https://doi.org/10.15454/RWXBD7,AO14014,VIRTUAL_TRIAL,,,,,,,,traite,2015,88,,136,,10.3,,80,,102.3,,,,105.8,,,,,,1,
AO14017itkt,2971095,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,62096,https://doi.org/10.15454/JY3UZ7,AO14017,VIRTUAL_TRIAL,,,,,,,,traite,2015,98,,134,,12.2,,82,,93.5,,,,96.7,,,,,,3,
AO14017itkfi,2971094,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,62096,https://doi.org/10.15454/JY3UZ7,AO14017,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,134,,,,81.4,,93.7,,1.5,,79.4,,1,,3,,,
AO14020itkt,2971143,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,62141,https://doi.org/10.15454/0STI9A,AO14020,VIRTUAL_TRIAL,,,,,,,,traite,2015,89,,134,,11,,80.8,,97.6,,,,101,,,,,,1,
AO14020itkfi,2971142,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,62141,https://doi.org/10.15454/0STI9A,AO14020,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,82,,133,,,,79.7,,90.1,,4.5,,76.3,,3,,2,,,
EM13147itkfi,2971146,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61412,https://doi.org/10.15454/J7IR6N,EM13147,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,82,,132,,,,79.6,,107.4,,1.5,,91,,1,,2,,,
EM13147itkt,2971147,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61412,https://doi.org/10.15454/J7IR6N,EM13147,VIRTUAL_TRIAL,,,,,,,,traite,2015,89,,132,,10.9,,80.3,,101.4,,,,104.9,,,,,,1,
CF13158itkfi,2971088,BTH_Dijon_2015_SetA2,BTH_Dijon_2015_SetA2,61152,https://doi.org/10.15454/BOXBBY,CF13158,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,85,,132,,,,78.9,,101.5,,2.5,,86,,1,,2.5,,,
