observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,vp(CO_321:1000225),vp(CO_321:1000225).date
DI02008itkfi,2801852,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,
DI02008itkt,2801853,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,treated,2004,"13,9",,39,,100,,"69,1",,"86,6",,256,,101,,"2,59",,163,,65,,344,,"8,56",,NA,,1385,,"3,42",
Koreliitkt,2801907,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,7",,23,,100,,"28,4",,"85,5",,214,,126,,"5,48",,128,,71,,365,,"8,875",,NA,,1352,,"3,5",
Koreliitkfi,2801906,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,
Barokitkt,2801811,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2004,"21,1",,90,,85,,56,,82,,222,,58,,"0,64",,168,,79,,NA,,"10,2",,"83,3",,1545,,"2,46",
Barokitkfi,2801810,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"20,6",,86,,85,,53,,70,,208,,62,,"0,72",,174,,72,,,,10,,"83,5",,1444,,,
CF03201itkt,2801863,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,treated,2004,"24,1",,118,,88,,77,,84,,249,,81,,"0,69",,300,,72,,NA,,"11,8",,"83,8",,1631,,"2,73",
CF03201itkfi,2801862,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"22,1",,99,,91,,53,,86,,230,,83,,"0,83",,268,,81,,,,"10,5",,"84,5",,1448,,,
EM02224itkfi,2801898,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26806,https://doi.org/10.15454/MJW2ZX,EM02224,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,
EM02224itkt,2801899,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26806,https://doi.org/10.15454/MJW2ZX,EM02224,VIRTUAL_TRIAL,,,,,,,,treated,2004,"18,4",,69,,100,,"60,4",,"67,4",,228,,59,,"0,87",,132,,13,,355,,"9,14",,NA,,1550,,"2,97",
EM02054itkfi,2801838,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,
EM02054itkt,2801839,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,treated,2004,12,,29,,100,,"61,6",,"75,2",,237,,103,,"3,55",,126,,78,,309,,"8,98",,NA,,1460,,"3,42",
EM01343itkfi,2801866,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"20,6",,86,,76,,27,,70,,173,,58,,"0,68",,171,,60,,,,"9,4",,80,,1310,,,
EM01343itkt,2801867,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,treated,2004,"18,4",,68,,85,,33,,72,,189,,60,,"0,87",,150,,75,,NA,,"9,6",,"80,2",,1421,,"2,32",
LM03017itkt,2801881,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,48364,gnpis_pui:holding-921_taxon-4898_accession-48364,LM03017,VIRTUAL_TRIAL,,,,,,,,treated,2004,"21,5",,94,,88,,77,,78,,243,,65,,"0,69",,172,,52,,NA,,"10,6",,"82,2",,1635,,"2,4",
LM03017itkfi,2801880,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,48364,gnpis_pui:holding-921_taxon-4898_accession-48364,LM03017,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"23,2",,109,,97,,56,,76,,229,,52,,"0,48",,174,,57,,,,"10,7",,"82,4",,1533,,,
DI02006itkt,2801827,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,treated,2004,"14,8",,44,,100,,"68,2",,"95,5",,264,,97,,"2,2",,164,,63,,359,,"8,75",,NA,,1460,,"3,02",
DI02006itkfi,2801826,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,
DI01022itkt,2801851,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,treated,2004,"14,9",,45,,97,,"61,9",,"88,5",,247,,71,,"1,58",,129,,11,,356,,"8,985",,NA,,1452,,"3,39",
DI01022itkfi,2801850,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,
LM03004itkfi,2801822,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,48678,gnpis_pui:holding-921_taxon-4898_accession-48678,LM03004,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"17,8",,64,,88,,29,,76,,194,,80,,"1,25",,179,,66,,,,"11,3",,"82,5",,1351,,,
LM03004itkt,2801823,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,48678,gnpis_pui:holding-921_taxon-4898_accession-48678,LM03004,VIRTUAL_TRIAL,,,,,,,,treated,2004,18,,65,,82,,53,,75,,210,,77,,"1,18",,175,,71,,NA,,"11,1",,"82,6",,1528,,"2,27",
EM00264itkt,2801889,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,treated,2004,"18,1",,66,,73,,20,,57,,150,,66,,"0,99",,159,,50,,NA,,"8,5",,"80,5",,1248,,"2,55",
EM00264itkfi,2801888,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"20,1",,82,,76,,22,,86,,183,,74,,"0,9",,212,,53,,,,10,,"82,4",,1256,,,
LM03001itkfi,2801818,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,48818,gnpis_pui:holding-921_taxon-4898_accession-48818,LM03001,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"19,8",,79,,70,,7,,75,,152,,80,,"1,01",,226,,68,,,,"10,2",,"78,5",,1183,,,
LM03001itkt,2801819,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,48818,gnpis_pui:holding-921_taxon-4898_accession-48818,LM03001,VIRTUAL_TRIAL,,,,,,,,treated,2004,"20,3",,83,,82,,56,,66,,204,,84,,1,,252,,71,,NA,,"11,4",,"78,2",,1615,,"2,22",
Apacheitkfi,2801848,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,
Apacheitkt,2801849,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Skerzzoitkt,2801895,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,treated,2004,"17,2",,60,,100,,"73,6",,"92,5",,266,,94,,"1,57",,205,,62,,341,,"9,68",,NA,,1462,,"3,4",
Skerzzoitkfi,2801894,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,
Tamaroitkfi,2801904,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"28,5",,165,,88,,62,,87,,237,,85,,"0,52",,427,,57,,,,14,,"84,9",,1840,,,
Tamaroitkt,2801905,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,treated,2004,"20,7",,"87,5",,97,,"79,3",,"87,4",,264,,82,,"0,96",,239,,91,,371,,"10,67",,"85,5",,1737,,"2,53",
Caphornitkt,2801859,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2004,"14,6",,43,,100,,"71,5",,"82,9",,254,,121,,"2,81",,215,,NA,,353,,"10,93",,NA,,1667,,NA,
Caphornitkfi,2801858,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,
DI04018itkt,2801843,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,treated,2004,"24,6",,123,,85,,54,,66,,206,,71,,"0,58",,269,,60,,NA,,"10,3",,80,,1560,,"2,69",
DI04018itkfi,2801842,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"23,5",,112,,85,,60,,72,,216,,75,,"0,67",,258,,61,,,,"10,9",,"79,1",,1598,,,
CF03287itkt,2801877,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,treated,2004,"20,6",,86,,100,,61,,87,,248,,102,,"1,18",,316,,74,,NA,,"11,1",,"83,5",,1620,,"2,92",
CF03287itkfi,2801876,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"20,8",,88,,94,,55,,81,,230,,89,,"1,01",,280,,74,,,,"10,9",,84,,1526,,,
RE03108itkt,2801829,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,48423,https://doi.org/10.15454/5BUDKG,RE03108,VIRTUAL_TRIAL,,,,,,,,treated,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE03108itkfi,2801828,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,48423,https://doi.org/10.15454/5BUDKG,RE03108,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,
RE03014itkfi,2801892,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26396,https://doi.org/10.15454/DY3IJJ,RE03014,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"21,2",,91,,91,,51,,96,,237,,75,,"0,82",,230,,71,,,,"11,5",,83,,1444,,,
RE03014itkt,2801893,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26396,https://doi.org/10.15454/DY3IJJ,RE03014,VIRTUAL_TRIAL,,,,,,,,treated,2004,23,,107,,85,,40,,68,,193,,66,,"0,61",,223,,60,,NA,,"11,2",,"81,8",,1531,,"2,16",
CF03167itkt,2801875,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26797,https://doi.org/10.15454/VTWXME,CF03167,VIRTUAL_TRIAL,,,,,,,,treated,2004,"23,2",,109,,100,,54,,78,,232,,43,,"0,4",,150,,49,,NA,,"10,1",,"82,8",,1550,,"2,48",
CF03167itkfi,2801874,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26797,https://doi.org/10.15454/VTWXME,CF03167,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,24,,117,,94,,35,,76,,205,,45,,"0,38",,156,,54,,,,10,,"82,7",,1459,,,
CF03104itkt,2801861,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26795,https://doi.org/10.15454/VI1CVR,CF03104,VIRTUAL_TRIAL,,,,,,,,treated,2004,"22,6",,104,,100,,56,,80,,235,,65,,"0,62",,223,,73,,NA,,"11,4",,"81,5",,1531,,"1,52",
CF03104itkfi,2801860,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26795,https://doi.org/10.15454/VI1CVR,CF03104,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"20,5",,85,,79,,42,,50,,171,,66,,"0,77",,189,,69,,,,"10,5",,"82,3",,1519,,,
CF03163itkt,2801879,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26796,https://doi.org/10.15454/FR99SD,CF03163,VIRTUAL_TRIAL,,,,,,,,treated,2004,"21,9",,97,,82,,48,,75,,205,,58,,"0,6",,169,,89,,NA,,"9,9",,"82,2",,1449,,"2,22",
CF03163itkfi,2801878,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26796,https://doi.org/10.15454/FR99SD,CF03163,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"22,6",,104,,79,,42,,56,,176,,54,,"0,52",,159,,74,,,,9,,"81,9",,1515,,,
CF03102itkfi,2801854,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26794,https://doi.org/10.15454/NWP5WQ,CF03102,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,19,,73,,76,,28,,73,,176,,66,,"0,9",,170,,59,,,,"9,6",,"82,3",,1351,,,
CF03102itkt,2801855,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26794,https://doi.org/10.15454/NWP5WQ,CF03102,VIRTUAL_TRIAL,,,,,,,,treated,2004,"20,5",,85,,94,,48,,85,,227,,63,,"0,74",,182,,54,,NA,,"10,1",,"80,8",,1416,,2,
CF01046itkt,2801891,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26793,https://doi.org/10.15454/0WBMV0,CF01046,VIRTUAL_TRIAL,,,,,,,,treated,2004,"17,8",,64,,73,,26,,72,,171,,54,,"0,84",,139,,24,,NA,,"9,3",,"79,6",,1263,,"2,42",
CF01046itkfi,2801890,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26793,https://doi.org/10.15454/0WBMV0,CF01046,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,21,,89,,76,,30,,79,,185,,55,,"0,61",,182,,29,,,,"10,7",,"81,8",,1429,,,
CF03226itkt,2801865,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26798,https://doi.org/10.15454/YF5PYW,CF03226,VIRTUAL_TRIAL,,,,,,,,treated,2004,"20,6",,86,,76,,33,,65,,174,,94,,"1,09",,291,,68,,NA,,"11,2",,"80,3",,1463,,"3,14",
CF03226itkfi,2801864,BTH_Estrées-Mons_2004_TECH,BTH_Estrées-Mons_2004_TECH,26798,https://doi.org/10.15454/YF5PYW,CF03226,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"19,3",,75,,NA,,NA,,NA,,NA,,87,,"1,16",,238,,73,,,,"10,5",,"81,4",,NA,,,
