observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Koreliitkfi,2822956,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,,,131,,"11,78",,"74,9",,104,,4,,61,,5,,1,,4,
AO07116itkt,2823005,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,27755,https://doi.org/10.15454/IF7X64,AO07116,VIRTUAL_TRIAL,,,,,,,,treated,2007,"92,5",,1,,131,,"11,48",,"73,8",,"102,5",,1,,"75,7",,,,2,,7,
AO07116itkfi,2823004,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,27755,https://doi.org/10.15454/IF7X64,AO07116,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,,,128,,"11,67",,"73,8",,"110,5",,"4,5",,"64,9",,1,,4,,6,
CF06111itkfi,2822990,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,49647,gnpis_pui:holding-921_taxon-4898_accession-49647,CF06111,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,,,135,,"10,9",,"68,2",,"96,8",,4,,"56,8",,1,,4,,"3,5",
CF06013itkfi,2822996,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,49609,gnpis_pui:holding-921_taxon-4898_accession-49609,CF06013,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,70,,,,125,,"13,06",,"73,9",,99,,"4,5",,"58,1",,"4,5",,1,,4,
RE06055itkfi,2822982,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,27829,https://doi.org/10.15454/NLT35T,RE06055,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,,,135,,12,,"72,8",,"125,6",,1,,"73,7",,1,,3,,2,
CF06111itkt,2822991,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,49647,gnpis_pui:holding-921_taxon-4898_accession-49647,CF06111,VIRTUAL_TRIAL,,,,,,,,treated,2007,"82,5",,1,,136,,"11,61",,"69,8",,"83,7",,1,,"61,8",,,,4,,5,
RE06048itkt,2822929,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,1,,129,,"12,1",,"73,8",,"108,3",,1,,80,,,,"2,5",,6,
RE06008itkt,2822989,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,48727,gnpis_pui:holding-921_taxon-4898_accession-48727,RE06008,VIRTUAL_TRIAL,,,,,,,,treated,2007,"92,5",,1,,"135,5",,"12,28",,"71,7",,"96,8",,1,,"71,6",,,,"2,5",,"6,5",
RE06055itkt,2822983,BTH_Estrées-Mons_2007_SetB1,BTH_Estrées-Mons_2007_SetB1,27829,https://doi.org/10.15454/NLT35T,RE06055,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,1,,136,,"11,88",,"73,2",,"102,9",,1,,76,,,,2,,3,
