observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
CF11079,2867953,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,61349,https://doi.org/10.15454/78QONX,CF11079,VIRTUAL_TRIAL,,,,,,,,2012,8,,5,,4,,1,
CF11041,2867982,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,61302,https://doi.org/10.15454/YCKCWW,CF11041,VIRTUAL_TRIAL,,,,,,,,2012,"4,5",,5,,3,,1,
CF11075,2867958,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,61332,https://doi.org/10.15454/BH8LXP,CF11075,VIRTUAL_TRIAL,,,,,,,,2012,8,,5,,3,,1,
AO12001,2867990,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,61241,https://doi.org/10.15454/TKI8XQ,AO12001,VIRTUAL_TRIAL,,,,,,,,2012,3,,2,,1,,1,
CF11003,2867987,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,61253,https://doi.org/10.15454/0HUC0X,CF11003,VIRTUAL_TRIAL,,,,,,,,2012,4,,2,,1,,1,
CF11032,2867992,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,61285,https://doi.org/10.15454/MAOLEE,CF11032,VIRTUAL_TRIAL,,,,,,,,2012,"6,5",,2,,3,,1,
CF11103,2867979,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,61385,https://doi.org/10.15454/99NTYT,CF11103,VIRTUAL_TRIAL,,,,,,,,2012,"5,5",,5,,4,,1,
CF11094,2867961,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,61366,https://doi.org/10.15454/WFSIHH,CF11094,VIRTUAL_TRIAL,,,,,,,,2012,8,,5,,4,,1,
AO12002,2867991,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,2012,"8,5",,3,,6,,3,
AO12003,2867955,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,61590,https://doi.org/10.15454/1HGYCF,AO12003,VIRTUAL_TRIAL,,,,,,,,2012,6,,2,,2,,2,
DI12001,2867973,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,61742,https://doi.org/10.15454/38GFUU,DI12001,VIRTUAL_TRIAL,,,,,,,,2012,"4,5",,2,,3,,6,
DI12002,2867972,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,61758,https://doi.org/10.15454/OKI00H,DI12002,VIRTUAL_TRIAL,,,,,,,,2012,"8,5",,2,,2,,6,
DI12003,2867971,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,61774,https://doi.org/10.15454/PDTNHE,DI12003,VIRTUAL_TRIAL,,,,,,,,2012,"8,5",,2,,4,,1,
RE10091,2867976,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,62038,https://doi.org/10.15454/4GF0WY,RE10091,VIRTUAL_TRIAL,,,,,,,,2012,"5,5",,2,,3,,1,
EM11149,2867957,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,62095,https://doi.org/10.15454/BHSE0Q,EM11149,VIRTUAL_TRIAL,,,,,,,,2012,"5,5",,5,,2,,1,
EM11359,2867977,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,62111,https://doi.org/10.15454/CSGOVX,EM11359,VIRTUAL_TRIAL,,,,,,,,2012,3,,5,,2,,1,
DI12007,2867967,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,61832,https://doi.org/10.15454/HYWSTF,DI12007,VIRTUAL_TRIAL,,,,,,,,2012,7,,5,,2,,1,
DI12006,2867968,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,61817,https://doi.org/10.15454/3PVIBR,DI12006,VIRTUAL_TRIAL,,,,,,,,2012,"8,5",,5,,3,,1,
Premio,2867956,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,2012,"4,5",,5,,2,,1,
Apache,2867978,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2012,3,,5,,1,,1,
Attlass,2867985,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,2012,"5,5",,2,,3,,1,
CF11029,2867975,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,2012,"6,5",,2,,NA,,8,
CF11051,2867959,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,2012,"3,5",,5,,3,,1,
DI12005,2867969,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,2012,"4,5",,2,,2,,3,
EM11389,2867954,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,48373,https://doi.org/10.15454/QK5GLN,EM11389,VIRTUAL_TRIAL,,,,,,,,2012,4,,5,,1,,1,
EM11441,2867974,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,2012,"6,5",,2,,2,,1,
RE11007,2867986,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,49642,https://doi.org/10.15454/TAMDIS,RE11007,VIRTUAL_TRIAL,,,,,,,,2012,"4,5",,2,,3,,1,
AO12008,2867962,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,60732,https://doi.org/10.15454/JKQ6L6,AO12008,VIRTUAL_TRIAL,,,,,,,,2012,3,,2,,2,,1,
AO12009,2867980,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,60749,https://doi.org/10.15454/K6ABP7,AO12009,VIRTUAL_TRIAL,,,,,,,,2012,7,,2,,2,,1,
AO12012,2867989,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,60799,https://doi.org/10.15454/H3MSSG,AO12012,VIRTUAL_TRIAL,,,,,,,,2012,"8,5",,2,,2,,2,
RE11010,2867966,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,60870,https://doi.org/10.15454/RYT1LE,RE11010,VIRTUAL_TRIAL,,,,,,,,2012,5,,2,,2,,1,
RE11013,2867965,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,60900,https://doi.org/10.15454/CKLKVS,RE11013,VIRTUAL_TRIAL,,,,,,,,2012,5,,5,,3,,1,
RE11016,2867963,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,60933,https://doi.org/10.15454/7NVDSE,RE11016,VIRTUAL_TRIAL,,,,,,,,2012,6,,5,,2,,1,
RE11015,2867964,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,60917,https://doi.org/10.15454/2YDIBV,RE11015,VIRTUAL_TRIAL,,,,,,,,2012,5,,3,,3,,1,
RE11029,2867988,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,60949,https://doi.org/10.15454/2CCYP2,RE11029,VIRTUAL_TRIAL,,,,,,,,2012,4,,5,,2,,1,
EM11366,2867984,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,2012,5,,5,,3,,1,
EM11400,2867983,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,2012,"7,5",,2,,4,,1,
DI12004,2867970,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,2012,4,,2,,1,,1,
Altigo,2867981,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,2012,"6,5",,5,,4,,3,
Bermude,2867960,BTH_Rennes_2012_SetB1_PIETIN-VERSE,BTH_Rennes_2012_SetB1_PIETIN-VERSE,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,2012,9,,2,,3,,1,
