observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI08019-2itkt,2852650,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2010,"15,9",,51,,97,,71,,85,,253,,112,,"2,2",,220,,65,,393,,"11,1",,NA,,1618,,43,
EM09015itkt,2852679,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,49594,https://doi.org/10.15454/UY7D21,EM09015,VIRTUAL_TRIAL,,,,,,,,treated,2010,"20,4",,84,,94,,45,,69,,208,,90,,"1,07",,209,,89,,NA,,12,,"82,6",,1708,,NA,
HadmF11383itkt,2852655,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,treated,2010,"16,7",,57,,88,,69,,94,,251,,120,,"2,14",,248,,93,,400,,"13,4",,NA,,1700,,40,
DI10006itkt,2852670,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,48901,https://doi.org/10.15454/QECZYG,DI10006,VIRTUAL_TRIAL,,,,,,,,treated,2010,"22,5",,102,,94,,74,,67,,235,,64,,"0,63",,175,,105,,NA,,"12,3",,"82,5",,1798,,NA,
DI10007itkt,2852703,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,48917,https://doi.org/10.15454/SFOD7H,DI10007,VIRTUAL_TRIAL,,,,,,,,treated,2010,"14,8",,44,,82,,44,,59,,185,,134,,"3,05",,243,,105,,NA,,"12,9",,83,,1290,,NA,
DI10015itkt,2852649,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,48814,https://doi.org/10.15454/QM62JM,DI10015,VIRTUAL_TRIAL,,,,,,,,treated,2010,"25,2",,128,,88,,31,,61,,180,,45,,"0,35",,148,,30,,NA,,11,,"81,2",,1498,,NA,
RE09055itkt,2852676,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,treated,2010,"23,5",,111,,91,,64,,69,,224,,56,,"0,5",,176,,40,,NA,,"11,9",,"77,2",,1740,,NA,
Hadm01221-04itkt,2852667,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,5",,62,,94,,40,,73,,207,,103,,"1,66",,208,,79,,430,,"12,3",,NA,,1598,,50,
HadmF276itkt,2852641,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2010,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Barokitkt,2852637,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,5",,77,,97,,"30,9",,47,,"174,9",,83,,"1,08",,190,,78,,396,,"13,3",,NA,,1575,,44,
CF09182itkt,2852662,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,48586,https://doi.org/10.15454/TEBGJY,CF09182,VIRTUAL_TRIAL,,,,,,,,treated,2010,"22,3",,100,,91,,73,,73,,237,,79,,"0,79",,248,,85,,NA,,13,,"81,4",,1673,,NA,
CF09117itkt,2852698,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2010,"23,5",,111,,88,,58,,93,,239,,98,,"0,88",,357,,89,,NA,,"14,3",,83,,1750,,NA,
CF09225itkt,2852692,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,48451,https://doi.org/10.15454/L5GF1L,CF09225,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,9",,80,,91,,82,,86,,259,,89,,"1,11",,242,,101,,NA,,"12,1",,"84,1",,1748,,NA,
CF09227itkt,2852704,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,7",,78,,94,,84,,83,,261,,100,,"1,28",,276,,92,,NA,,"12,1",,"83,7",,1773,,NA,
CF09176itkt,2852682,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,49359,https://doi.org/10.15454/HRZCLT,CF09176,VIRTUAL_TRIAL,,,,,,,,treated,2010,"23,6",,112,,91,,84,,93,,268,,77,,"0,69",,263,,88,,NA,,13,,"81,3",,1890,,NA,
CF09276itkt,2852661,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,48805,https://doi.org/10.15454/XQX8MF,CF09276,VIRTUAL_TRIAL,,,,,,,,treated,2010,NA,,NA,,91,,80,,80,,251,,NA,,NA,,NA,,102,,NA,,"13,2",,82,,1850,,NA,
EM08231itkt,2852648,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2010,"24,8",,124,,76,,23,,35,,134,,41,,"0,33",,108,,53,,NA,,"12,1",,"81,1",,1575,,NA,
DI09006itkt,2852668,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,treated,2010,"24,8",,125,,91,,33,,48,,172,,45,,"0,36",,129,,27,,356,,12,,NA,,1453,,17,
RE07019itkt,2852651,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,treated,2010,"15,9",,51,,91,,28,,81,,200,,128,,"2,51",,263,,69,,393,,"12,7",,NA,,1490,,"35,5",
Folkloritkt,2852647,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2010,"18,1",,66,,88,,"84,5",,96,,"268,5",,102,,"1,55",,244,,78,,381,,"12,3",,NA,,1825,,39,
RE09063itkt,2852663,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,treated,2010,"25,3",,129,,94,,73,,84,,251,,55,,"0,43",,198,,86,,NA,,"12,3",,"79,2",,1788,,NA,
RE09079itkt,2852644,BTH_Clermont-Ferrand_2010_TECH,BTH_Clermont-Ferrand_2010_TECH,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,treated,2010,"21,2",,91,,88,,48,,53,,189,,62,,"0,68",,149,,92,,NA,,13,,"79,9",,1508,,NA,
