observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Ressoritkt,2776321,BTH_Estrées-Mons_2002_SetA1,BTH_Estrées-Mons_2002_SetA1,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,treated,2002,"11,62",,98,,"87,4",
Ressoritkfi,2776319,BTH_Estrées-Mons_2002_SetA1,BTH_Estrées-Mons_2002_SetA1,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,"10,6",,"100,4",,"70,4",
Isengrainitkt,2776333,BTH_Estrées-Mons_2002_SetA1,BTH_Estrées-Mons_2002_SetA1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2002,"10,22",,101,,"90,1",
Ressoritknt,2776320,BTH_Estrées-Mons_2002_SetA1,BTH_Estrées-Mons_2002_SetA1,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,"97,7",,"69,8",
Chargeritkt,2776315,BTH_Estrées-Mons_2002_SetA1,BTH_Estrées-Mons_2002_SetA1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2002,"11,59",,"95,6",,"85,3",
Chargeritknt,2776314,BTH_Estrées-Mons_2002_SetA1,BTH_Estrées-Mons_2002_SetA1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,"93,2",,"66,7",
EM00015itknt,2776329,BTH_Estrées-Mons_2002_SetA1,BTH_Estrées-Mons_2002_SetA1,48653,gnpis_pui:holding-921_taxon-4898_accession-48653,EM00015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,"118,3",,"84,6",
Voltigeitkt,2776297,BTH_Estrées-Mons_2002_SetA1,BTH_Estrées-Mons_2002_SetA1,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,treated,2002,"10,19",,"106,1",,"94,6",
Voltigeitknt,2776296,BTH_Estrées-Mons_2002_SetA1,BTH_Estrées-Mons_2002_SetA1,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,"119,3",,"85,3",
Voltigeitkfi,2776295,BTH_Estrées-Mons_2002_SetA1,BTH_Estrées-Mons_2002_SetA1,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,"9,68",,124,,"87,1",
EM00015itkfi,2776328,BTH_Estrées-Mons_2002_SetA1,BTH_Estrées-Mons_2002_SetA1,48653,gnpis_pui:holding-921_taxon-4898_accession-48653,EM00015,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,"9,8",,"123,1",,"86,4",
CF99005itkfi,2776322,BTH_Estrées-Mons_2002_SetA1,BTH_Estrées-Mons_2002_SetA1,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,"10,72",,"99,1",,"69,6",
CF99005itknt,2776323,BTH_Estrées-Mons_2002_SetA1,BTH_Estrées-Mons_2002_SetA1,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,"77,7",,"55,6",
CF99005itkt,2776324,BTH_Estrées-Mons_2002_SetA1,BTH_Estrées-Mons_2002_SetA1,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,treated,2002,"11,25",,102,,91,
Isengrainitknt,2776332,BTH_Estrées-Mons_2002_SetA1,BTH_Estrées-Mons_2002_SetA1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,"100,6",,72,
DI00024itkfi,2776265,BTH_Estrées-Mons_2002_SetA1,BTH_Estrées-Mons_2002_SetA1,26107,https://doi.org/10.15454/IJHBYL,DI00024,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,"10,92",,"112,6",,79,
Isengrainitkfi,2776331,BTH_Estrées-Mons_2002_SetA1,BTH_Estrées-Mons_2002_SetA1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,"9,92",,"91,4",,"64,1",
RE99113itkt,2776291,BTH_Estrées-Mons_2002_SetA1,BTH_Estrées-Mons_2002_SetA1,26003,https://doi.org/10.15454/6DEZEC,RE99113,VIRTUAL_TRIAL,,,,,,,,treated,2002,"13,6",,83,,74,
RE99113itkfi,2776289,BTH_Estrées-Mons_2002_SetA1,BTH_Estrées-Mons_2002_SetA1,26003,https://doi.org/10.15454/6DEZEC,RE99113,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,"12,76",,"99,7",,70,
