observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date
RE12080itkfi,2882853,BTH_Dijon_2014_SetA2,BTH_Dijon_2014_SetA2,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,84,,129,,"72,7",,"91,1",,58,,1,
CF12376itkfi,2882813,BTH_Dijon_2014_SetA2,BTH_Dijon_2014_SetA2,49458,https://doi.org/10.15454/WEEH9V,CF12376,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,82,,130,,"74,6",,"89,4",,57,,1,
CF12202itkt,2882868,BTH_Dijon_2014_SetA2,BTH_Dijon_2014_SetA2,49079,https://doi.org/10.15454/EYUOPH,CF12202,VIRTUAL_TRIAL,,,,,,,,treated,2014,79,,130,,73,,"100,5",,"84,4",,,
DI13003itkfi,2882873,BTH_Dijon_2014_SetA2,BTH_Dijon_2014_SetA2,49052,https://doi.org/10.15454/6DHCDH,DI13003,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,80,,136,,"70,6",,"90,2",,"57,5",,1,
RE12002itkt,2882826,BTH_Dijon_2014_SetA2,BTH_Dijon_2014_SetA2,48869,https://doi.org/10.15454/TN9KFO,RE12002,VIRTUAL_TRIAL,,,,,,,,treated,2014,84,,135,,"70,5",,"78,9",,"66,2",,,
DI13002-2itkfi,2882817,BTH_Dijon_2014_SetA2,BTH_Dijon_2014_SetA2,49462,https://doi.org/10.15454/9WA3DH,DI13002-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,84,,133,,"72,4",,"92,6",,59,,1,
Granamaxitkfi,2882849,BTH_Dijon_2014_SetA2,BTH_Dijon_2014_SetA2,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,82,,132,,"72,4",,"113,3",,"72,2",,1,
AO13003itkfi,2882815,BTH_Dijon_2014_SetA2,BTH_Dijon_2014_SetA2,61449,https://doi.org/10.15454/ACXILT,AO13003,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,80,,136,,"69,2",,"112,7",,"71,8",,1,
Granamaxitkt,2882850,BTH_Dijon_2014_SetA2,BTH_Dijon_2014_SetA2,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2014,82,,131,,73,,"115,9",,"97,3",,,
AO13003itkt,2882816,BTH_Dijon_2014_SetA2,BTH_Dijon_2014_SetA2,61449,https://doi.org/10.15454/ACXILT,AO13003,VIRTUAL_TRIAL,,,,,,,,treated,2014,80,,136,,"70,1",,"98,5",,"82,7",,,
DI13005itkt,2882832,BTH_Dijon_2014_SetA2,BTH_Dijon_2014_SetA2,49746,https://doi.org/10.15454/C5YYJZ,DI13005,VIRTUAL_TRIAL,,,,,,,,treated,2014,89,,136,,"70,1",,"97,7",,"82,1",,,
DI13002itkfi,2882837,BTH_Dijon_2014_SetA2,BTH_Dijon_2014_SetA2,61791,https://doi.org/10.15454/GW5VMO,DI13002,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,83,,136,,"72,3",,"91,5",,"58,3",,1,
