observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
2,2869496,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,61615,https://doi.org/10.15454/RSLCQO,CF11224,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"92,96",,1,
2,2869490,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"100,7",,2,
1,2869489,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"93,94",,6,
1,2869497,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,61631,https://doi.org/10.15454/XHXQYM,CF11227,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"82,97",,5,
2,2869470,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,49027,https://doi.org/10.15454/HZ1HSQ,RE11091,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"92,9",,2,
1,2869433,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,49188,https://doi.org/10.15454/5IXUYK,CF11215,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"92,16",,1,
1,2869455,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,48366,https://doi.org/10.15454/ZSJORF,RE11094,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"80,98",,9,
2,2869434,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,49188,https://doi.org/10.15454/5IXUYK,CF11215,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"99,53",,1,
1,2869503,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,61954,https://doi.org/10.15454/YP2UOF,DI12014,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"101,9",,1,
2,2869512,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,48959,https://doi.org/10.15454/VMWB4Q,CF11291,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"92,53",,1,
1,2869511,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,48959,https://doi.org/10.15454/VMWB4Q,CF11291,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"92,88",,1,
2,2869500,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,62018,https://doi.org/10.15454/LSENI4,DI12018,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"94,53",,1,
2,2869456,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,48366,https://doi.org/10.15454/ZSJORF,RE11094,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"80,05",,7,
1,2869453,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,49685,https://doi.org/10.15454/NZBGQD,RE11095,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"81,81",,8,
2,2869476,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,49309,https://doi.org/10.15454/RKL8AU,EM11604,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"88,38",,1,
1,2869475,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,49309,https://doi.org/10.15454/RKL8AU,EM11604,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"84,78",,1,
1,2869499,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,62018,https://doi.org/10.15454/LSENI4,DI12018,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"92,39",,1,
2,2869494,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,48537,https://doi.org/10.15454/OVF7NV,RE11113,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"85,67",,7,
1,2869493,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,48537,https://doi.org/10.15454/OVF7NV,RE11113,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"86,27",,8,
1,2869495,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,61615,https://doi.org/10.15454/RSLCQO,CF11224,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"95,43",,4,
2,2869462,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,48613,https://doi.org/10.15454/12BULQ,RE11116,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"106,88",,4,
2,2869454,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,49685,https://doi.org/10.15454/NZBGQD,RE11095,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"94,25",,4,
1,2869445,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,48664,https://doi.org/10.15454/ITWRUM,RE11096,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"84,56",,3,
1,2869461,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,48613,https://doi.org/10.15454/12BULQ,RE11116,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"89,98",,5,
2,2869440,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,61600,https://doi.org/10.15454/KE0AWJ,CF11216,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"94,22",,1,
1,2869457,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,61660,https://doi.org/10.15454/I4EDVN,CF11279,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"90,21",,1,
1,2869439,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,61600,https://doi.org/10.15454/KE0AWJ,CF11216,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"93,51",,1,
2,2869446,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,48664,https://doi.org/10.15454/ITWRUM,RE11096,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"82,86",,1,
1,2869477,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,60735,https://doi.org/10.15454/RDAN0D,EM11603,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"78,17",,1,
2,2869478,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,60735,https://doi.org/10.15454/RDAN0D,EM11603,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"72,96",,3,
2,2869502,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,62033,https://doi.org/10.15454/LXXI3T,DI12019,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"90,87",,1,
2,2869458,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,61660,https://doi.org/10.15454/I4EDVN,CF11279,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"92,73",,1,
2,2869480,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,60719,https://doi.org/10.15454/13FZZX,EM11602,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"85,39",,3,
2,2869468,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,61675,https://doi.org/10.15454/2RSAHH,CF11289,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"78,43",,1,
1,2869479,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,60719,https://doi.org/10.15454/13FZZX,EM11602,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"73,93",,9,
2,2869448,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,49149,https://doi.org/10.15454/AXKGHH,RE11098,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"86,2",,1,
1,2869465,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,60769,https://doi.org/10.15454/NH9QD9,EM11622,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"94,8",,1,
1,2869447,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,49149,https://doi.org/10.15454/AXKGHH,RE11098,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"87,96",,1,
2,2869466,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,60769,https://doi.org/10.15454/NH9QD9,EM11622,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"84,34",,1,
1,2869501,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,62033,https://doi.org/10.15454/LXXI3T,DI12019,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"91,03",,1,
1,2869441,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,60805,https://doi.org/10.15454/JZDA89,EM11678,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"99,28",,2,
2,2869442,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,60805,https://doi.org/10.15454/JZDA89,EM11678,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"104,85",,1,
2,2869444,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,26914,https://doi.org/10.15454/5YB44K,PREMIO,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"105,6",,1,
1,2869505,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,61970,https://doi.org/10.15454/G4JD19,DI12015,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"110,15",,5,
2,2869482,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,49733,gnpis_pui:holding-921_taxon-4898_accession-49733,E42,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"100,02",,1,
1,2869443,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,26914,https://doi.org/10.15454/5YB44K,PREMIO,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"110,23",,1,
2,2869498,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,61631,https://doi.org/10.15454/XHXQYM,CF11227,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"93,94",,1,
1,2869481,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,49733,gnpis_pui:holding-921_taxon-4898_accession-49733,E42,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"96,39",,1,
2,2869492,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,49729,gnpis_pui:holding-921_taxon-4898_accession-49729,Fr498/10,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"83,87",,1,
2,2869452,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,61558,https://doi.org/10.15454/RW7KHN,CF11211,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"91,51",,1,
1,2869491,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,49729,gnpis_pui:holding-921_taxon-4898_accession-49729,Fr498/10,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"86,87",,1,
1,2869451,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,61558,https://doi.org/10.15454/RW7KHN,CF11211,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"101,82",,1,
1,2869467,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,61675,https://doi.org/10.15454/2RSAHH,CF11289,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"70,48",,1,
2,2869506,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,61970,https://doi.org/10.15454/G4JD19,DI12015,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"99,11",,5,
1,2869485,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"102,33",,1,
2,2869486,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"96,52",,1,
2,2869450,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"98,65",,1,
2,2869436,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,26978,https://doi.org/10.15454/Z3MNYF,BAROK,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"85,29",,1,
1,2869449,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"98,44",,1,
1,2869471,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,48552,gnpis_pui:holding-921_taxon-4898_accession-48552,CFQUE/013,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"79,93",,8,
2,2869472,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,48552,gnpis_pui:holding-921_taxon-4898_accession-48552,CFQUE/013,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"78,5",,8,
2,2869474,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"97,42",,1,
2,2869438,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,48503,gnpis_pui:holding-921_taxon-4898_accession-48503,F43,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"104,6",,2,
1,2869437,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,48503,gnpis_pui:holding-921_taxon-4898_accession-48503,F43,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"106,46",,2,
1,2869473,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"93,56",,1,
1,2869487,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,61645,https://doi.org/10.15454/IO4TVO,CF11228,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"77,29",,5,
2,2869460,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,48728,gnpis_pui:holding-921_taxon-4898_accession-48728,C32,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"97,25",,1,
1,2869459,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,48728,gnpis_pui:holding-921_taxon-4898_accession-48728,C32,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"93,49",,1,
2,2869504,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,61954,https://doi.org/10.15454/YP2UOF,DI12014,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"93,62",,1,
2,2869484,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,49536,gnpis_pui:holding-921_taxon-4898_accession-49536,PER102/181,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,106,,8,
1,2869435,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,26978,https://doi.org/10.15454/Z3MNYF,BAROK,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"90,1",,5,
1,2869483,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,49536,gnpis_pui:holding-921_taxon-4898_accession-49536,PER102/181,REPLICATION,1,,,,,,REPLICATION:1,treated,2012,"96,41",,4,
2,2869508,BTH_Clermont-Ferrand_2012_SetB3,BTH_Clermont-Ferrand_2012_SetB3,61986,https://doi.org/10.15454/JOTB0W,DI12016,REPLICATION,2,,,,,,REPLICATION:2,treated,2012,"89,62",,1,
