observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
ARKEOSitkfi,2970030,BTH_Lusignan_2015_SetA1,BTH_Lusignan_2015_SetA1,27751,https://doi.org/10.15454/OYNH7Y,ARKEOS,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,95,,128,,8.9,,75.4,,100.9,,1,,68,,1,,4,,1,
AO13026itkt,2969971,BTH_Lusignan_2015_SetA1,BTH_Lusignan_2015_SetA1,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,traite,2015,99,,133,,10.5,,82.5,,94.2,,,,88.4,,,,,,1,
AO13029itkt,2969975,BTH_Lusignan_2015_SetA1,BTH_Lusignan_2015_SetA1,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,traite,2015,85,,131,,10.8,,82.1,,94.2,,,,88.4,,,,,,1,
AO13029itkfi,2969974,BTH_Lusignan_2015_SetA1,BTH_Lusignan_2015_SetA1,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,89,,132,,9.9,,79.5,,107.6,,1,,72.5,,1,,1,,1,
AO13031itkt,2970027,BTH_Lusignan_2015_SetA1,BTH_Lusignan_2015_SetA1,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,traite,2015,94,,130,,11.3,,81.9,,102.6,,,,96.3,,,,,,5,
AO13031itkfi,2970026,BTH_Lusignan_2015_SetA1,BTH_Lusignan_2015_SetA1,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,94,,130,,10.5,,80.5,,130.5,,1,,87.9,,1,,1,,1,
DI14001itkfi,2970012,BTH_Lusignan_2015_SetA1,BTH_Lusignan_2015_SetA1,61257,https://doi.org/10.15454/VZKVRG,DI14001,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,100,,132,,8.8,,75.8,,101.2,,1,,68.2,,1,,1,,1,
DI14001itkt,2970013,BTH_Lusignan_2015_SetA1,BTH_Lusignan_2015_SetA1,61257,https://doi.org/10.15454/VZKVRG,DI14001,VIRTUAL_TRIAL,,,,,,,,traite,2015,104,,132,,11,,79.5,,105.7,,,,99.2,,,,,,1,
AO13042itkt,2969999,BTH_Lusignan_2015_SetA1,BTH_Lusignan_2015_SetA1,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,traite,2015,96,,134,,10.5,,79.8,,99.6,,,,93.4,,,,,,1,
AO13042itkfi,2969998,BTH_Lusignan_2015_SetA1,BTH_Lusignan_2015_SetA1,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,96,,134,,10.1,,78.4,,111.8,,1,,75.3,,1,,2,,1,
