observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI08019-2itkfi,2845851,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,1,,53,,145,,"8,8",,"80,4",,"106,2",,1,,"106,2",,1,
DI08019-2itkt,2845853,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2010,76,,,,"51,2",,145,,"9,7",,81,,"107,8",,,,"117,7",,1,
Caphornitkfi,2845902,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,76,,1,,"52,3",,144,,"10,02",,"80,4",,96,,1,,"95,9",,1,
Lyrikitkt,2845946,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2010,77,,,,53,,145,,"9,77",,81,,"108,9",,,,"118,9",,1,
Folkloritkt,2845844,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,,,"54,9",,145,,"10,05",,"79,2",,"101,3",,,,"110,6",,1,
AO10003itknt,2845897,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,48956,https://doi.org/10.15454/IJIMQX,AO10003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,86,,,,"53,6",,148,,,,79,,"96,5",,1,,"103,7",,"1,5",
DI08019-2itknt,2845852,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,92,,,,"50,6",,145,,,,81,,"98,6",,1,,106,,1,
RE07095itkt,2845895,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27266,https://doi.org/10.15454/PYG05B,RE07095,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,,,"54,3",,145,,"10,72",,80,,"105,5",,,,"115,2",,1,
Lyrikitkfi,2845944,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,"2,5",,"54,9",,145,,"9,22",,"80,9",,"101,9",,1,,"101,8",,1,
AO10004itknt,2845906,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,48616,https://doi.org/10.15454/HDFKTU,AO10004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,,,"47,6",,151,,,,"80,2",,"92,3",,2,,"99,2",,4,
HadmF11383itkfi,2845866,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,1,,"51,4",,145,,"9,94",,"79,6",,"104,8",,1,,"104,8",,1,
HadmF11383itknt,2845867,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,88,,,,"50,2",,148,,,,"80,6",,"100,2",,1,,"107,7",,2,
HadmF11383itkt,2845868,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,,,51,,150,,"10,49",,"79,8",,"104,9",,,,"114,6",,1,
Folkloritknt,2845843,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,94,,,,"54,9",,145,,,,"78,9",,"101,6",,1,,"109,2",,3,
Folkloritkfi,2845842,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,1,,"58,8",,145,,"9,31",,"79,3",,"100,7",,1,,"100,7",,1,
RE07095itknt,2845894,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27266,https://doi.org/10.15454/PYG05B,RE07095,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,,,"55,8",,144,,,,"80,9",,"97,7",,"1,5",,"105,1",,1,
RE07040itkt,2845931,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,treated,2010,74,,,,"44,6",,144,,"10,5",,"81,1",,"95,3",,,,104,,"1,5",
DI08011itkfi,2845848,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,72,,1,,"51,7",,144,,"10,05",,"80,9",,"101,5",,1,,"101,4",,1,
Musikitknt,2845861,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,75,,,,"49,8",,144,,,,"81,4",,"102,6",,1,,"110,3",,4,
RE07040itkfi,2845929,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,1,,"46,2",,145,,"10,06",,80,,98,,1,,98,,1,
DI08011itkt,2845850,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,treated,2010,63,,,,"51,2",,144,,"10,88",,"81,6",,"103,4",,,,"112,9",,1,
DI08011itknt,2845849,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,76,,,,"51,9",,144,,,,"81,8",,"101,8",,2,,"109,4",,1,
AO10004itkt,2845907,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,48616,https://doi.org/10.15454/HDFKTU,AO10004,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,,,"49,7",,151,,"10,26",,"81,6",,"104,7",,,,"114,3",,1,
AO10004itkfi,2845905,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,48616,https://doi.org/10.15454/HDFKTU,AO10004,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,1,,"50,2",,148,,"9,16",,"80,8",,"87,7",,"1,5",,"87,6",,1,
RE07095itkfi,2845893,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27266,https://doi.org/10.15454/PYG05B,RE07095,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,1,,56,,144,,"9,68",,"79,6",,"104,2",,1,,"104,2",,1,
RE07040itknt,2845930,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,86,,,,"45,4",,145,,,,"81,4",,"95,5",,1,,"102,7",,3,
CF07267itkt,2845934,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27794,https://doi.org/10.15454/LNBBQV,CF07267,VIRTUAL_TRIAL,,,,,,,,treated,2010,81,,,,"55,8",,144,,"10,74",,"80,6",,"106,4",,,,"116,2",,1,
EM06017itkfi,2845845,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,1,,53,,144,,"11,3",,"83,5",,"96,2",,1,,"96,2",,1,
Premioitkt,2845841,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2010,74,,,,"52,2",,144,,"10,76",,"80,5",,"96,5",,,,"105,4",,1,
Hadm01221-04itkfi,2845833,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,1,,"51,8",,150,,"8,56",,"77,1",,"104,3",,1,,"104,3",,1,
Hadm01221-04itknt,2845834,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,86,,,,"49,2",,148,,,,"75,2",,"95,5",,"2,5",,"102,6",,1,
Hadm01221-04itkt,2845835,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,treated,2010,76,,,,"50,8",,150,,"9,79",,"78,3",,"106,5",,,,"116,3",,1,
Musikitkt,2845862,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,treated,2010,67,,,,"50,3",,144,,"10,58",,"81,6",,"104,4",,,,114,,1,
Musikitkfi,2845860,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,72,,1,,51,,144,,"9,8",,"80,7",,"105,4",,"1,5",,"105,4",,1,
HadmF276itkt,2845922,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2010,68,,,,"54,6",,145,,"10,02",,"80,2",,"105,5",,,,"115,2",,1,
Soissonsitkfi,2845935,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,1,,50,,144,,"10,08",,"82,9",,"93,3",,"2,5",,"93,2",,"1,5",
Premioitkfi,2845839,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,1,,"54,6",,144,,"9,62",,80,,"97,7",,1,,"97,7",,"1,5",
Karillonitkt,2845916,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,,,"48,7",,145,,"10,01",,"80,1",,"108,7",,,,"118,7",,1,
Soissonsitkt,2845937,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2010,73,,,,"48,6",,144,,"10,82",,"83,7",,"92,4",,,,101,,1,
HadmF276itkfi,2845920,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,76,,"1,5",,"56,6",,145,,"9,41",,"79,8",,"108,5",,1,,"108,4",,1,
HadmF276itknt,2845921,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,79,,,,"55,4",,144,,,,"77,5",,"104,1",,1,,"111,8",,1,
Karillonitknt,2845915,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,,,"48,6",,145,,,,"80,9",,"105,9",,1,,"113,8",,2,
Premioitknt,2845840,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,83,,,,54,,145,,,,"80,5",,"102,4",,1,,"110,1",,"2,5",
Apacheitkfi,2845884,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,1,,"52,6",,144,,"9,58",,"79,3",,"100,7",,1,,"100,6",,2,
Koreliitkt,2845883,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2010,86,,,,53,,150,,"10,13",,"84,1",,100,,,,"109,2",,1,
Karillonitkfi,2845914,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,1,,"50,8",,145,,"9,02",,"79,9",,"105,2",,1,,"105,2",,1,
CF07143itkt,2845919,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,treated,2010,84,,,,"61,7",,146,,"10,26",,"81,4",,101,,,,"110,3",,1,
Koreliitknt,2845882,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,,,"52,9",,150,,,,"82,4",,"86,3",,1,,"92,8",,4,
Apacheitkt,2845886,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,,,"50,1",,144,,"10,72",,"79,6",,"97,5",,,,"106,4",,1,
Apacheitknt,2845885,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,88,,,,53,,144,,,,81,,"98,8",,"1,5",,"106,2",,1,
Koreliitkfi,2845881,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,89,,1,,"53,2",,150,,"9,8",,"83,3",,"92,7",,"1,5",,"92,6",,1,
AO10005itkt,2845910,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,49146,https://doi.org/10.15454/H6MB7G,AO10005,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,,,"45,9",,144,,"10,8",,"81,8",,"95,2",,,,104,,1,
CF07143itknt,2845918,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,,,"60,2",,145,,,,"80,8",,"95,5",,1,,"102,6",,"3,5",
CF07097itknt,2845876,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,,,"54,8",,146,,,,"79,7",,"101,8",,1,,"109,4",,1,
AO10005itkfi,2845908,BTH_Le_Moulon_2010_SetA1,BTH_Le_Moulon_2010_SetA1,49146,https://doi.org/10.15454/H6MB7G,AO10005,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,1,,"47,7",,144,,"9,82",,82,,"97,9",,1,,"97,9",,1,
