observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
AO11009itkfi,2859900,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61334,https://doi.org/10.15454/FHFPK2,AO11009,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,133,,"8,56",,"102,6",,"6,5",,"89,6",
AO11009itkt,2859901,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61334,https://doi.org/10.15454/FHFPK2,AO11009,VIRTUAL_TRIAL,,,,,,,,treated,2011,98,,134,,"9,6",,"99,6",,,,106,
RE10085itkt,2859887,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,48649,https://doi.org/10.15454/KBZ1TN,RE10085,VIRTUAL_TRIAL,,,,,,,,treated,2011,94,,134,,"9,76",,"97,1",,,,"103,3",
Attlassitkt,2859917,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2011,90,,133,,"10,04",,"94,1",,,,"100,1",
RE10081itkfi,2859928,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61975,https://doi.org/10.15454/WIBYI7,RE10081,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,132,,"9,35",,98,,1,,"85,6",
Attlassitkfi,2859916,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,87,,132,,"9,41",,"100,5",,1,,"87,8",
DI11011itkt,2859919,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,60948,https://doi.org/10.15454/MPMTXE,DI11011,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,137,,"9,34",,"91,9",,,,"97,7",
AO11011itkt,2859899,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,treated,2011,80,,136,,"9,2",,"99,7",,,,"106,1",
AO11010itkfi,2859896,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61350,https://doi.org/10.15454/U7J4EQ,AO11010,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,81,,134,,"8,29",,"92,9",,"5,5",,"81,1",
CF10064itkt,2859875,BTH_Le_Moulon_2011_SetB2,BTH_Le_Moulon_2011_SetB2,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,treated,2011,88,,134,,"10,06",,101,,,,"107,4",
