observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI05020-2itkt,2820067,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,traité,2007,95,,"131,5",,"11,82",,"73,8",,"93,1",,,,77,,1,
DI05020-2itkfi,2820066,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,,,"12,74",,"65,5",,"87,7",,"5,8",,"43,3",,1,
RE05074itkt,2820077,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,VIRTUAL_TRIAL,,,,,,,,traité,2007,90,,"127,5",,"11,42",,"70,7",,"97,4",,,,"80,6",,"3,2",
CF03287itkt,2820075,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,traité,2007,90,,131,,"12,77",,"77,5",,"91,4",,,,"75,6",,1,
Sankaraitkt,2820059,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,traité,2007,"92,5",,"134,5",,"13,3",,"69,9",,"93,3",,,,"77,2",,1,
Soissonsitkt,2820091,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,traité,2007,"92,5",,121,,"11,86",,"71,7",,"95,7",,,,"79,2",,6,
DI05022itkfi,2820086,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,,,"13,31",,"65,3",,"88,3",,"5,8",,"43,5",,1,
DI04024itkt,2820085,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,traité,2007,"92,5",,132,,"11,56",,"74,8",,"97,2",,,,"80,4",,1,
Sankaraitkfi,2820058,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,,,"14,46",,"65,9",,"88,1",,"5,5",,"43,5",,1,
DI05022itkt,2820087,BTH_Lusignan_2007_SetA1,BTH_Lusignan_2007_SetA1,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,traité,2007,95,,"131,5",,"12,26",,"72,4",,"93,8",,,,"77,6",,1,
