observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
AO13029itkfi,2879038,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,145,,"10,9",,"73,8",,"107,3",,"60,4",,"5,8",
CF12376itkfi,2879069,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,49458,https://doi.org/10.15454/WEEH9V,CF12376,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,146,,"10,6",,"74,2",,"126,9",,"71,4",,"5,5",
AO13031itkfi,2879065,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,146,,11,,"75,4",,"130,3",,"73,3",,"5,8",
EM12359itkfi,2879056,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,48644,https://doi.org/10.15454/BZ52A8,EM12359,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,148,,"11,1",,"72,6",,"112,8",,"63,5",,"5,2",
CF12372itkfi,2879067,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,61717,https://doi.org/10.15454/ONKOGJ,CF12372,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,108,,150,,"10,6",,"74,3",,"115,9",,"65,2",,"3,5",
AO13044itkfi,2879049,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,61303,https://doi.org/10.15454/O5PDFN,AO13044,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,152,,"10,7",,"75,3",,"120,8",,68,,"3,5",
EM12273itkfi,2879058,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,62019,https://doi.org/10.15454/HJW1L8,EM12273,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,100,,146,,"11,9",,74,,"92,7",,"52,2",,7,
AO13041itkfi,2879053,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,61254,https://doi.org/10.15454/TWWXEK,AO13041,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,150,,"10,5",,"74,8",,"125,2",,"70,5",,"3,5",
AO13043itkfi,2879035,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,61286,https://doi.org/10.15454/F0IUDT,AO13043,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,152,,"10,3",,"73,9",,"121,9",,"68,6",,"3,5",
DI13005itkfi,2879043,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,49746,https://doi.org/10.15454/C5YYJZ,DI13005,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,102,,151,,"10,2",,"72,5",,"126,6",,"71,3",,"3,5",
AO13042itkfi,2879051,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,151,,"10,3",,"73,9",,"123,2",,"69,4",,"5,5",
AO13046itkfi,2879066,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,61333,https://doi.org/10.15454/JD3ICY,AO13046,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,100,,151,,"10,6",,"68,4",,"120,8",,68,,5,
Solehioitkfi,2879055,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,27088,https://doi.org/10.15454/E4TDMS,SOLEHIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,102,,140,,"10,8",,"75,8",,"123,6",,"69,6",,"6,8",
EM12252itkfi,2879060,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,62002,https://doi.org/10.15454/XMLVLJ,EM12252,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,150,,11,,"74,8",,"101,2",,57,,"6,2",
Apacheitkfi,2879054,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,146,,"11,7",,"72,5",,"91,7",,"51,6",,8,
RE12068itkfi,2879036,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,49026,https://doi.org/10.15454/MZDFOJ,RE12068,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,108,,154,,"10,8",,"75,2",,"122,3",,"68,9",,4,
RE12071itkfi,2879057,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,61543,https://doi.org/10.15454/8TKSMS,RE12071,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,105,,152,,"11,4",,75,,"117,3",,66,,"3,8",
AO13028itkfi,2879039,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,61053,https://doi.org/10.15454/MLAKF0,AO13028,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,143,,"11,7",,"76,1",,"109,4",,"61,6",,"6,5",
RE12080itkfi,2879061,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,148,,"10,8",,"72,6",,"121,3",,"68,3",,5,
AO13047itkfi,2879046,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,100,,151,,"10,4",,"76,5",,"128,4",,"72,3",,"4,8",
AO13027itkfi,2879041,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,49214,https://doi.org/10.15454/8SM83Z,AO13027,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,144,,"11,2",,"71,4",,"111,4",,"62,7",,"5,8",
CF12307itkfi,2879047,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,61676,https://doi.org/10.15454/KFG2VK,CF12307,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,142,,"11,4",,"73,7",,"107,5",,"60,5",,7,
RE12095itkfi,2879068,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,61619,https://doi.org/10.15454/JV6VFM,RE12095,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,144,,"11,5",,"77,3",,"120,3",,"67,7",,4,
Altigoitkfi,2879062,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,105,,143,,"10,9",,71,,"101,9",,"57,4",,"6,2",
CF12278itkfi,2879064,BTH_Lusignan_2013_SetB3,BTH_Lusignan_2013_SetB3,61646,https://doi.org/10.15454/XUD1JH,CF12278,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,102,,150,,"11,3",,"73,1",,"98,1",,"55,2",,"6,2",
