observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI07019itkt,2829885,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,61759,https://doi.org/10.15454/SFPRAV,DI07019,VIRTUAL_TRIAL,,,,,,,,treated,2008,89,,144,,"10,06",,"73,7",,"104,2",,89,,"1,5",
CF06210itkfi,2829908,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27785,https://doi.org/10.15454/BZGBHW,CF06210,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,104,,140,,"13,72",,78,,98,,"73,7",,2,
DI07019itkfi,2829884,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,61759,https://doi.org/10.15454/SFPRAV,DI07019,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,91,,141,,"11,98",,"73,5",,"93,4",,"70,3",,1,
CF06210itkt,2829909,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27785,https://doi.org/10.15454/BZGBHW,CF06210,VIRTUAL_TRIAL,,,,,,,,treated,2008,101,,141,,"10,84",,"73,9",,"81,5",,"69,7",,6,
HadmF276itkt,2829871,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2008,84,,140,,"11,03",,"76,5",,"101,5",,"86,7",,2,
HadmF276itkfi,2829870,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,90,,140,,"12,46",,78,,"105,8",,"79,6",,1,
EM06089itkt,2829859,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27815,https://doi.org/10.15454/UZYTX5,EM06089,VIRTUAL_TRIAL,,,,,,,,treated,2008,92,,142,,"12,32",,"77,6",,"87,2",,"74,5",,"3,5",
RE06127itkt,2829893,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,138,,"12,6",,77,,"86,7",,"74,1",,"1,5",
CF06193itkfi,2829890,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27067,https://doi.org/10.15454/739FBM,CF06193,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,100,,141,,"12,84",,"80,1",,"102,7",,"77,3",,1,
RE06061itkfi,2829906,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27831,https://doi.org/10.15454/BPSJCE,RE06061,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,105,,146,,"12,06",,"75,4",,"110,1",,"82,8",,1,
RE06127itkfi,2829892,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,89,,138,,"13,58",,"78,2",,"88,9",,"66,9",,1,
RE06061itkt,2829907,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27831,https://doi.org/10.15454/BPSJCE,RE06061,VIRTUAL_TRIAL,,,,,,,,treated,2008,103,,148,,"10,26",,"73,3",,"100,3",,"85,7",,"2,5",
EM06229itkfi,2829864,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27818,https://doi.org/10.15454/VSKKHS,EM06229,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,90,,138,,"13,17",,"78,6",,"97,4",,"73,2",,1,
Premioitkt,2829841,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,141,,"11,3",,"74,6",,"106,3",,"90,9",,1,
Premioitkfi,2829840,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,89,,141,,"12,09",,"77,4",,"106,5",,"80,1",,1,
RE06055itkt,2829883,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27829,https://doi.org/10.15454/NLT35T,RE06055,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,148,,"11,25",,"74,7",,"90,8",,"77,6",,1,
RE06058itkfi,2829860,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27830,https://doi.org/10.15454/V4CPNJ,RE06058,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,100,,148,,"11,83",,76,,"94,1",,"70,7",,1,
DI07001itkt,2829847,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27802,https://doi.org/10.15454/5XXKDL,DI07001,VIRTUAL_TRIAL,,,,,,,,treated,2008,89,,138,,"11,01",,"76,3",,115,,"98,4",,1,
EM06110itkt,2829911,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27817,https://doi.org/10.15454/KG1VPB,EM06110,VIRTUAL_TRIAL,,,,,,,,treated,2008,93,,138,,11,,"77,7",,"92,7",,"79,2",,2,
RE06055itkfi,2829882,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27829,https://doi.org/10.15454/NLT35T,RE06055,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,90,,145,,"12,86",,"75,9",,"89,2",,"67,1",,1,
CF06193itkt,2829891,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27067,https://doi.org/10.15454/739FBM,CF06193,VIRTUAL_TRIAL,,,,,,,,treated,2008,99,,144,,"10,88",,"78,1",,"105,2",,"89,9",,1,
RE06023itkt,2829887,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27827,https://doi.org/10.15454/B5PA3I,RE06023,VIRTUAL_TRIAL,,,,,,,,treated,2008,92,,144,,"11,55",,"76,2",,"93,9",,"80,2",,3,
RE06023itkfi,2829886,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27827,https://doi.org/10.15454/B5PA3I,RE06023,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,92,,142,,"12,68",,"77,7",,90,,"67,7",,1,
Apacheitkfi,2829866,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,98,,138,,"13,14",,"80,3",,"108,4",,"81,5",,1,
RE06130itkfi,2829844,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27833,https://doi.org/10.15454/QCSBFW,RE06130,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,86,,138,,"13,08",,"77,3",,89,,"66,9",,1,
Apacheitkt,2829867,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2008,96,,139,,"10,63",,"79,9",,"99,6",,"85,1",,1,
CF06227itkfi,2829862,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27068,https://doi.org/10.15454/PIPBFU,CF06227,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,94,,142,,"12,7",,"77,7",,"89,5",,"67,3",,1,
DI07001itkfi,2829846,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27802,https://doi.org/10.15454/5XXKDL,DI07001,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,91,,137,,"11,9",,"77,6",,"107,9",,"81,2",,1,
RE06097itkt,2829839,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27832,https://doi.org/10.15454/X0FSJ6,RE06097,VIRTUAL_TRIAL,,,,,,,,treated,2008,93,,142,,"11,47",,"77,3",,"89,6",,"76,6",,9,
Sankaraitkfi,2829874,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,88,,143,,"13,07",,"76,9",,"99,2",,"74,6",,1,
RE06050itkt,2829901,BTH_Dijon_2008_SetA2,BTH_Dijon_2008_SetA2,27828,https://doi.org/10.15454/PRTXZC,RE06050,VIRTUAL_TRIAL,,,,,,,,treated,2008,93,,142,,"11,21",,"75,8",,"99,3",,"84,8",,1,
