observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ps(CO_321:1000220),ps(CO_321:1000220).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
2,2823309,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"73,9",,"6,2",,"44,79",,1,
2,2823331,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"66,3",,"6,8",,"44,94",,1,
1,2823330,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"66,6",,4,,"50,11",,1,
2,2823315,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27754,https://doi.org/10.15454/7MX1DM,AO07102,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"74,4",,6,,"37,58",,"1,5",
1,2823314,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27754,https://doi.org/10.15454/7MX1DM,AO07102,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"66,6",,"3,5",,"37,3",,1,
2,2823357,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27755,https://doi.org/10.15454/IF7X64,AO07116,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"73,2",,"3,8",,"53,43",,3,
1,2823356,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27755,https://doi.org/10.15454/IF7X64,AO07116,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"72,8",,"3,2",,"50,51",,1,
1,2823280,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27264,https://doi.org/10.15454/ILREHV,RE06048,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,75,,"3,2",,"57,31",,1,
2,2823281,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27264,https://doi.org/10.15454/ILREHV,RE06048,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"74,6",,5,,"54,21",,"2,5",
2,2823303,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27066,https://doi.org/10.15454/PVLGW3,CF06107,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,66,,"3,2",,"47,38",,1,
1,2823302,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27066,https://doi.org/10.15454/PVLGW3,CF06107,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"68,9",,2,,"46,13",,1,
1,2823320,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"65,6",,5,,"41,27",,1,
2,2823321,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"65,3",,"7,5",,"41,18",,1,
1,2823360,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48401,gnpis_pui:holding-921_taxon-4898_accession-48401,CF06153,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"75,3",,"2,5",,"44,12",,1,
2,2823361,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48401,gnpis_pui:holding-921_taxon-4898_accession-48401,CF06153,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"65,7",,"5,2",,"41,22",,1,
2,2823333,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48404,gnpis_pui:holding-921_taxon-4898_accession-48404,EM06064,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,76,,"4,2",,"52,76",,1,
1,2823332,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48404,gnpis_pui:holding-921_taxon-4898_accession-48404,EM06064,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"75,4",,"2,5",,"53,68",,1,
2,2823301,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48964,gnpis_pui:holding-921_taxon-4898_accession-48964,RE06057,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"70,5",,"7,5",,"47,87",,1,
1,2823300,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48964,gnpis_pui:holding-921_taxon-4898_accession-48964,RE06057,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,70,,"5,8",,"49,94",,1,
1,2823340,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48727,gnpis_pui:holding-921_taxon-4898_accession-48727,RE06008,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,65,,"1,5",,"41,27",,1,
2,2823341,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48727,gnpis_pui:holding-921_taxon-4898_accession-48727,RE06008,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"73,8",,"3,5",,"49,83",,2,
2,2823317,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27756,https://doi.org/10.15454/PILE9C,AO07127,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"73,3",,"6,8",,"57,58",,1,
1,2823316,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27756,https://doi.org/10.15454/PILE9C,AO07127,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"72,7",,"3,8",,"54,65",,1,
1,2823338,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48830,gnpis_pui:holding-921_taxon-4898_accession-48830,RE06025,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"70,8",,2,,"48,26",,1,
2,2823339,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,48830,gnpis_pui:holding-921_taxon-4898_accession-48830,RE06025,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"72,3",,"2,8",,"54,04",,1,
2,2823287,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27802,https://doi.org/10.15454/5XXKDL,DI07001,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"67,7",,"7,5",,"52,94",,1,
1,2823286,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27802,https://doi.org/10.15454/5XXKDL,DI07001,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"67,1",,"4,5",,"49,94",,1,
1,2823282,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"76,4",,"5,2",,"51,55",,1,
2,2823283,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"76,4",,"7,5",,"53,18",,1,
1,2823358,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49009,gnpis_pui:holding-921_taxon-4898_accession-49009,EM06035,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"74,5",,"5,5",,"45,82",,1,
2,2823359,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,49009,gnpis_pui:holding-921_taxon-4898_accession-49009,EM06035,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"74,1",,"7,8",,"43,82",,1,
1,2823324,BTH_Lusignan_2007_SetB1,BTH_Lusignan_2007_SetB1,27830,https://doi.org/10.15454/V4CPNJ,RE06058,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,68,,1,,"54,9",,1,
