observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Ressoritkt,2777375,BTH_Rennes_2002_SetA1,BTH_Rennes_2002_SetA1,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,treated,2002,"10,56",,"98,2",,"116,1",
Chargeritkfi,2777367,BTH_Rennes_2002_SetA1,BTH_Rennes_2002_SetA1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,"109,4",,96,
EM99006itkt,2777363,BTH_Rennes_2002_SetA1,BTH_Rennes_2002_SetA1,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,treated,2002,"9,91",,"92,6",,"109,5",
Isengrainitkfi,2777385,BTH_Rennes_2002_SetA1,BTH_Rennes_2002_SetA1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,"102,4",,"89,8",
Ressoritknt,2777374,BTH_Rennes_2002_SetA1,BTH_Rennes_2002_SetA1,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,"107,7",,"93,3",
Voltigeitknt,2777350,BTH_Rennes_2002_SetA1,BTH_Rennes_2002_SetA1,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,"112,3",,"97,3",
EM00301itkfi,2777370,BTH_Rennes_2002_SetA1,BTH_Rennes_2002_SetA1,48481,gnpis_pui:holding-921_taxon-4898_accession-48481,EM00301,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,"101,1",,"88,7",
CF99005itkt,2777378,BTH_Rennes_2002_SetA1,BTH_Rennes_2002_SetA1,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,treated,2002,"9,47",,"92,1",,"108,9",
EM00015itkfi,2777382,BTH_Rennes_2002_SetA1,BTH_Rennes_2002_SetA1,48653,gnpis_pui:holding-921_taxon-4898_accession-48653,EM00015,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,"101,5",,89,
Voltigeitkt,2777351,BTH_Rennes_2002_SetA1,BTH_Rennes_2002_SetA1,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,treated,2002,"9,13",,92,,"108,8",
