observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,rj(CO_321:1000162),rj(CO_321:1000162).date
CF07261,2842611,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,61122,https://doi.org/10.15454/BSBAJR,CF07261,VIRTUAL_TRIAL,,,,,,,,2009,"4,5",,1,
RE08029,2842610,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,61199,https://doi.org/10.15454/FKXNNO,RE08029,VIRTUAL_TRIAL,,,,,,,,2009,2,,1,
CF08066,2842590,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,61240,https://doi.org/10.15454/I7RHV6,CF08066,VIRTUAL_TRIAL,,,,,,,,2009,4,,5,
CF08083,2842600,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,61256,https://doi.org/10.15454/STVND6,CF08083,VIRTUAL_TRIAL,,,,,,,,2009,4,,5,
RE08040,2842606,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,61548,https://doi.org/10.15454/KUNSYC,RE08040,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,1,
DI09009,2842592,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,61585,https://doi.org/10.15454/L2HZDZ,DI09009,VIRTUAL_TRIAL,,,,,,,,2009,3,,6,
DI09011,2842613,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,61617,https://doi.org/10.15454/HODBAP,DI09011,VIRTUAL_TRIAL,,,,,,,,2009,4,,3,
DI09012,2842614,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,61632,https://doi.org/10.15454/B2ALXB,DI09012,VIRTUAL_TRIAL,,,,,,,,2009,3,,3,
DI09010,2842612,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,61602,https://doi.org/10.15454/VNDARA,DI09010,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,4,
DI09014,2842616,BTH_Rennes_2009_SetB2_PIETIN-VERSE,BTH_Rennes_2009_SetB2_PIETIN-VERSE,61663,https://doi.org/10.15454/WSZFOK,DI09014,VIRTUAL_TRIAL,,,,,,,,2009,"4,5",,4,
