observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
AO12002itkt,2871909,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,150,,"11,6",,"74,7",,"104,4",,,,"79,6",,,
DI11014itkfi,2871956,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,155,,,,"76,5",,96,,"1,5",,"61,5",,4,
RE10042itkt,2871931,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,treated,2013,89,,155,,"11,9",,"76,7",,"94,6",,,,"72,1",,,
Lyrikitkt,2871961,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,155,,"11,7",,"75,8",,"105,5",,,,"80,4",,,
AO12002itkfi,2871908,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,87,,152,,,,"73,6",,"99,5",,"4,5",,"63,8",,"4,5",
EM10126itkfi,2871918,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,93,,152,,,,74,,"88,3",,"2,5",,"56,6",,4,
CF08027itkt,2871959,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,156,,"11,8",,"71,4",,"87,2",,,,"66,4",,,
CF08027itkfi,2871958,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,94,,156,,,,"76,2",,99,,3,,"63,4",,3,
RE10042itkfi,2871930,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,94,,154,,,,"72,8",,"78,1",,"2,5",,"50,1",,"2,5",
EM10126itkt,2871919,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,152,,"12,3",,"73,7",,"86,5",,,,"65,9",,,
AO12021itkt,2871893,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,155,,"11,4",,"74,1",,"100,2",,,,"76,4",,,
Gallixeitkfi,2871948,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,79,,152,,,,"69,3",,"99,9",,3,,64,,3,
CF10185itkt,2871963,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2013,90,,158,,"11,8",,"76,5",,"107,7",,,,82,,,
AO12021itkfi,2871892,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,97,,154,,,,"73,5",,"109,5",,2,,"70,2",,"2,5",
AO13009itkt,2871901,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,49308,https://doi.org/10.15454/X9GHDQ,AO13009,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,154,,"12,4",,"75,5",,"112,5",,,,"85,8",,,
Granamaxitkt,2871921,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,152,,"11,1",,"74,5",,"116,6",,,,"88,9",,,
CF10185itkfi,2871962,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,157,,,,"75,8",,"93,4",,"3,5",,"59,8",,"4,5",
Granamaxitkfi,2871920,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,87,,153,,,,"69,4",,"102,9",,2,,66,,4,
AO13007itkt,2871895,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,62117,https://doi.org/10.15454/BNPE3B,AO13007,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,154,,"11,6",,"74,9",,"104,7",,,,"79,8",,,
EM09320itkfi,2871886,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,89,,150,,,,"74,8",,"111,9",,"4,5",,"71,7",,"2,5",
AO13007itkfi,2871894,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,62117,https://doi.org/10.15454/BNPE3B,AO13007,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,86,,154,,,,"74,7",,"94,3",,"1,5",,"60,4",,3,
Gallixeitkt,2871949,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2013,76,,152,,"11,1",,"66,8",,"98,6",,,,"75,1",,,
Altigoitkt,2871927,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2013,88,,147,,"11,5",,"71,3",,"105,8",,,,"80,6",,,
AO13001itkfi,2871890,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,61109,https://doi.org/10.15454/UKVZTI,AO13001,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,87,,153,,,,"74,4",,"98,1",,5,,"62,9",,"5,5",
AO11011itkt,2871925,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,157,,"11,4",,"65,6",,106,,,,"80,8",,,
Croustyitkt,2871933,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2013,98,,155,,"12,2",,"77,6",,"95,7",,,,"72,9",,,
AO13001itkt,2871891,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,61109,https://doi.org/10.15454/UKVZTI,AO13001,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,154,,"12,2",,"75,7",,"91,9",,,,70,,,
Croustyitkfi,2871932,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,155,,,,"67,5",,"90,7",,"2,5",,"58,2",,"4,5",
AO11011itkfi,2871924,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,84,,156,,,,"75,3",,"109,3",,2,,"70,1",,3,
CF10064itkt,2871897,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,treated,2013,87,,154,,"11,7",,"69,1",,"106,8",,,,"81,4",,,
Altigoitkfi,2871926,BTH_Dijon_2013_SetA1,BTH_Dijon_2013_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,94,,147,,,,74,,"106,9",,2,,"68,5",,"3,5",
