observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI08011itkfi,2838685,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,58,,134,,"11,92",,"74,9",,"90,9",,"4,5",,"45,1",
RE07012itkt,2838632,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27269,https://doi.org/10.15454/N0JGJL,RE07012,VIRTUAL_TRIAL,,,,,,,,treated,2009,74,,134,,"12,83",,"74,7",,"81,4",,,,"53,5",
DI08011itkt,2838686,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,treated,2009,62,,134,,"11,62",,"76,2",,"120,2",,,,79,
RE07012itkfi,2838631,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27269,https://doi.org/10.15454/N0JGJL,RE07012,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,76,,136,,"13,02",,"73,4",,"80,2",,3,,"39,7",
Sankaraitkt,2838668,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2009,67,,136,,"11,58",,"76,3",,"101,4",,,,"66,6",
AO09003itkt,2838634,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27772,https://doi.org/10.15454/OARDBZ,AO09003,VIRTUAL_TRIAL,,,,,,,,treated,2009,63,,132,,"12,66",,"76,7",,"93,3",,,,"61,3",
RE07004itkt,2838680,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,treated,2009,66,,132,,"14,56",,"76,6",,"82,1",,,,"53,9",
Sankaraitkfi,2838667,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,69,,138,,"10,13",,"74,9",,"100,8",,"6,5",,50,
CF07143itkt,2838672,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,138,,"12,24",,77,,"99,3",,,,"65,2",
AO09003itkfi,2838633,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27772,https://doi.org/10.15454/OARDBZ,AO09003,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,69,,132,,"13,26",,"76,4",,"68,6",,5,,34,
RE07004itkfi,2838679,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,70,,133,,"14,27",,"76,1",,"74,2",,6,,"36,8",
RE07040itkfi,2838687,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,72,,138,,12,,"76,2",,"85,6",,4,,"42,4",
RE07083itkfi,2838697,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,134,,"15,66",,"75,1",,"53,3",,5,,"26,4",
RE07089itkt,2838692,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,48646,https://doi.org/10.15454/TXCHAY,RE07089,VIRTUAL_TRIAL,,,,,,,,treated,2009,70,,136,,"12,43",,"75,4",,"97,6",,,,"64,1",
CF07021itkt,2838628,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27789,https://doi.org/10.15454/BTYEVM,CF07021,VIRTUAL_TRIAL,,,,,,,,treated,2009,73,,138,,"12,04",,"77,1",,"91,5",,,,"60,1",
CF07311itkfi,2838655,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27837,https://doi.org/10.15454/CYACZC,CF07311,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,77,,136,,"12,8",,77,,"71,1",,"5,5",,"35,2",
RE07083itkt,2838698,BTH_Dijon_2009_SetA2,BTH_Dijon_2009_SetA2,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,treated,2009,72,,134,,"13,74",,"76,8",,"79,2",,,,52,
